Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Description,Salaire
https://fr.indeed.com/viewjob?jk=a3763118f568bb47,DATA INGENIEUR,CDI,Luminess,35,Bretagne,"Acteur majeur de l'écosystème numérique français, nos équipes conjuguent expertise et connaissance métier large à un savoir-faire technologique robuste. Luminess s'appuie sur cette alliance : technologies et compétences métiers pour proposer des solutions adaptées à l'évolution des besoins de nos clients et leur permettre ainsi de sublimer leur promesse client.
BPO, IA, RPA, l'automatisation des processus associée à une supervision humaine tout au long de nos workflows assurent un haut niveau de satisfaction dans le respect des règles de sécurité et de compliance.
Luminess est une entreprise de taille intermédiaire française implantée en Europe, en Amérique du Nord, en Afrique et en Asie et compte plus de 1 500 collaborateurs.

Notre département Professional Services & Data recherche un(e) Data Engineer !
La mission : définir , développer et maintenir les outils et infrastructures adéquats à l'analyse de la donnée par les Data Analysts et Data Scientists, par la mise en place d'une solution permettant le traitement de volumes importants de données tout en garantissant leur sécurité . C'est à dire :
Apporter une expertise en extraction, transformation, chargement de data afin de permettre la manipulation des données;
Concevoir les plateformes capables de traiter des volumes importants de données ;
Veiller à la sécurisation et à la clarté des pipelines de données pour faciliter les analyses et transformations ;
Assurer une veille technologique ;
Contribuer , plus largement, aux travaux de l'équipe data .
Les enjeux clés : la pertinence des architectures et solutions data management proposées ; la performance et la maintenabilité des pipelines ; la clarté de la documentation des pipelines, des transformations , des modèles de base de données .

Issu(e) d'une formation de niveau Bac+5 de type école d'ingénieurs, master informatique (ou disposant d'une expérience justifiant ce niveau), vous avez une spécialité autour du data management ?
Vous êtes compétent(e) dans la conception de BDD telles que SQL Server , MariaDB , MongoDB , Couchbase , que vous créez à partir de SQL et NoSQL ?
Vous disposez d'une belle expertise dans au moins un outil ETL ( Talend par exemple) ?
Vous maitrisez un langage structuré tels que Javascript ou Python ?
Si vous avez utilisé des outils du Big Data comme Hadoop , Spark , Nifi , seriez-vous prêt(e) à partager votre expérience avec nos experts IT ?
Vous êtes fluent in English pour faciliter les échanges avec nos équipes internationales ?
Ce poste est fait pour vous ! Nous attendons notre premier échange !
A propos de l'équipe
En intégrant l’équipe Data de Luminess, vous rejoignez une équipe de spécialistes du traitement et de la valorisation des données – data analysts, data scientists, data engineers, experts data viz – œuvrant dans différents secteurs économiques et sur des problématiques variées (entrée en relation, marketing, médical, pilotage de production, innovation produit …). Basée à Rennes, Paris et en Roumanie, l'équipe intervient en transverse autant sur des enjeux internes au Groupe Luminess que sur des solutions clients , de la phase d’avant-vente à l’accompagnement des projets et services.
Rejoignez une équipe passionnée par la valorisation utile de la data !

Nos avantages
Télétravail, organisation agile
Mutuelle, tickets restaurant, Epargne salariale, prime de vacances, intéressement...
Initiatives sportives et culturelles, salles de pause et détente...
Nos valeurs : confiance, audace, responsabilité et excellence",
https://fr.indeed.com/viewjob?jk=1fc396ebaa40f018,DATA ANALYSTE,CDI,Wemoov,35,Bretagne,"WEMOOV RECRUTE !

Co-fondée en 2017 par 3 passionnés de l’informatique, Wemoov est une jeune Startup dynamique. Depuis nos locaux nantais, nous rayonnons sur le Nord-Ouest de la France (Nantes, Rennes, Angers, Vannes, Cholet, Brest, Niort…) en accompagnant nos clients (Grands comptes, Start-Ups, PME) dans leurs évolutions digitales.

Notre cœur d’activité est la prestation de services en informatique ; dans les domaines de l’infrastructure et du développement.

ESN oui ! Mais pas que… nous proposons également des solutions novatrices d’applications mobiles de montage et d’habillage automatisé de vidéos à destination des professionnels de l’automobile ou encore de l’immobilier

Ici, nous avons à cœur de garder un esprit familial. En tant que Wemoovien, voici ce qui t’attend :

 Tu bénéficieras d’un accompagnement personnalisé et d’un réel suivi au quotidien.

 Tu auras le choix de tes missions afin que tu puisses évoluer dans un environnement stimulant en adéquation avec tes compétences et tes envies pro

 Si tu cherches un manager dispo et à l’écoute, Nico est le boss qu’il te faut !

 Tu es force de proposition ? ça tombe bien, nous cherchons de véritables ambassadeurs pour animer nos événements (Meet-up, démos, et bien-sûr Afterworks !).

 Et bien évidemment, parce que oui c’est important : télétravail, RTT, prime de cooptation (1000€), chèques de Noël, mutuelle avantageuse (prise en charge à 50%), prime de panier repas, politique de formation, prise en charge à 50% de ton abonnement aux transports en commun, partenaire pour t’aider à trouver un logement…

Tu l’auras compris, le respect, la proximité et l’honnêteté sont les valeurs qui nous animent ! ✨

Dans le cadre de notre évolution, nous recherchons notre futur Développeur Python Data (H/F) sur Rennes :

Quel sera ton poste ?

Au sein d’une équipe, tu interviendras sur le projet de développement d’une interface sur un OS Linux.

Tes missions principales seront les suivantes :

Développer cette interface en Python orienté objet MVC
Développer des API
Travailler sur le chiffrement GPG
Administrer les serveurs linux

Potentiel recherché :

Issu(e) d’une formation supérieure, tu disposes idéalement d’une expérience professionnelle d’au moins 3 ans sur un poste similaire.

La maitrise de l’environnement Python n’a plus de secret pour toi.

Tu maitrises également les outils Git, Gitlab, JIRA, et les réseaux OSI.

Habitué(e) à travailler en environnement agile, tu es reconnu(e) pour tes capacités à communiquer et à t’intégrer facilement au sein d’une équipe.

Convaincu(e) ? Transmets nous ton CV et discutons en plus en détails autour d’un café ! ️",
https://fr.indeed.com/viewjob?jk=628dad10f0b41ec3,DATA SCIENTIST,CDI,Crédit Mutuel Arkea,29,Bretagne,"Description du poste
Contrat

STAGE

Votre mission

Dans le cadre de l’approfondissement de la connaissance client et de la personnalisation de la relation, le département recherche un stagiaire pour venir en support de ses activités Data Science.
Depuis plusieurs années, les data scientists de l’équipe mettent en place, via des techniques de ML/IA, des modèles et algorithmes permettant de répondre à différentes problématiques via l'exploitation de la connaissance client (appétence et activation produit, attrition, opérations bancaires, NLP sur interactions banques-clients,...) et exploitent les opportunités offertes par la Data Science pour mettre en œuvre des architectures intelligentes.
Lors de ce stage, nous aimerions mettre en place certains outils et services afin de mesurer et développer le bien-être financier de nos clients. Pour répondre à cette problématique, nous souhaitons développer un ou plusieurs algorithmes d’aide à la gestion de budget (coaching automatique d’épargne, anticipation du découvert, etc,..). Ce stage sera l’occasion d’élaborer et de tester des méthodologies innovantes, une certaine force de proposition ainsi qu’un partage de connaissance seront les bienvenus.

Et si c'était vous ?
Vous êtes dans une formation de niveau Bac +4/5 en mathématiques / informatique / marketing.
Compétences techniques :
Goût pour les techniques statistiques avancées (machine learning, deep learning,…) ;
Appétence pour les langages / outils statistiques R ou Python dans le cadre d’une manipulation de gros volume de données ;
Maîtrise du langage SQL pour le requêtage des données ;
Le petit plus : connaissance d’outils de dataviz (type Tableau ou Rshiny) pour la restitution des résultats.
Savoir-faire et aptitude :
Rigueur, prévision, méthode ;
Réactivité et pragmatisme ;
Curiosité, enthousiasme, ouverture d’esprit ;
Capacités d’adaptation et de réactivité permettant d’évoluer dans un environnement agile.
Vous souhaitez évoluer dans une équipe jeune et dynamique, apporter vos propres compétences et continuer à progresser avec les nouvelles technologies, rejoignez-nous !

Qui sommes-nous ?
Le groupe Crédit Mutuel Arkéa est un acteur de l'économie numérique, il dispose d'une culture technologique connue et reconnue, notamment pour ce qui concerne les services bancaires et d'assurance en ligne ainsi que les outils de paiement. Fort de cette expertise, le groupe a tissé des liens très forts avec les acteurs de l'écosystème digital.
Le Crédit Mutuel Arkéa poursuit une stratégie de développement originale, avec l'ambition de développer un modèle de banque coopérative et collaborative, qui apporte la meilleure réponse aux aspirations et modes de vie, d'aujourd'hui et de demain.
Dans un contexte de relation omnicanale, la Direction Marketing et Expérience client a pour mission de définir une stratégie marketing et expérience client s'appuyant sur une compréhension fine des besoins et usages (écoute attentive et démarche analytique avancée) et de mettre en œuvre cette stratégie par des moyens technologiques et des approches innovantes.
Au sein de cette direction, le département Marketing Analytique et Datalab est composé de data analyst, data scientists et product owner data travaillant sur un datalab opérationnel depuis plus de 5 ans, s'articulant autour d'une plateforme de gestion de données clients sur cluster Hadoop accessible pour l'analyse et la modélisation (Hive, R, Python, Tableau…) et alimentant les outils de la relation client.
Entité
Le Crédit Mutuel Arkéa est un groupe bancaire coopératif, territorial et collaboratif de 10 500 collaborateurs.

Depuis toujours, le Crédit Mutuel Arkéa innove pour répondre aux défis croissants d'un secteur bancaire en pleine mutation. C'est un modèle original aux performances reconnues.

C'est aujourd'hui un groupe puissant et diversifié, avec une trentaine d'entités et une centaine de métiers différents, principalement dans des fonctions commerciales, mais aussi dans l'IT, les risques, la comptabilité, le contrôle/audit, le marketing, le digital ou encore la finance… Toute une palette de métiers, de compétences, de savoir-être pour lesquels le Crédit Mutuel Arkéa accompagne ses collaborateurs pour les faire évoluer et révéler de nouveaux talents",
https://fr.indeed.com/viewjob?jk=42667addc9f51a30,0,CDI,EXTERNATIC,35,Bretagne,"DESCRIPTION DE L'OFFRE
L'éditeur de logiciel que nous accompagnons est spécialisé dans le domaine de l'IA et développe des outils de surveillance basés sur une analyse automatisée des informations géospatiales et de multiple autres sources. Ils combinent à la fois différentes techniques de computer vision et deep learning pour fournir des informations fiables et précises.

Leur croissance rapide (x5/an) est alimentée par le développement international (Royaume-Uni, Allemagne, États-Unis) et le développement de nouvelles lignes de produits.

Nous recherchons une personne ouverte d'esprit qui vise l'excellence et la livraison de produits de qualité.
Vous rejoindrez l'équipe Data pour améliorer les architectures et les constructions des bases de données géographiques. Vous apporterez vos connaissances et votre expertise pour améliorer la structuration des processus existants.
Vous serez le leader sur plusieurs sujets techniques et le manager d'une équipe multidisciplinaire autonome (Data Scientists, ML Engineers & Software engineers).

PÉRIMÈTRE DE RESPONSABILITÉS

Cet éditeur en pleine croissance ouvre un centre à Rennes pour développer des algorithmes d'IA innovants et fournir des solutions de pointe à nos clients.

Dans ce contexte, nous recrutons une qui personne qui aura l'opportunité de construire et développer l'équipe sur place (6 personnes maintenant, +20 dans le futur), interagir avec les équipes principales et servir de POC technique pour les clients de l'entité de Rennes.

ACTIVITÉS PRINCIPALES

Recruter et diriger une équipe mixte de Data scientists, d'ingénieurs ML et d'ingénieurs logiciels pour fournir à notre client des solutions de pointe.Développer l'activité avec le responsable du centre de Rennes, influencer la stratégie et agir comme POC technique pour le client.Développer les outils internes nécessaires et les nouveaux algorithmes d'IA.Être responsable de la feuille de route technique de l'IA dans le centre de Rennes (outils & algorithmes d'IA) et interagir avec le centre de Paris pour influencer la feuille de route des outils internes, faire remonter les besoins et diffuser les connaissances entre les deux entités.Diffuser une culture d'excellence, de test et de fiabilité et former les nouveaux arrivants à leurs bonnes pratiques.


PROFIL REQUIS
Nous recherchons une personne ouverte d'esprit, dotée de bonnes compétences techniques et d'une expérience professionnelle avérée.

Les compétences énumérées ci-dessous sont essentielles pour être à la hauteur de ce défi.

Les incontournables :

Au moins 5 ans d'expérience en tant que développeur, Data Scientist ou ingénieur ML.Une première expérience en Management d'équipe technique, des compétences de leadership avérées.De solides compétences en Machine LearningExpérience dans la livraison de code de haute qualité, CI et CD.Forte autonomie et capacité d'écoute, capacité à échanger avec différentes parties prenantes.Esprit curieux et polyvalent, avec des connaissances générales en IA, DevOps et développement logiciel.Maîtrise de l'anglais.Esprit orienté client et résultats.

Points forts :
Avoir travaillé sur des sujets IA dans des environnements critiques.Expérience en Computer Vision ou en DevOps.Expérience avancée dans le recrutement et la gestion d'une équipe technique.Expérience avancée en matière d'interactions avec les clients.Travailler avec des processus de CI et CD automatiques, goût pour le TDD.
Habilitation de sécurité française obligatoire pour ce poste

Pas de télétravail pour des raisons de travail en connexion sécurisée",
https://fr.indeed.com/viewjob?jk=fbfe177a68a56211,DATA ANALYSTE,CDI,Dogfinance,29,Bretagne,"DATA ANALYST F/H
Ref. Apec : 167782373W
Dogfinance
1
CDI
Quimper - 29
Publiée le 03/03/2022
Actualisée le 03/03/2022
 SUR LE SITE DE L'ENTREPRISE
Salaire
A négocier
Prise de poste
Dès que possible
Expérience
Tous niveaux d'expérience acceptés
Métier
Data analyst
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
PROGRAMMATION INFORMATIQUE

Descriptif du poste
Rattaché(e) au Directeur SI et en étroite collaboration avec l’équipe dirigeante, vos principales missions sont :
Comprendre les besoins et les enjeux de notre entreprise afin d'apporter une vision cohérente de nos activités.Recueillir, traiter et étudier les données afin de soumettre des recommandations pertinentes à l’équipe dirigeante.Exploiter les informations recueillies par différents canaux afin de faciliter les prises de décisions de l’équipe dirigeanteS’occuper des outils d’analyse et de visualisation permettant à l’équipe dirigeante et/ou aux équipes métiers de suivre l’évolution de leurs prestations …
Profil recherché
Maîtriser les outils d’analyse afin de permettre aux décideurs de l’entreprise de suivre la performance des services, des prestations …
Construire et diffuser les rapports BI et les webs analytics.
De formation supérieure (école d'Ingénieurs ou Université), vous avez une expérience réussie d'au moins 3 ans, sur le poste de Data Analyst.
Nous recherchons un profil qui a le goût des chiffres et des statistiques. Pour cela, vous êtes doté d'un bon esprit d'analyse et d'organisation.
Idéalement, vous avez des connaissances du secteur des services : banque, assurance, expertise comptable.
Vous avez une réelle appétence pour le digital et vous souhaitez vous investir dans une Direction SI à taille humaine, aux activités transverses, favorisant les échanges avec des enjeux forts, Rejoignez- nous.
Entreprise
Les 530 collaborateurs de Cerfrance Finistère - membre du 1er réseau national associatif d'expertise comptable - regroupés dans nos 23 agences, accompagnent dans le Finistère 10 400 entreprises agricoles, artisanales, commerciales et de services dans leur gestion et leur développement.
Pour accélérer notre développement et atteindre nos objectifs, nous recrutons un(e) Data Analyst.
Personne en charge du recrutement
JOUWERIA SAIDI - Chargée de Projet",
https://fr.indeed.com/viewjob?jk=31a579d025aef21c,DATA MANAGER,CDD,Rennes Métropole,35,Bretagne,"Présentation de l'offre
Mission
Vous assurez le pilotage du travail de correction sur la base de données (BDD) qui centralise les levées et les poids des bacs collectés chez les producteurs associés à une adresse, un type d'habitat (pavillon, collectif) et un type d'usagers.. Vous êtes en charge de la mise à jour et de l'amélioration de cette base de données. À ce titre, vous coordonnez les flux de données, vous contrôlez la fiabilité et la qualité des données et vous assurez le partage des bonnes pratiques d'utilisation de la base de données. Enfin, vous assurez l'exploitation de la base de données en réalisant des bilans, tableaux de bord de suivi de l'activité du service collecte et en assistant l'administrateur GESBAC et vous coordonnez l'activité de l'équipe base de données (2 agents permanents + des agents en renfort)
Prérequis
Compétences
Vous êtes titulaire d'une formation Bac+2 dans le domaine informatique et gestion des bases de données ou vous possédez une expérience significative dans ce domaine. Vous possédez des connaissances dans le domaine de la gestion et de la prévention des déchets ainsi que dans le fonctionnement des collectivités. Vous possédez de réelles capacités rédactionnelles et relationnelles. Vous avez une réelle appétence pour le travail collaboratif. Curieux et réactif, vous savez faire preuve d'adaptabilité et d'initiative.
Condition de recrutement
Poste ouvert aux agents titulaires du cadre d'emplois des techniciens, aux lauréats du concours ainsi qu'aux candidats reconnus travailleurs handicapés dans les conditions prévues par l'article 38 de la loi 84-53 du 26/01/84, ou à défaut par voie contractuelle (CDD de 3 ans)",
https://fr.indeed.com/viewjob?jk=6ed2235293cd8ab0,GESTIONNAIRE DONNEES,CDD,CNRS,35,Bretagne,"Date Limite Candidature : jeudi 24 mars 2022
Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler. Les informations de votre profil complètent celles associées à chaque candidature. Afin d’augmenter votre visibilité sur notre Portail Emploi et ainsi permettre aux recruteurs de consulter votre profil candidat, vous avez la possibilité de déposer votre CV dans notre CVThèque en un clic !
Informations générales
Référence : UMR6118-LAULON-002
Lieu de travail : RENNES
Date de publication : jeudi 3 mars 2022
Type de contrat : CDD Scientifique
Durée du contrat : 24 mois
Date d'embauche prévue : 14 avril 2022
Quotité de travail : Temps complet
Rémunération : 2663 et 3069 euros brut mensuel selon expérience
Niveau d'études souhaité : Doctorat
Expérience souhaitée : 1 à 4 années

Missions

Définir l'apport informatif des données de teneur en eau de surface très haute résolution spatiale dans des applications ""agriculture"" et ""ressources en eau"".

Activités

Définir la plus value des données très haute résolution spatiales,

Développer, valider et mettre en oeuvre une approche orientée données pour étendre le le volume représentatif des données de télédétection

Evaluer la pertinence de ce produit dérivé pour des applcations ressources en eau et agriculture avec des acteurs des teritoires

Compétences

Doctorat exigé
Forte expérience en télédétection et notamments des produits d'humidité des sols
Bon niveau en hydrologie
Bon niveau en programmation matlab et/ou python
Bon niveau en GIS
Anglais niveau B2

Contexte de travail

Dans le cadre du projet CNES BOSCO https://www.spaceclimateobservatory.org/bosco-brittany), le candidat sera accueilli à l'UMR 6118 Géosciences Rennes (CNRS) et travaillera en relations avec les UMR TETIS (INRAE) et l'UMR SAS (INRAE). Il travaillera au sein de l'équipe ""Eau et territoire"".",34392.0
https://fr.indeed.com/viewjob?jk=fbfa9624b1e57e37,DATA ANALYSTE,CDI,Cerfrance Finistère,0,Bretagne,"Data Analyst F/H
Ref. Apec : 167770169W
Cerfrance Finistère
1
CDI
Quimper - 29
Publiée le 02/03/2022
Actualisée le 02/03/2022
Salaire
A négocier
Prise de poste
Dès que possible
Expérience
Minimum 3 ans
Métier
Data analyst
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
ACTIVITÉS COMPTABLES
Télétravail
Partiel possible

Descriptif du poste
Pour accélérer notre développement et atteindre nos objectifs, nous recrutons un(e) Data Analyst.
Poste à pourvoir dès que possible à Quimper.
Rattaché(e) au Directeur SI et en étroite collaboration avec l’équipe dirigeante, vos principales missions sont :Comprendre les besoins et les enjeux de notre entreprise afin d'apporter une vision cohérente de nos activités.Recueillir, traiter et étudier les données afin de soumettre des recommandations pertinentes à l’équipe dirigeante.Exploiter les informations recueillies par différents canaux afin de faciliter les prises de décisions de l’équipe dirigeanteS’occuper des outils d’analyse et de visualisation permettant à l’équipe dirigeante et/ou aux équipes métiers de suivre l’évolution de leurs prestations …Maîtriser les outils d’analyse afin de permettre aux décideurs de l’entreprise de suivre la performance des services, des prestations …Construire et diffuser les rapports BI et les webs analytics.
Profil recherché
De formation supérieure (école d'Ingénieurs ou Université), vous avez une expérience réussie d'au moins 3 ans, sur le poste de Data Analyst.

Nous recherchons un profil qui a le goût des chiffres et des statistiques. Pour cela, vous êtes doté d'un bon esprit d'analyse et d'organisation.
Idéalement, vous avez des connaissances du secteur des services : banque, assurance, expertise comptable.
Vous avez une réelle appétence pour le digital et vous souhaitez vous investir dans une Direction SI à taille humaine, aux activités transverses, favorisant les échanges avec des enjeux forts, Rejoignez- nous.
t.
Entreprise
Les 530 collaborateurs de Cerfrance Finistère - membre du 1er réseau national associatif d'expertise comptable - regroupés dans nos 23 agences, accompagnent dans le Finistère 10 400 entreprises agricoles, artisanales, commerciales et de services dans leur gestion et leur développement.
Personne en charge du recrutement
ANNE-SOPHIE LE LAY - DRH",
https://fr.indeed.com/viewjob?jk=3101f63e84041aa5,GESTIONNAIRE DONNEES,CDD,Finistère Habitat,29,Bretagne,"11 500 logements sociaux répartis dans 218 communes du Finistère. Ses 150 salariés exercent au
siège à Quimper ainsi que dans 2 agences territoriales et 21 bureaux à proximité des locataires et des
élus.
Nous recrutons en CDD en renfort pour une durée d’un an:
Assistant(e) de gestion des données patrimoniales

Mission :
Diagnostics de Performance Energétique (DPE) du patrimoine :
o Collecte, préparation et transmission des informations techniques au diagnostiqueur
immobilier.
o Intégration des DPE dans l’outil informatique
Intégration et mise à jour des données patrimoniales :
o Intégration du nouveau patrimoine dans le logiciel de gestion locative (Cassiopae)
o Préparation et intégration des données dans la maquette numérique
Profil :
Vous êtes rigoureux(se). Vous avez le sens du travail en équipe, votre capacité à respecter les
délais, vos qualités relationnelles et d’organisation, votre autonomie, seront autant d’atouts
pour réussir dans cette mission.
Des connaissances du vocabulaire du bâtiment seront appréciées.
La maîtrise de l’outil informatique est requise (Abyla/Estia/Cassiopae/GED/Excel/…)
Intégration :
Une formation sera assurée par la titulaire du poste
Modalités pratiques : Merci d’adresser lettre + CV + rémunération actuelle et souhaitée en précisant
la référence ADP 2022-02 à A. Rousseau par mail : recrutement@finisterehabitat.fr",
https://fr.indeed.com/viewjob?jk=85445d27987689f0,DATA MANAGER,CDI,Work&You,35,Bretagne,"#çamatchentrenous
✅ Entreprise Great Place to Work
✅ Des possibilités d'évolution
✅ Un poste polyvalent
""Leader français dans le domaine de l'assurance, plus d'un million de clients nous font confiance. Nous recherchons aujourd'hui notre futur(e) Data manager H/F pour rejoindre notre équipe"". ‍
Rattaché(e) au Directeur de site, vous aurez sous votre responsabilité une équipe qui organise l'activité d'un centre de gestion des sinistres.
Votre potentiel permettra de :
Dimensionner le besoin de capacitaire,
Établir la planification opérationnelle des flux d'activités,
Piloter les ressources disponibles en coordination avec les managers,
Suivre et améliorer la performance de traitement.
Votre envie de nous rejoindre :
Vous êtes une personne autonome, rigoureuse, méthodique et possédez une grande implication. Doté(e) d'un bon relationnel et d'une excellente communication, vous êtes capable d'avoir l'esprit de synthèse et le sens des responsabilités.
Vous êtes un profil Ingénieur ou issu d'un master en Supply Chain et Gestion de projet, et avez une première expérience dans la planification des activités opérationnelles.
Vous souhaitez vous investir dans une société conviviale, dynamique et digitale ? Ce poste est fait pour vous !
Votre rémunération annuelle brute sera à négocier en fonction de vos compétences et de votre expérience.
Poste à pourvoir en CDI dès que possible.
Avec Work&You ""Provoquer LA rencontre professionnelle"" ! Emilie s'engage à vous répondre sous 48h !",
