Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Salaire,Description
https://fr.indeed.com/viewjob?jk=43baa35f0246ff3f,Chef du service gestion des données scientifiques H/F,CDI,ANDRA,Bure (55),Grand-Est,NA,"La direction scientifique et technique (DISTEC) a pour mission d’apporter l’appui scientifique et technique « cœur de métier » à l’ensemble des activités relatives aux stockages (existants et en projet…) et pour leurs différentes phases de vie (conception, réalisation, exploitation, surveillance, fermeture et après-fermeture).
Au sein de cette direction, le département « Coordination, capitalisation des expérimentations et pilotage des démonstrateurs » a pour mission de mettre en œuvre les expérimentations scientifiques et technologiques au Laboratoire de recherche souterrain de Meuse/Haute-Marne et en surface, de piloter les programmes d’essais de démonstration ainsi que de gérer et capitaliser l’ensemble des données scientifiques et techniques acquises (plus de 2 millions de données/jour).
Au sein de ce département composé de deux services, vous êtes responsable du service gestion des données scientifiques qui a pour principales missions :

De référencer, de capitaliser et de valoriser toutes les données scientifiques du Centre de Meuse/Haute-Marne issues des différentes méthodes de caractérisation du milieu géologique et des matériaux (carottes, forages…) ;De concevoir, gérer, maintenir et faire évoluer les bases de données scientifiques et les applicatifs associés pour leur exploitation par les unités opérationnelles en cohérence avec les règles de l’Agence en matière de développement informatique ;D’assurer la conception, le déploiement et la maintenance des systèmes d’acquisition de données et des équipements réseau pour la mise en œuvre des différentes expérimentations et démonstrateurs technologiques sur les sites du Centre de Meuse/Haute-Marne ;De proposer des évolutions et des stratégies d’évolutions des bases de données scientifiques au regard des évolutions technologiques et d’innovation continues dans ce domaine en assurant une veille technologique. Vous contribuez également à la définition des besoins pour la gestion des données du projet Cigéo.
Dans ce contexte, en tant que chef de service :Vous assurez l’encadrement et l’animation d’une équipe comprenant des ingénieurs et des techniciens ;Vous veillez à la bonne réalisation des différents travaux menés au sein du service (en propre ou au moyen de sous-traitance), dans un objectif de qualité et d’excellence scientifique et technique, de respect des coûts et des délais afférents, et mettez en place les instruments de pilotage et de reporting nécessaires à la bonne conduite de vos activités ;Vous mettez en place, au sein de votre service et si besoin au-delà, les modalités d’animation permettant le partage d’information, la cohérence des travaux et la gestion de la transversalité des sujets ;Vous organisez les interactions avec les entités de l’Agence impliquées, en interne comme en externe au département et à la direction.

Profil

Ingénieur diplômé de grande école, vous justifiez d’une expérience opérationnelle d’au moins 10 ans sur le pilotage de projets liés aux bases de données scientifiques (Oracle, SQL, VB.Net, ASP.Net. HTML, Crystal Report…) dans le domaine des géosciences. Vous possédez également de solides compétences en animation d’équipe.
Par ailleurs, vous possédez des qualités relationnelles très fortes, qui vous permettent d’assurer à la fois le management du service et les échanges en interne et externe de l’Agence. Vous justifiez également d’une capacité à intégrer rapidement les problématiques scientifiques/techniques ainsi que des qualités d’organisation, au service des enjeux opérationnels, associées à une capacité à prendre des décisions, tout en assurant un reporting rigoureux et ciblé auprès du chef de département.
Enfin, vous disposez d’un état d’esprit positif, bienveillant, dynamique, motivé et constructif qui sera un élément essentiel de votre succès sur le poste.


Localisation du poste
Site

Centre Meuse – Haute Marne
Lieu

Bure (55)
Critères candidat
Niveau d'expérience min. requis

Supérieur à 10 ans
Entité de rattachement
L'Andra, Agence nationale pour la gestion des déchets radioactifs (650 collaborateurs), est chargée de la gestion à long terme des déchets radioactifs produits en France.


Dans le cadre de cette mission, elle met son expertise et son savoir-faire au service de l'État pour trouver, mettre en œuvre et garantir des solutions de gestion sûres pour l'ensemble des déchets radioactifs français afin de protéger les générations présentes et futures du risque que présentent ces déchets.

Créée en 1979, l'Andra est devenue un établissement public industriel et commercial en 1991.

Elle est indépendante des producteurs de déchets et est placée sous la tutelle des ministres chargés respectivement de l'énergie, de la recherche et de l'environnement."
https://fr.indeed.com/viewjob?jk=0da83754a4687dad,Responsable des données patrimoniales,CDD,Ville et Eurométropole de STRASBOURG,Strasbourg (67),Grand-Est,NA,"Le service de l’Eau et de l’assainissement fournit aux usagers-ères l’eau potable et l’assainissement des eaux usées au juste prix tout en préservant un haut niveau de qualité et d’investissements. L’eau et l’assainissement sont des services publics qui fonctionnent 7 jours/7, 365 jours par an grâce à des équipes de permanence et d’astreinte. Il est certifié ISO 9001 et ISO 45001.

Vous êtes responsable de la création, la mise en forme, la mise à jour et la diffusion des données patrimoniales du réseau de distribution d’eau potable. Vous garantissez la fiabilité et l'enrichissement des données.

ACTIVITÉS PRINCIPALES :

Assurer l'organisation quotidienne de l'activité de son équipe de 2 dessinateurs en veillant à la répartition des charges et à la priorisation des opérations.
Piloter la mise à jour des données descriptives du réseau de distribution d’eau potable et participer à cette mise à jour notamment les données de branchements, dates de pose-
Préparer la migration des données dans le cadre de la mise en place du nouveau SIG et participer à cette migration et au déploiement de nouveaux outils.
Proposer des développements d’évolution des bases de données.
Piloter et garantir l'instruction des dossiers DR-DICT.
Tenir à jour les différents tableaux de bord d’activité.
Participer à l’élaboration de cartographies thématiques à disposition des autres départements du service.
Respecter les consignes de sécurité enseignées et portées à sa connaissance, ainsi que les procédures internes relatives à ses activités.
Etre force de proposition à l’élaboration, suivre la bonne exécution du plan de formation et assurer la sensibilisation des agents en matière d’hygiène et de sécurité, et faire le point avec chaque agent au moment de l’EAP.
Réaliser le suivi des habilitations, autorisations et permis requis.
Contrôler la bonne application des procédures, consignes de travail et mesures de prévention par l’intermédiaire de visites de terrain.
Prendre toutes mesures conservatoires en cas de danger grave et imminent (par exemple : interruption de l’activité de travail) et en informer la hiérarchie.

Procéder à l’analyse des accidents du travail et participer à la mise en œuvre des actions correctives.

Participer à l’analyse des risques liés à l’intervention d’entreprises extérieures et à la définition de mesures de prévention (plans de prévention, protocoles de sécurité).

Technicien territorial Eau - Assainissement,, Responsable des données patrimoniales, Ville et Eurométropole de STRASBOURG Le service de l’Eau et de l’assainissement fournit aux usagers-ères l’eau potable et l’assainissement des eaux usées au juste prix tout en préservant un haut niveau de qualité et d’investissements. L’eau et l’assainissement sont des services publics qui fonctionnent 7 jours/7, 365 jours par an grâce à des équipes de permanence et d’astreinte. Il est certifié ISO 9001 et ISO 45001.

Vous êtes responsable de la création, la mise en forme, la mise à jour et la diffusion des données patrimoniales du réseau de distribution d’eau potable. Vous garantissez la fiabilité et l'enrichissement des données.

ACTIVITÉS PRINCIPALES :

Assurer l'organisation quotidienne de l'activité de son équipe de 2 dessinateurs en veillant à la répartition des charges et à la priorisation des opérations.
Piloter la mise à jour des données descriptives du réseau de distribution d’eau potable et participer à cette mise à jour notamment les données de branchements, dates de pose-
Préparer la migration des données dans le cadre de la mise en place du nouveau SIG et participer à cette migration et au déploiement de nouveaux outils.
Proposer des développements d’évolution des bases de données.
Piloter et garantir l'instruction des dossiers DR-DICT.
Tenir à jour les différents tableaux de bord d’activité.
Participer à l’élaboration de cartographies thématiques à disposition des autres départements du service.
Respecter les consignes de sécurité enseignées et portées à sa connaissance, ainsi que les procédures internes relatives à ses activités.
Etre force de proposition à l’élaboration, suivre la bonne exécution du plan de formation et assurer la sensibilisation des agents en matière d’hygiène et de sécurité, et faire le point avec chaque agent au moment de l’EAP.
Réaliser le suivi des habilitations, autorisations et permis requis.
Contrôler la bonne application des procédures, consignes de travail et mesures de prévention par l’intermédiaire de visites de terrain.
Prendre toutes mesures conservatoires en cas de danger grave et imminent (par exemple : interruption de l’activité de travail) et en informer la hiérarchie.

Procéder à l’analyse des accidents du travail et participer à la mise en œuvre des actions correctives.

Participer à l’analyse des risques liés à l’intervention d’entreprises extérieures et à la définition de mesures de prévention (plans de prévention, protocoles de sécurité).
Bac + 2 en topographie ou gestion de l'eau et de l’assainissement.
Expérience de 3 ans dans le domaine, idéalement complétée par une expérience réussie de management d'équipe.
Maîtrise des outils informatiques dédiés aux systèmes d'information géographique (Géocity, Autocad, Mapinfo-) et associés (Microcam, SIS3D-).
Maîtrise du fonctionnement d'un réseau d'assainissement et des techniques et matériels correspondant.
Maîtrise des techniques topographiques.
Maîtrise des normes et techniques de la représentation par le dessin.
Capacité à planifier et contrôler la réalisation des activités.
Capacité à animer, mobiliser et fédérer son équipe.
Qualités relationnelles et capacité à collaborer avec des partenaires variés
Capacité à effectuer et contrôler des levés de terrain.
Etre force de proposition.
Permis B souhaité.

"
https://fr.indeed.com/viewjob?jk=212182ff31040d6a,ALT - ASSISTANT.E DATA ANALYST ENERGIE H/F,Alternance,GRTgaz,Nancy (54),Grand-Est,NA,"Intitulé du poste

ALT - ASSISTANT.E DATA ANALYST ENERGIE H/F
Intitulé au Référentiel Emploi de GRTgaz

ALTERNANT SYSTEME GAZ
Contrat

Apprentissage / Professionnalisation
Durée du contrat

1 ou 2 ans
Description du poste

Au sein de la direction de système gaz, vous intégrez un collectif de 7 personnes. Vous contribuerez au bon fonctionnement du réseau de transport de gaz haute pression du périmètre géographique qui est placé sous la responsabilité de votre équipe en donnant la priorité à la sécurité et au respect de l’environnement.
Vous recherchez des activités diverses et variées ? Vous aimez le travail en équipe?
 Vous êtes au bon endroit

Et vos missions au quotidien ?
Vous apprendrez à réceptionner, contrôler, analyser et valider les restitutions des données de comptage,
tout en respectant les délais impartis afin de contribuer à la fiabilité des allocations et des données de facturation, ainsi qu'à la fiabilité du bilan de GRTgaz.

Vos activités?
Vous validerez quotidiennement des données télétransmises et réaliserez des estimations de consommations nécessaires.
Vous apprendrez a analyser et fiabiliser la reconstruction du Pouvoir Calorifique Supérieur du gaz.
Vous validerez mensuellement des données aux points de livraison et aux interfaces du réseau de transport ainsi que le traitement de ces informations.
Vous serez en charge de la mise en œuvre d'actions de correction en cas de dysfonctionnement.
Vous ferez l'extraction, la mise en forme et l'analyse d'historiques de données de consommation et de transit.
Vous participerez à l'analyse des non-conformités, la mises en évidence par les indicateurs de pilotage de l'activité et à la mise en œuvre des actions d'amélioration continue.
Dans le cadre de votre alternance d'autres missions peuvent vous être confiées.
Et pour en savoir plus sur l'alternance chez GRTgaz :
 Notre petit + :

Profil recherché

Vous préparez une formation de type DUT STID,DUT Mesures Physiques, BTS CIRA, BTS ATI, BTS fluides Énergie Environnement, DUT métrologie Contrôle Qualité, DUT informatique industrielle ou équivalent et vous recherchez une alternance pour 12 ou 24 mois.
On a sûrement quelque chose pour vous !
Vous êtes celui/celle qu’il nous faut si…
Vous avez :

Une maîtrise des outils informatiques et bureautiques notamment EXCEL
Une connaissances dans les domaines techniques de la mesure physique et de l'instrumentation et/ou de l'analyse statistique
Une Capacité à analyser, contrôler et traiter des données numériques
Une aisance rédactionnelle
Ou encore que vous êtes :
DynamiqueReconnu.e pour votre esprit d'équipe et le sens du relationnel ainsi que celui du client
Prêt.e à vivre l’expérience GRTgaz? Alors n’hésitez plus et POSTULEZ !
Quel est le processus de recrutement ?
Si votre CV est sélectionné vous serez contacté.e par un.e chargé.e de recrutement :Vous réaliserez un premier entretien RH par téléphone pour exprimer votre motivation. Puis un second entretien avec le / la tuteur.rice et/ou manager.Si vous êtes retenu.e, vous débutez le processus d'embauche. Dans le cas contraire, nous vous prévenons dans les meilleurs délais et votre CV pourra être conservé dans notre vivier pour d'autres opportunités.


Déplacement / Permis B

Non
Mentions obligatoires

Les règles de déontologie vis-à-vis du Groupe ENGIE sont régies par le code de l'énergie et le code de bonne conduite de GRTgaz.
Cet emploi nécessite la connaissance d'informations commercialement sensibles (ICS).

Comme toute offre déposée sur ce site, celle-ci peut s'inscrire dans le cadre de l'accord triennal pour l'emploi des personnes situation d'handicape signé le 11 juin 2019 par GRTgaz.
Localisation du poste
Localisation du poste

France, Grand-Est, Meurthe et Moselle (54), NANCY - 002500 - 24,5
Lieu

NANCY

Formation
Formation préparée : niveau de diplôme

05 BAC +2 / DUT / BTS / DEUG
Formation préparée : spécialité

DUT STID (Statistique et Informatique Décisionnelle)"
https://fr.indeed.com/viewjob?jk=a40dcb057bf12d8b,Agent administratif- accueil/traitement données chiffrées F/H,CDD,CAF DE LA MEURTHE-ET-MOSELLE,Nancy (54),Grand-Est,NA,"Contexte
La Caf de Meurthe et Moselle recrute pour son siège à Nancy, 7 agents administratifs F/H pour de l'accueil et du traitement de données chiffrées, en CDD de 5.5 mois. Les postes à temps plein sont à pourvoir à compter du 2 mai 2022 jusqu'au 21 octobre 2022.
Mission/Activités
Accueil des allocataires au siège de la Caf et accompagnement à l’utilisation des services en ligne, des téléprocédures, et / ou pour apporter une réponse de premier niveau. Promotion de l’utilisation des services dématérialisés. Consultation les dossiers allocataires pour le renseignement de premier niveau Traitement technique de dossiers de prestations simples par : La réalisation d’un diagnostic de la situation de l’allocataire, le traitement et le suivi du dossier jusqu’à sa résolution La recherche d’informations complémentaires pour mise à jour des situations via des appels téléphoniques auprès des allocataires, des recherches dans les portails informatiques de nos partenaires. Participation à des opérations ponctuelles au sein du service prestations, consistant à saisir des informations dans les outils informatiques. Réalisation de campagne d’appels sortants auprès des usagers et des partenaires A la prise de fonction une formation de 3 semaines ( dans les locaux de la Caf 54) à la réglementation ainsi qu’aux outils informatiques internes et à l’accueil sera dispensée.
Compétences
Aisance à la manipulation de données chiffrées. Sens de la relation de service Compréhension rapide Qualité relationnelle et esprit d’équipe Facultés d’adaptation, d’apprentissage et de mémorisation Capacité d’analyse et esprit de synthèse Maîtrise de l'outil informatique Rigueur et dynamisme Qualités rédactionnelles et aisance verbale
Formation
Bac ou Bac + 2
Conditions particulières
Une première sélection sera effectuée au travers des lettres de motivation et CV. Des tests psychotechniques seront réalisés auprès d’un cabinet de recrutement semaines 13 ou 14. Un entretien avec un jury Caf aura lieu semaine 15. NB : Les convocations seront adressées par courriel. Toute la procédure de recrutement sera réalisée dans le respect des gestes barrières et des mesures de prévention.
Contact
Les lettres de motivation et les C.V. devront parvenir avant le 22 mars 2022 dernier délai sous la référence : SRA-0522 par messagerie à l’adresse suivante : recrutement.cafnancy@caf.cnafmail.fr
Niveau de qualification
 NIVEAU 3"
https://fr.indeed.com/viewjob?jk=61e116a12b7e433b,Chef de projet Data Center expérimenté F/H,CDI,welinkit,Strasbourg (67),Grand-Est,NA,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Chef de Projet Data Center expérimenté(e). Vous aurez en charge de piloter des projets de rénovation et d'évolution d'infrastructures télécoms, avec comme principales missions de :
Assurer la préparation, la planification et le suivi opérationnel des projets.
Contribuer à l'organisation des interventions des équipes techniques.
Participer à la conception et à la mise en oeuvre des Data Centers.
Avoir un rôle de MOE au niveau de la conception et de l'exécution dans les domaines des courants faibles, sûreté, sécurité incendie, extinction incendie, ...
Consulter les sous-traitants.
Prendre la responsabilité des travaux au sein des salles informatiques.
Gérer les budgets.
Manager les équipes techniques.


Profil recherché
De formation supérieure Télécom ou Electrotechnique.
Expérience d’au moins 5 ans dans la gestion de projets de déploiement d'infrastructures techniques (réseaux LAN, Wifi, ...).
Maîtrise des contraintes de déploiement et de pilotage des fournisseurs.
Très bonne connaissance des sites réseaux.

Compétences dans les domaines techniques Data Centers et sites réseaux (Electricité, Courants forts et faibles, climatisation, sûreté, anti intrusion, contrôle d'accès, sécurité, protection, extinction incendie, ...)."
https://fr.indeed.com/viewjob?jk=7f24d8cbb868d5c0,Développeur (se) DATA BI H/F,"Temps plein, CDI",DODO SAS,Saint-Avold (57),Grand-Est,NA,"Envie d’un nouveau challenge qui stimule votre évolution de carrière pour cette nouvelle année 2022?Au sein de la DSI, vous participerez à la conception et l’animation des outils et solutions BI à destinations de la direction, du management intermédiaire et des opérationnels. Vous pourrez mettre en pratique vos acquis, développer de nouvelles compétences techniques et fonctionnelles.Vos missions sont les suivantes :Comprendre les besoins des équipes métiers, participer à la conception technique des solutions, définir un découpage et estimer la charge nécessaire aux développements,Dialoguer avec les Product owner et/ou utilisateurs afin de cadrer leurs besoins, leur proposer des solutions et en sortir une spécificationAnalyser les spécifications d'un projet, étudier la disponibilité et le format des sources de donnéesIndustrialiser la récupération de données, modéliser le datawarehouse et développer les reportsDévelopper et maintenir la structure et les performances du datawarehouse,Développer de nouveaux process ETL scalables et maintenir les process déjà en place pour assurer l'intégrité des données (flux de données ou interfaces),Maintenir en conditions opérationnelles les environnements BI en collaboration avec l'équipe Infrastructure,Maintenir et développer les rapports basés sur les indicateurs métiers dans les solutions BI,Mettre en place les tests associés ainsi que les cahiers de recette aux développements de rapports,Rédiger et maintenir la documentation technique,Évaluer des technologies et mettre en production pour résoudre les problématiques métiers.Dialoguer avec les équipes Développement dans le but de communiquer sur les modifications impactant la BI et être force de proposition en termes d'évolution des bonnes pratiques pour améliorer la gestion de la BITitulaire d’un BAC+3 dans l’informatique, vous possédez des compétences techniques clés tel que SQL et gestion de BDD (SQL Server, postgre..), Talend, Outils de BI et de préférence Qlik View et Qlik sense.De formation BAC+3 dans l’informatique, vous justifiez d’une expérience d’au moins 3 ans sur un poste similaire et avez déjà participé à l’ensemble des phases d’un projet BI.Votre appétence fonctionnelle, votre dynamisme et votre rigueur sont gages de réussite pour évoluer dans ce poste. Vous êtes autonome, rigoureux et avez le sens de la communication.Prêt à relever le défi ? Alors n’hésitez plus, venez en discuter !Salaire: à définir selon profilType de contrat : CDISecteur : Saint-Avold / Lyon / StrasbourgType d'emploi : Temps plein, CDIHoraires :Périodes de travail de 8 heures"
https://fr.indeed.com/viewjob?jk=90c6394fbeaa9482,Chargé d'analyse de données (H/F),"Temps plein, CDI",Harry Hope,Metz (57),Grand-Est,NA,"Pour résumer
Type de contrat : CDI
Type : Temps plein
Statut : Agent de maîtrise
Salaire : de 35000EUR à 45000EUR par ANNEE + divers avantages
Région : Lorraine
Département : Moselle
Ville : Metz
A propos de la société
Harry Hope, cabinet de recrutement accompagne candidats et entreprises dans leurs recherches des meilleures opportunités en France et à l'international. Afin de mieux répondre à vos enjeux, tous nos consultants sont spécialisés par secteur d'activité et zone géographique.


Nous recrutons, pour le compte de l'un de nos clients spécialisé dans le domaine de l'énergie basé à Metz, son.sa Chargé.e d'analyse de données.
Description du poste
Au sein de l'équipe de Metz, vous créez les installations dans SAP en préambule de la facturation Vous assurez l'acquisition des données de consommation électricité et gaz auprès des gestionnaires de réseau et vous les contactez proactivement si nécessaire. Vous garantissez la mise à jour et la cohérence des données du système d'information pendant la vie du contrat. Vous assurez la validation et la correction des données de consommation électricité et gaz. Vous êtes en charge des pré-calculs des éléments servant de base à la facture des clients. Vous surveillez la synchronisation technique des systèmes et des échanges électroniques avec les acteurs du marché. En cas d'anomalie, d'erreur ou de réclamation, vous mettez en oeuvre les actions nécessaires pour satisfaire le client. Vous vérifiez l'intégration de toutes les données de facturation dans les outils Vous contribuez à la vérification de la justesse des factures et vous assurez la cohérence des données avec les informations recueillies au cours du mois.
Profil recherché
Titulaire au minimum d'une formation niveau de type BAC+2, issu d'une filière technique ou comptabilité-gestion avec une forte appétence pour les chiffres.

Vous avez au moins deux ans d'expérience dans un poste analytique, idéalement au sein d'une équipe de facturation ou d'analyse de données.

Vous êtes rigoureux, analytique et aimez tant l'élaboration des processus que leur implémentation.

Vous aimez évoluer en équipe tout en étant capable de travailler de façon autonome.

Vous êtes flexible, ambitieux et souhaitez développer vos compétences.

Vous avez de bonnes connaissances de la langue anglaise (écrit)."
https://fr.indeed.com/viewjob?jk=0c7023b74d5e00ac,DPIA expert for Data Protection Impact Assess - 220-day initial +2x 1-years - Strasbourg - EU-client,NA,infom consulting GmbH,67000 Strasbourg,Grand-Est,NA,"We are looking for one ""DPO expert for DPIAs - Data Protection Impact Assessments"" in STRASBOURG (100% on-site, when Covid restrictions been lifted, EU-nationals ONLY) to start from approx. May 2022 a 220-day contract for an international Org' client in Strasbourg.
The initial contract will be signed for a duration of 220 days. Based on the project needs and budgetary availabilities, the duration may be amended up to 660 days. Place of delivery: Strasbourg.
EU nationals ONLY (due to the ""EU"" security certifications required). We can't accept any longer UK-consultants, as long they don't have EU-SECRET clearance or another EU-citizenship.
Our client is an international organisation and a great reference in any CV! English speaking environment.
100% onsite Strasbourg and living in proximity to clients' premises. Depending on COVID-19 rules in France, there might be some off-site (tbc), but in general, this position will be 100% on-site at EU-agency client in Strasbourg.
This is a real longterm contract with possibility of extension based on performance and budget availability (initial 220 day contract, where additional 2x220 = 660 days in total are foreseen for this contract).
EU nationals ONLY (due to the ""EU"" security certifications required). We can't accept any longer UK-consultants, as long they don't have EU-scurity-clearance or another EU-citizenship (after Brexit the UK-consultant can't get any longer ""EU"" security clearances, which is mandatory for this position).
A Security clearance (SC) will be required for this position, if you don't have a valid SC, we will guide you. Our company is holding ""FSC - Facility Security Clearance"", so we are able to guide/sponsor you through the ""PSC - Personal Security Clearance"" procedure.
Start date ""ASAP"" means not before April-May-June (because of SC-procedure, where an existing EU-security-clearance will allow to start soon, and a new application will delay start by some weeks).
TASKS
You will work in the DPO -Data Protection Office
Review and comment DPIAs drafted by contracting companies; Provide feedback on the drafting from a legal and risk assessment perspective; Make recommendations to improve the drafting; Draft reviews for the DPO to prepare the DPIA's approva; Ensure privacy by design and by default solutions for the large-scale IT systems; Assist and/or perform threshold and data protection impact assessments (DPIA); Assist in developing and maintaining DPIA methodology; Assist in providing training on DPIA methodology; Assist in handling data breaches in particular within the large-scale IT systems from detection, response and final report; Assist in drafting data protection policies and procedures; Identify gaps and contribute to the development of project plans to close the gaps and meet data protection requirements set forth by applicable regulation applicable to the large-scale IT systems and data protection Regulation (EU) 2018/1725; Assist with any other tasks related to data protection. Excellent written and verbal communication skills in English essential.
SKILLS
Degree or equivalent experience demonstrating focus on privacy engineering is particularly applicable; Privacy/Data Protection certification such as Certified Information Privacy Professional/Manager (CIPP/E or CIPM), EIPA - Data Protection Certification, University of Maastricht - Data Protection Certification, Practitioner Certificate in Data Protection from PDP Training (UK) - including Conducting Data Protection Impact Assessments' in the certification programme, any other equivalent certification in data protection and/or conducting data protection impact assessments officially recognised by any EU/EEA National Data Protection Authorities; 4 year demonstrable experience in performing Data Protection Impact Assessments (DPIA) as a separate document produced independently from other documentation such as Security Risk Assessments; 6 year demonstrable experience in implementing privacy enhancing technologies; 3 year demonstrable experience in handling data breaches, in particular within the large scale IT systems, in compliance with the applicable data protection regulations including assessment and mitigation measures to reduce the impact on data subjects.
AWARD/OTHERS

EU nationals ONLY (due to the EU security certifications required). The applicants attention is drawn to the important role that the curriculum vitae plays in the evaluation. Curriculum vitae shall illustrate the specific skills relevant to this request. We would like to receive CVs of suitable candidates together with pricing quotations, based on a daily net rate including travel costs for the services described. This position requires ""security clearance level: EU SECRET"". If the candidate doesn't have a Security Clearance (SC) yet, then he/she can start working, when presenting: - A criminal record (from his/her home country), plus ID-card copy, and - A prove that we have started the proceed to obtain the SC. Our company is holding ""FSC - Facility Security Clearance"", so we are able to guide/sponsor you through the ""PSC - Personal Security Clearance"" procedure. Europass-CV-format (DOC) will be required at a later stage, it's mandatory, we can provide template (please don't use the online forms). This role will be 100% onsite in Strasbourg after the restrictions have been lifted.
PROVIDER
infom consulting is an owner-managed business and consulting firm in Germany. The company supports large corporations and larger SMEs across Europe. Our IT experts are realising projects for the European Institutions, United Nations agencies, International Organisations and multinational companies across the EU.
If this sounds of interest, then please get in touch ASAP so we can talk about the role and your experience."
https://fr.indeed.com/viewjob?jk=8d2c20a389681f30,Global Data Program Director (H/F),NA,Taste RH,Avant-lès-Marcilly (10),Grand-Est,NA,"TASTE est un Cabinet de conseil en recrutement innovant, indépendant et convivial positionné depuis 2004 sur le marché des cadres experts (middle-top management).


Notre client, leader de la restauration collective, entame un épisode de croissance et de digitalisation de ses services. Dans ce contexte, nous cherchons un leader de la transformation, expert en valorisation de la donnée afin d’accompagner les équipes dans leurs projets data. Nous sommes à la recherche d’un Global Data Program Director (H/F).


Rattaché(e) au Head of Data, vous êtes en charge en charge de la gouvernance et de la qualité des données du groupe. Vous avez pour enjeu global de concevoir des proofs of concept ou des analyses stratégiques afin d’innover et de développer des nouvelles sources de chiffre d’affaires.


Missions :

Participation aux activités d'avant-vente (POC, propositions commerciales)
Ateliers de recueil des besoins, Spécifications fonctionnelles, Spécifications techniques
Aide au choix d’outils, Audits techniques
Gestion de Projet: Cycle en V, Méthodes Agiles (Scrum)
Conception : Architecture de systèmes décisionnels, Modélisation de bases de données
Pilotage et réalisation des développements : Flux d’alimentation, Vues sémantiques, Restitution
Rédaction des documentations fonctionnelles et techniques
Organisation de la filière data et de son déploiement
Politiques data et qualité et charte éthique data
Mise en œuvre du dictionnaire des données d'entreprise et des indicateurs clés de qualité
Choix et pilotage de la mise en œuvre des outils de gouvernance et de qualité des données
Chef de projet use case data - domaine marketing / développement
Lead sur la gouvernance et qualité du projet Référentiel Clients (solution MDM)


Profil :


Vous disposez d’une expérience professionnelle d’au moins 7 ans dont au moins 2 ans dans un poste équivalent idéalement acquise dans le marketing B2B2C. Une expérience au sein d’un environnement international sur les problématiques digitales sera un atout majeur pour ce poste.


Anglais bilingue.


Localisation : Paris


Localisation : Paris
Référence de l’annonce : ALA22004"
https://fr.indeed.com/viewjob?jk=0b4f295ccc898e44,Technicien data management H/F,Temps plein,Proman,68330 Huningue,Grand-Est,NA,"Nous sommes à la recherche d'un Technicien Data Management (F/H - Temps plein) pour l'un de nos client spécialisé dans le domaine de la pharmaceutique situé à Huningue :
Au sein de la Direction Supply Chain et en liaison avec les services Techniques et Commercial du site ainsi que nos clients, vous gérez les créations et modifications de l’ensemble des données de production pour le site (composants, produits, nomenclatures et gammes de production)
Votre mission :
Expert dans votre domaine, vous cernez les besoins de vos interlocuteurs internes comme externes et les aidez à exprimer leurs demandes et structurer leurs données. Vous proposez des améliorations de processus.
Vous gérez la création, la modification et la maintenance des données techniques et produits dans SAP et autres systèmes liés.Vous contrôlez et pilotez les données afin d’en garantir la cohérence, la fiabilité et l’optimisation.Vous travaillez en collaboration quotidienne avec les équipes Industrialisation, ADV, Appros/Achats, Planning, Production et Qualité.
Pour plus d'offres d'emploi, téléchargez notre application myPROMAN intérimaires sur App Store ou Google Play.
Profil :
De formation supérieure en logistique ou génie industriel, vous avez évolué dans un environnement industriel.
Vous avez un fort sens du service client et un vrai goût pour le travail d’équipe.
Organisé(e), consciencieux(se) et de nature curieux(se), vous êtes une personne qui allie le sens de l’écoute et de la communication et une bonne capacité à prendre du recul.
Autonome et réactif(ve), vous savez gérer les priorités et prendre des initiatives au sein d’une structure dynamique.
Vous avez un bon niveau d’Anglais, êtes à l’aise en informatique, et maitrisez les outils de gestion industrielle. La connaissance de SAP, notamment des modules MM et PP serait un plus.
Organisation, prise de décision et pédagogie seront clés pour mener à bien votre mission.
salaire selon profil
Le poste est localisé à Huningue (68)
poste à pourvoir immédiatement
Tous nos postes sont ouverts aux personnes en situation de handicap."
