Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Description,Salaire
https://fr.indeed.com/viewjob?jk=23cc32b81f518abd,DATA ANALYSTE,CDI,Maisons du Monde,75,Île-de-France,"Bienvenue chez Maisons du Monde !
Maisons du Monde de par son ADN et sa raison d’être est une entreprise singulière, composée de femmes et d’hommes engagés depuis toujours au développement d’une offre unique pour nos clients.
Chaleureuse, car l’humain est notre première richesse, notre façon d’être ensemble est primordiale grâce à des relations simples, sympathiques, basées sur l’entraide et la proximité.
Inspirée, grâce à l’innovation permanente au service de nos clients, qui nous fait avancer toujours plus loin depuis 25 ans.
Durable, car engagés dans les causes les plus nobles autour de projets environnementaux et citoyens, nous prônons l’égalité des chances et le développement de chacun à l'ouverture au monde.

Contexte :
La direction data de Maisons du Monde se compose actuellement d’une quarantaine d’experts de la donnée : data scientists, data analysts, data engineers, web analysts, data-delivery managers…
Ses missions consistent à accompagner l’ensemble des équipes métiers : marketing, offre, communication, supply-chain, e-commerce, marque … dans l’usage de la data.
Forte d’un socle technologique au niveau de l’état de l’art (Plateforme Google Cloud Platform, Big Query, Airflow, Docker, Kubernetes, Qliksense …), elle développe des outils orientés end-users à forte valeur ajoutée.
Dans le cadre de son développement, l’équipe data se renforce et recrute un Data Analyst produit (h/f).

Sur le périmètre métier pour lequel vous intervenez :

Vous accompagnez le Lead Data dans la co-construction avec les équipes métiers de la roadmap data inhérente à la roadmap business définie.
Vous assurez la mise en œuvre de cette roadmap, au travers de la réalisation d’analyses ad hoc stratégiques répondant aux problématiques métiers exprimées.
Vous apportez des insights et recommandations opérationnelles issues de vos travaux d'analyses aux équipes métier.
Vous êtes amené à participer aux recettes des projets data mis en place pour le métier, ainsi qu'aux travaux de mise en qualité de la donnée avec l'appui de l'équipe Data Gouvernance.
Vous êtes amené à former et accompagner les équipes métiers sur QlikSense
Vous évoluez au sein d'une équipe de Data Analystes ; vous êtes affecté à l'une des différentes squads métier en place et travaillez sous la responsabilité managériale du Lead Data pour cette Squad.

Vous êtes fan Maisons du Monde et vous partagez nos valeurs de Passion, d'Engagement, d'Audace et d'Exigence.
Vous êtes engagé(e) sur les sujets environnementaux et la RSE !

Vous avez une appétence pour les nouvelles technologies
Vous aimez le travail en équipe
Vous avez une appétence pour les problématiques métiers
Vous êtes organisé, rigoureux, soucieux de la qualité des livrables auxquels vous contribuez
Vous avez de solides compétences SQL
Vous maitrisez un outil de visualisation type QlikSense.
Une maîtrise de l'anglais (fluent) est un plus

",
https://fr.indeed.com/viewjob?jk=fcebe0660aeb11ab,DATA INGENIEUR,CDI,Numberly,75,Île-de-France,"Description de l'entreprise
Numberly met la technologie au profit du marketing : nous aidons nos clients à mieux comprendre leurs consommateurs en mettant en place des systèmes pour collecter, analyser et utiliser la donnée. Pour cela, nous sommes plus de 150 ingénieurs (un tiers de Numberly) répartis en équipes autonomes.
Nous aspirons à ce que chacun puisse développer une influence positive, être proactif, et remettre en question nos choix techniques ou organisationnels.

Description du poste
Vous intervenez sur toutes les phases de la conception à la réalisation d’applications d’outils d’aide à la décision et monitoring de performance répondant aux problématiques métiers de nos clients.
Vous êtes amené à :
Intervenir sur des missions de cadrage et d’analyse des besoins fonctionnels;
Identifier et proposer les bons KPIs permettant de répondre aux attentes des clients;
Concevoir et réaliser les reporting d’aide à la décision en apportant une attention aux enjeux de self BI, ainsi que sur l’UX/UI Desktop et mobile;
Déployer des projets de Data Visualisation sous PowerBI en priorité mais possiblement en participant aux choix d’autres outils de restitution;
Accompagner les clients dans la bonne compréhension et montée en compétence sur l’exploitation et le maintien des tableaux de bord.
Vous assurerez également une veille technologique, et proposerez des solutions standardisées, fiables, évolutives liées à votre activité.

Qualifications
Vous avez au moins 2 ans d'expérience dans la mise en place de projets datawarehouse et datamart.
Vous avez une appétence particulière au domaine du Big Data, avec des réalisations de projets BI/reporting et dataviz dans ce contexte;
Vous avez de bonnes connaissance sur les sujets et compétences sur les technologies suivantes : ETL et SQL.
Vous êtes curieux(se), autonome, force de proposition et avez l’esprit d'équipe.
Vous avez le sens du contact et une forte motivation pour travailler dans un environnement innovant et dynamique (de nombreux prix ont récompensé le travail de Numberly en Europe et aux USA) au sein d’une équipe jeune (27 ans de moyenne d’âge) et internationale (25 nationalités).
Encore mieux si
Vous avez de l’expérience sur PowerBI.
Vous avez une connaissance du domaine fonctionnel marketing, digital, CRM, média et la relation client.
Informations supplémentaires
Chez Numberly, on partage une passion pour la transmission : des séminaires hebdomadaires, des talks avec des professionnels experts dans leur domaine, un apprentissage permanent.
Un onboarding rapide et puissant, notamment grâce :
aux Jedi Masters attribués aux nouvelles recrues ;aux Vis ma vie dans des équipes différentes ;aux Happy Meetings suivis par toutes les équipes dans le monde pour partager l’actualité du groupe.
Nous cultivons la liberté de parole qui permet à tous de participer au rayonnement du groupe. A travers 1000mercis impacts mais aussi par nos activités qui créent de la valeur dans l’open Internet, nous agissons positivement sur notre écosystème.
Numberly est Gender Equal by design (index de l’égalité Femmes / Hommes de 97/100 en 2020, certification WeConnect International).
Numberly est un environnement international (vous interagissez au quotidien avec de nombreuses nationalités) où l’on se sent comme chez soi : des bureaux à notre image, des cuisines conviviales, une bibliothèque pointue, un grand studio de musique tout équipé, de la place pour les vélos. Du café, du thé et des tisanes à volonté. Des mystery lunchs, des soirées déguisées et des cours de sport.
Jusqu'à 120 jours de remote possible par an à organiser comme vous le souhaitez.
Carte Swile (titres-restaurants).
Poste disponible à Paris.
Numberly accueille les candidats en situation de handicap.",
https://fr.indeed.com/viewjob?jk=38226c0be47b7cec,DATA ANALYSTE,CDI,Foncia,75,Île-de-France,"Emeria regroupe, à travers l'Europe, des marques spécialisées dans la gestion de copropriétés et la gestion locative, l'achat et la vente, le property management, et propose une gamme de services immobiliers allant des états des lieux et diagnostics techniques au courtage en assurances, en passant par la sécurité, les travaux d'entretien des copropriétés ou encore la commercialisation d'immeubles.
Emeria est n° 1 de la gestion de copropriétés, de la gestion locative et de la location de biens en Allemagne, en Belgique et en France, et n° 2 en Suisse. Également présent au Luxembourg, Emeria est aussi un des leaders européens du property management.
En 2021, Emeria rassemblait plus de 600 agences en Europe, et plus de 13 000 collaborateurs et collaboratrices, pour un chiffre d'affaires d'environ 1,2 milliard d'euros. Au service de plus de 3 millions de clients
Emeria est aujourd'hui présent en Allemagne sous la marque Reanovo, en Belgique avec OP et Trevi, en France avec Foncia depuis 50 ans, mais aussi Assurimo, Constatimmo, Efficity, Esset, Lodgis, Tech-Way, Seiitra ou Stares, et en Suisse avec Brolliet, Domicim et Gribi.

Emeria construit son équipe DATA et recrute en CDI un.e Data Analyst F/H.
Poste basé à Paris 8ème.

Venez rejoindre une équipe dynamique, en pleine construction et participer à l'élaboration des nouveaux outils digitaux du groupe. Devenez acteur de la transformation d'un métier en pleine mutation !

Notre équipe DATA est composée de data scientists, data engineers et data analysts. En rejoignant cette équipe, vous pourrez travailler à l'automatisation de l'ensemble de nos process BI, mais également accompagner nos data scientists pour les aider dans leurs projets IA.
Le Data Analyst travaille en étroite collaboration avec les équipes métiers et techniques, afin de transformer les besoins métiers en solutions digitales efficaces et pérennes.


En tant que Data Analyst, vos principales responsabilités consisteront à :
intégrer de nouvelles sources de données dans notre Datalake,construire les transformations qui nous permettront de partager des données de qualité aux différentes directions/filiales d'Emeria,migrer certains process du système Legacy vers l'architecture moderne mise en place par l'équipe DATA (Snowflake, Airflow…),collaborer avec les métiers afin de concevoir de nouveaux reportings,collaborer avec l'équipe Data Science afin de les aider à la conception de leurs modules d'intelligence artificielle.
Vos objectifs seront les suivants :
comprendre le métier et participer à la conception technique et fonctionnelle de nos solutions,concevoir, développer, tester et maintenir nos solutions DATA,automatiser les processus DATA et implémenter un monitoring de qualité,s'assurer qu'une documentation complète est créé et maintenue,être force de proposition pour l'amélioration continue des processus existants,participer au transfert de connaissance au sein de l'équipe.
Profil

Vous êtes idéalement diplômé.e d'un master axé data analyse,
Vous avez au moins deux ans d'expérience en tant que Data Analyst F/H et maitrisez l'analyse de données ainsi que la data visualization, notamment avec des outils comme Tableau Software.
Vous maîtrisez SQL et vous êtes capable d'écrire des requêtes complexes. Vous êtes capable d'optimiser les requêtes SQL
Vous êtes passionné.e d'analyse de données et de Data Visualization.
Vous avez un fort esprit analytique.
Vous êtes structuré.e, clair.e et concis.e dans vos synthèses et savez vulgariser vos connaissances auprès du métier.

Bonus :
vous connaissez Snowflake,
vous avez eu une expérience avec Airflow,
vous savez utiliser Git,
vous avez déjà eu une expérience avec des outils comme DBT,
vous avez de l'expérience avec des langages de programmation comme Python.",
https://fr.indeed.com/viewjob?jk=928669a431ce2173,DATA ANALYSTE,CDI,Dentsu Aegis Network,75,Île-de-France,"To carry out all the key detailed work that is required to make sure that market research is delivered accurately
Job Title:
Data Analyst H/F en CDD
Job Description:
Entreprise :
Premier groupe de communication intégré, dentsu france, présidé par Pierre CALMARD, rassemble plus de 1000 collaborateurs et intègre l’ensemble des métiers de la communication, autour d’agences leader sur leur métier : en Media (Carat, Iprospect et Dentsu X) et en création (Isobar, McGarryBowen, Gyro) tout en bénéficiant des expertises transversales de dentsu Trading, dentsu Creative et dentsu Datalab.
S’appuyant sur un modèle fondé sur l’intégration et l’indépendance, dentsu France propose à ses clients nationaux et internationaux de réinventer la manière dont on construit les marques, en mettant en œuvre un écosystème de communication évoluant sur l’ensemble des univers de contact avec le consommateur (media, digital et live).
Nous recherchons un(e) Data analyste en CDD au sein de dentsu data labs, département research et insights du groupe dentsu France (insights consommateurs, études marketing, études publicitaires.)
Missions :
Dans le cadre de votre mission de data analyste, vous serez amené(e) à travailler sur différentes étapes de projets clients (en collaboration avec les autres membres de l’équipe).
Prise de brief et élaboration du protocole d’étude
Gestion de la relation client et des prestataires
Rédaction du questionnaire et/ou guide d’entretien
Traitement statistique et analyses
Rédaction du rapport de synthèse et présentation au client
Profil recherché : De formation supérieure (de type 3ème cycle spécialisé en marketing / études/data), vous disposez déjà d’une solide expérience dans le domaine des études en institut ou en agence et d’un intérêt pour l’univers des médias.
Vous cherchez à enrichir votre expérience et à gagner en autonomie :
en intégrant une équipe de taille humaine, solidaire et polyvalente, qui intervient sur toutes les phases de l’étude (conception / mise en place, relations clients et partenaires, gestion du terrain, traitements statistiques et analyses)
en intervenant sur une grande diversité de problématiques clients et de secteurs d’activité (Grande Consommation, Banque-Assurance, Automobile, Services …), aussi bien en France qu’à l’international.
en vous appuyant sur des approches méthodologiques variées
Qualités souhaitées :
Rigueur et organisation
Curiosité et capacité d’adaptation
Esprit d’équipe
Esprit de synthèse et bonnes qualités rédactionnelles
Maitrise des outils de traitements de données (de type spss)
Maitrise de l’anglais professionnel (écrit et oral)
Conditions du poste
Rémunération selon profil
Poste à pourvoir en CDD à Paris 17ème dans nos tous nouveaux locaux WeWork ou partout en France !
Dentsu France vient de mettre en place un nouvel accord temps de travail révolutionnaire autorisant le télétravail (indemnisé) et une grande flexibilité du travail.
Les autres avantages du groupe dentsu france ?
· Tickets Restaurants
· Indemnités transport à hauteur de 60% des frais d'abonnement aux transports en commun
· Mutuelle et Prévoyance
· Retraite complémentaire
· Jour de repos et 27 congés payés par an
· CSE avec offres de dotations et accès à sa plate forme en partenariat avec Swile, offrant un panel de tarifications spécifiques sur certaines enseignes
· Parcours carrière avec une grande offre de formations et de mobilité interne
· Politique RSE engagée (égalité femmes/hommes, engagements humains et sociétaux)
· Vie interne riche de rencontres et d’événements
Tous nos postes sont également ouverts aux personnes en situation de handicap, dentsu france étant engagé dans une politique de diversité et d’inclusion.
Location:
Paris - 67 avenue Wagram
Brand:
Dentsu Data Labs
Time Type:
Full time
Contract Type:
Fixed Term Contract (Fixed Term)",
https://fr.indeed.com/viewjob?jk=8011a4451758e3c8,DATA SCIENTIST,CDI,CM-CIC LEASING SOLUTIONS,75,Île-de-France,"DATA SCIENTIST F/H
Ref. Apec : 167766759W / Ref. Société : 60032INSEE75101IND1
CM-CIC LEASING SOLUTIONS
1
CDI
Paris 01 - 75
Publiée le 02/03/2022
Actualisée le 02/03/2022
 SUR LE SITE DE L'ENTREPRISE
Salaire
A négocier
Prise de poste
Dès que possible
Expérience
Minimum 3 ans
Métier
Data scientist
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
CRÉDIT-BAIL

Descriptif du poste
Extraction, uniformisation et structuration des données
Collecter, sélectionner et valider les données pertinentes pour l’analyse.
Déterminer les outils et méthodes d’acquisition de données
Maîtriser la qualité des données tout au long de leur traitement.
Analyses prédictives
Mettre en œuvre et garantir la modélisation statistique des données.
Développer des outils statistiques, des algorithmes d’apprentissage et scénarios prédictifs.
Tester, contrôler la qualité et la cohérence des bases de données.
Accompagner l’entreprise dans le développement de leviers de création de valeur.
Optimisation de la stratégie de l’entreprise
Faciliter le déploiement / optimiser la stratégie de l’entreprise via des outils statistiques et des modèles prédictifs
S’assurer de l’utilisabilité des outils et modèles par les utilisateurs finaux ainsi que de leur alignement avec l’objectif stratégique.
Développement d’outils de support aux clients internes
Analyser l’ensemble des données pour développer des systèmes efficaces d’aide à la décision.
Réaliser des études statistiques pour les clients internes ou la direction générale.
Animer les ateliers d’expression des besoins internes et rédiger les cahiers des charges.
Écrire et rédiger la spécification des besoins.
Présenter les résultats des études réalisées aux clients internes.
Former les utilisateurs aux outils informatiques et décisionnels.

Veille technologique sur les outils de datamining
Effectuer une veille sur les nouvelles technologies et solutions logicielles d’analyse des données.
Rechercher et expérimenter de nouvelles méthodes de modélisation et d’analyse des données.
Sélectionner les nouveaux outils et techniques de data management.
Profil recherché
2 ans d'expérience minimum (post alternance) sont requis pour ce poste

Compétences techniques
Excellente maitrise des algorithmes d’apprentissage automatique (Machine Learning + notions en DeepLearning/réseaux de neurone etc.)
Excellente maitrise des outils de data management : R, Python et la maitrise de SAS serait un plus
Aptitudes professionnelles
Esprit d’analyse
Grande rigueur et forte capacité de concentration
Excellente capacité de communication
Très bonne pédagogie
Curiosité pour suivre les nouvelles tendances et découvrir de nouveaux outils
Entreprise
Crédit Mutuel Alliance Fédérale est au service de plus de 25 millions de clients et propose une offre diversifiée de services à une clientèle de particuliers, de professionnels de proximité et entreprises de toutes tailles.

Crédit Mutuel Leasing et CCLS constituent la filière spécialisée en financements de biens d’équipement locatifs de Crédit Mutuel Alliance Fédérale.
La complémentarité des canaux de distribution, la pluralité des offres, l’expertise ainsi que la démarche appuyée d’innovation font de la Filière le leader du marché français du leasing.

Crédit Mutuel Leasing et CCLS, c’est :
Près de 600 collaborateurs répartis sur toute la France
6 milliards d’euros de production
11 milliards d’euros d’encours
263 millions d’euros de PNB",
https://fr.indeed.com/viewjob?jk=7cd1923479efe573,DATA ANALYSTE,CDI,IN'LI,92,Île-de-France,"in’li, la filiale logement intermédiaire d’Action Logementin’li, filiale du Groupe Action Logement, est leader du logement intermédiaire en Ile-de-France, avec un patrimoine de plus de 43 000 logements répartis sur toute la région. La vocation d’in’li est de permettre aux salariés des classes moyennes et aux jeunes actifs d’accéder au logement pour favoriser le lien emploi-logement, faciliter la mobilité professionnelle et participer à la dynamisation des territoires.Notre ambition est de développer 80 000 nouveaux logements intermédiaires d’ici 10 ans pour changer la vie de milliers de Franciliens. Rejoignez-nous pour relever ce défi ambitieux et donner à votre avenir les plus belles perspectives !Missions principalesAu sein de l’équipe data, vous devrez maintenir, exploiter et interpréter les données pour en dégager des indicateurs business utiles. Vous serez amené à :Créer des indicateurs clés de performance (KPI) pour la direction investissement et construction,Mettre en place des outils d’analyse marché et concurrentiel avec la création d’API,Améliorer en continue les outils de reporting,Participer aux réflexions et mise en place d’indicateurs ESG,Réaliser un reporting transverse allant du développement à la livraison en passant par la phase d’acquisition.Vous préparez une formation de type Master 2 Data- Analyst, Data Management, modélisation des données, ou étudiant en école d’ingénieur/commerce, vous possédez idéalement une première expérience en entreprise dans un département Data, DSI ou Performance.Une expérience au sein du secteur de l’immobilier serait un plus.Vous êtes rigoureux (se), curieux (se), vous aimez le travail en équipe, vous êtes autonome et vous avez l’esprit critique.Vous maitrisez les bases de données et SQL server, Python, VBA, Tableau, Power BI, Power Query.Stage à pourvoir dès que possible pour une durée de 5- 6 mois – Basé à La Défense (92)Le projet in’li vous intéresse !Adressez votre candidature, lettre de motivation et CV par mail à recrutement-15149897@jobaffinity.frLe projet in’li vous intéresse ! N'hésitez plus, postulez !Type d'emploi : Temps plein",
https://fr.indeed.com/viewjob?jk=75db5697138281d1,DATA INGENIEUR,CDI,DATASCIENTEST,92,Île-de-France,"> DESCRIPTIF DE L'OFFRE : *Vous êtes demandeur d'emploi et vivement intéressé(e) par les métiers de la Data ? Le développement de solutions permettant de traiter des volumes importants de données vous passionne ? Vous aimez découvrir de nouveaux outils, collaborer et monter en compétence sur du cloud ?Vous cherchez la bonne opportunité pour booster votre carrière ?Rejoignez DataScientest en intégrant une formation 100% financée par Pôle Emploi d’une durée de 3 mois afin d’acquérir les compétences clés qui vous donneront la possibilité de démarrer votre carrière en tant que Cloud Data Engineer, un métier en tension et en plein essor. Cette formation est certifiée par l'Ecole des Mines ParisTech, et inclut le passage de certifications éditeurs (AWS, Microsoft Azure ou encore GCP) qui garantissent votre employabilité.Après avoir suivi notre formation de Cloud Data Engineer, vous rejoindrez, en CDI , une de nos entreprises partenaires. Les compétences acquises durant cette formation vous permettront de participer à des projets ambitieux et d’évoluer constamment sur les métiers de la Data.Les candidats retenus bénéficieront d’une formation intensive, entièrement prise en charge par le dispositif POEI (Préparation Opérationnelle à l’Emploi Individuel) avec Pôle-Emploi.> LE POSTE : *Vous aurez l'opportunité de travailler au sein de grandes entreprises, dans un environnement à la pointe de la Data. Vous pourrez travailler sur des projets enrichissants et innovants partout en France, pour concevoir des solutions d'automatisation pour les équipes business, projets et techniques.En suivant nos formations, vous aurez l'opportunité de monter en compétence sur diverses technologies :Programmation (Python, Linux & Bash)Base de données (SQL, MongoDB, Neo4J & ElasticSearch)Gestion des Big Data (Hadoop, Hive, Hbase & Spark)CI / CD (Github, Git, Pytest)Big Data Vitesse (Kafka, Spark Streaming)Automatisation & Déploiement (Airflow, Kubernetes & Docker)> PROFIL RECHERCHÉ : *Issu(e) d’une filière scientifique bac+4/5 ou d’un diplôme d’ingénieur,Vous disposez idéalement d’une expérience significative en développement informatique, en architecture réseaux ou dans la Data,Vous maîtrisez un langage objet type Java, Python, C++, etc.Vous êtes inscrit(e) à Pôle Emploi> VOS MISSIONS APRÈS LA FORMATION : *En tant que Cloud Data Engineer, vous aurez pour missions de proposer les meilleures solutions aux entreprises en leur permettant d'optimiser leur activité, à travers quelques missions principales :Développement de solutions permettant de traiter des volumes importants de données,Conception, collection et fabrication des données brutes,Création d'outils et algorithmes pour le traitement des données,Préparation des données pour le Data Analyst,Sécurisation des Pipelines données pour les Data Analysts et Data Scientists,Organisation de l'architecture du cloudN'attendez plus et obtenez une promesse d'embauche avant le début de la formation ! Envoyez-nous votre CV, nos équipes se feront un plaisir de vous contacter et de vous accompagner pour préparer vos entretiens avec nos entreprises partenaires.Type d'emploi : Temps plein, CDISalaire : 33 000,00€ à 60 000,00€ par anHoraires :Travail en journée",46500.0
https://fr.indeed.com/viewjob?jk=f666041749ab50e1,DATA INGENIEUR,CDI,ISOFT,0,Île-de-France,"Ingénieur Data / Data engineer F/H
Ref. Apec : 167760208W
ISOFT
1
CDI
Saint-Aubin - 91
Publiée le 01/03/2022
Actualisée le 07/03/2022
Salaire
A négocier
Prise de poste
Dès que possible
Expérience
Minimum 2 ans
Métier
Ingénieur data
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
EDITION DE LOGICIELS APPLICATIFS
Télétravail
Partiel possible

Descriptif du poste
Au sein de l’équipe R&D & Statistiques, vous serez en charge des modèles de lutte contre la fraude et des projets de R&D liés à la modélisation des évènements rares. Vous participerez également au développement et à l’amélioration de nos produits de Data engineering.
Vous participerez à l’accompagnement et la formation de nos utilisateurs dans la mise en œuvre de leurs projets de Data engineering tant d’un point de vue technique que méthodologique.
Poste à forte composante veille et R&D, vous serez chargé(e) du suivi de l’état de l’art scientifique et technologique en data engineering, en particulier dans le domaine de la modélisation d’évènements rares et de la lutte contre la fraude.
En tant qu’expert métier de la lutte contre la fraude, vous réaliserez une veille continue sur l’univers des paiements et de la lutte contre la fraude. Vous évaluerez, challengerez et implémenterez les dernières avancées sur ces sujets.
Vous interviendrez également sur des projets d’analyse de très gros jeux de données clients, et participerez aux présentations de nos travaux.
Laissant une part importante à la veille technologique et la recherche fondamentale, nous recherchons une personne souhaitant rejoindre une PME dynamique et prête à prendre en charge la mise en œuvre de projets de lutte contre la fraude, intéressée tant par les statistiques que les nouvelles technologies et le métier de la lutte contre la fraude.
Profil recherché
De formation bac+5 ou doctorat
La connaissance du monde des paiements et de la lutte contre la fraude serait un plus
Dynamique, autonome et créatif, vous aimez gérer de bout en bout vos projets, travailler en équipe et partager vos réflexions
Vous êtes méthodique et avez l’esprit analytique, vous savez prendre le recul vous permettant d’avoir une vision globale des solutions
Vous savez anticiper et être force de proposition
Entreprise
Depuis plus de 30 ans, ISoft fournit une usine de Datascience basée sur l'Intelligence Artificielle et le Machine Learning.
La technologie d'ISoft se distingue par ses capacités d'analyse en temps réel inégalées, combinées à une grande facilité d'utilisation tant pour les utilisateurs métier que pour les équipes informatiques. Avec une très grande expérience dans le Machine Learning et l'Intelligence Artificielle, ISoft a encapsulé des années de connaissances solides et éprouvées, permettant au secteur bancaire, aux télécommunications, aux compagnies d'assurance, aux organismes gouvernementaux et aux institutions européennes une gestion plus rapide et améliorée dans l’exploitation de leurs Datas.
FraudManager, l’un des modules principaux de cette Usine, est dédié à la lutte contre la fraude aux paiements pour les banques, institutions financières et Fintech, et permet à 4 des 10 premières banques européennes de disposer du meilleur outil de prévention de la criminalité financière avec des performances inégalées et le plus haut niveau de productivité.
Modulaire et sur-mesure, chaque Industrie et chaque Utilisateur saura trouver en Isoft l’outil le plus adapté à ses besoins et bénéficier de la puissance de l’Usine la plus performante du marché.
Personne en charge du recrutement
Nelly LAPEDRA - Responsable administrative",
https://fr.indeed.com/viewjob?jk=d34482548395c12c,DATA ANALYSTE,CDI,Kaino Consulting,0,Île-de-France,"Data Analyst F/H
Ref. Apec : 167761524W
Kaino Consulting
1
CDI
Paris 01 - 75
Publiée le 01/03/2022
Actualisée le 01/03/2022
Salaire
A négocier
Prise de poste
Dès que possible
Expérience
Minimum 2 ans
Métier
Data analyst
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION
Télétravail
Partiel possible

Descriptif du poste
Vous prenez un poste de Data Analyst et accompagnez les interlocuteurs de votre domaine métier en participant notamment à :
Comprendre les besoins des équipes métier
Extraire, manipuler, analyser des ensembles de données
S’assurer de la qualité et de la fiabilité des données
Participer à des projets d’amélioration, en interaction avec les « métiers » d’un côté et les développeurs de l’autre.
Produire, suivre et challenger les indicateurs de performance clés
Profil recherché
Diplôme d’Ingénieur en informatique ou Master en Data
+3 ans d'XP en tant que Data Analyst
Bonne maitrise de SQL, et Tableau
La connaissance du secteur du Telecom est un plus
Entreprise
Client final - Telecom
Paris
CDI
Vous rejoignez la filiale d'un groupe français spécialisé dans le développement numérique dans un contexte de forte croissance et pour un projet from Scratch.
Personne en charge du recrutement
Anthony Parussini - Consultant en recrutement",
https://fr.indeed.com/viewjob?jk=9e49b06d8a309780,DATA MANAGER,CDI,Page Personnel FR,92,Île-de-France,"En tant que Master Data, vous assisterez le Responsable Analyse de données et contribuerez à piloter la transformation de la gestion des données.

Vos missions seront les suivantes :

Garantir l'intégration des données de base articles Groupe, de manière fiable et cohérente, en respectant les procédures et en les rendant accessibles à tous les utilisateurs dans le cadre de l'intégration IT du Groupe,
Créer les codes de données de base avec les informations correspondantes,
Exercer un contrôle de la base pour garantir la qualité des données(formation de différents contributeurs et support des utilisateurs finaux, veille au bon fonctionnement du SI, contrôle des doublons...),
Suivre les statistiques et KPIs des outils,
Être un interlocuteur interne clé pour partager connaissances, expériences et bonnes pratiques en matière de gestion de données.

Diplômé d'un Bac +2 minimum en supply chain, vous justifiez d'une expérience d'au moins 3 ans à un poste similaire.

Vous êtes force de persuasion et disposez d'un esprit d'analyse.

Rigoureux et organisé, vous appréciez le travail en équipe.

Vous parlez couramment anglais et maîtrisez Excel.

La maîtrise de SAP est un plus.

Page Personnel ADV et Relation Clients est leader dans le recrutement et l'intérim spécialisés d'employés, d'Agents de Maîtrise et de cadres de premier niveau. Experts dans les métiers de l'ADV, du support aux ventes, du commerce international, nous accompagnons nos clients dans le recrutement de leurs futurs talents avec notre réseau national et une équipe de Consultants spécialisés.

Page Personnel recherche pour l'un de ses clients un Master Data.

Page Personnel recherche pour l'un de ses clients un Master Data.",
