Lien,Poste,Entreprise,Localisation,Type de Contrat,Salaire,Description,Nombre d'avis,Note Moyenne,Diplôme,Années d'expérience,Type de contrat,Temps de travail,Technologies,Langues,Industrie,Département
https://fr.indeed.com/viewjob?jk=5b2e4528626a2c37,Ingénieur-e données,INRAE,37380 Nouzilly,Temps plein,NA,"Présentation d'INRAE
L’Institut national de recherche pour l’agriculture, l’alimentation et l’environnement (INRAE) est un établissement public de recherche placé sous la double tutelle du ministère en charge de l’agriculture et du ministère en charge de la recherche.
C'est un acteur majeur de la recherche et de l’innovation créé le 1er janvier 2020. Institut de recherche finalisé issu de la fusion entre l’Inra et Irstea, INRAE rassemble une communauté de 12 000 personnes, avec 268 unités de recherche, de service et expérimentales, implantées dans 18 centres sur toute la France.
L’institut se positionne parmi les tout premiers leaders mondiaux en sciences agricoles et alimentaires, en sciences du végétal et de l’animal, et se classe 11ème mondial en écologie-environnement. Face à l’augmentation de la population, au changement climatique, à la raréfaction des ressources et au déclin de la biodiversité, INRAE construit des solutions pour des agricultures multi-performantes, une alimentation de qualité et une gestion durable des ressources et des écosystèmes.
Environnement de travail, missions et activités
De plus en plus de données sont produites et mises à disposition de la recherche. Ces données sont hétérogènes (texte, image, son, numérique, etc.), proviennent de plusieurs sources (expérimentation, Internet des objets, capteurs, etc.) et sont produites au sein ou en dehors de l'établissement. L'exploitation combinée de ces données est susceptible d accélérer et améliorer la production de connaissances au bénéfice de la recherche scientifique, de l'aide à la décision (veille multi-sources, scientométrie, data visualisation) mais aussi de la société. Cela nécessite de nouvelles approches de la création de valeur fondées sur les données ainsi que l'utilisation de technologies et méthodes de traitement adaptées.

Le poste qui vous est proposé permettra à la Direction pour la Science Ouverte (DipSO) de renforcer sa capacité à prendre en compte cet enjeu majeur et contribuer ainsi à une science plus compétitive. Il renforcera en outre les propres capacités d'analyse de la direction pour faire évoluer ses outils d'analyse en appui à la décision.

Vous exercerez vos missions et activités, à parts égales, pour deux pôles de la DipSO :
En lien avec le pôle ""Analyses pour éclairer la stratégie"" (ASTRA) (50%):Apporter un appui méthodologique et technique au pôle pour, d'une part faire évoluer les pratiques de text mining, développer des pratiques de data mining dans le cadre de la production d'analyses scientiométriques en appui à la décision, et d'autre part accompagner l'évolution des outils et pratiques de veille,Optimiser les processus de traitement statistique, programmer, adapter des outils développés dans le cadre de projets scientifiques à des activités d'aide à la décision.En lien avec le pôle ""Numérique pour la science"" (Num4Sci) (50%):Contribuer à l'appropriation des nouvelles approches en science des données par nos communautés,Promouvoir et contribuer à l'appropriation des approches de recherches reproductibles,Intervenir comme data scientist dans le cadre de projets ou de preuves de concept,Contribuer à la veille sur les techniques et les outils du domaine.

Vos partenaires (internes/externes) seront les scientifiques, les membres du Pôle Num4Sci et du pôle ASTRA de la DipSO, ainsi que les réseaux métiers pertinents.
La réussite à ce concours vaut qualification informatique. Le poste ouvre droit à une prime informatique en qualité d'Analyste.
Affectation possible sur toute unité INRAE mais préférentiellement un site où la DipSO est déjà implantée.
Déplacements fréquents
Travail sur écran et à distance (collègues répartis sur toute la France)

Formations et compétences recherchées
Licence, Maîtrise, Master 1
Connaissances et compétences opérationnelles :

Connaissances en statistiques (Master),
Des connaissances de bon niveau des méthodes d'apprentissage machine serait un plus,
Programmation informatique dans plusieurs langages (R et Python a minima),
Connaissance des bases de données,
Connaissance des méthodes de Text et Data Mining(TDM),
La connaissance de techniques Data visualisation serait un plus,
Rédaction de documentations pour les utilisateurs,
Rédaction de synthèses,
Conception et réalisation de formations, pédagogie,

Savoir être :
Apprécier le travail en équipe et en réseau,
Rigueur et méthode,
Capacité à être autonome,
Capacité à nouer des relations professionnelles,
Aimer informer, communiquer ; capacité à transférer des savoirs,
Capacité de conceptualisation,
Capacité de raisonnement analytique,
Avoir un goût pour la recherche de solutions,
Avoir un goût pour la veille métier.
Votre qualité de vie à INRAE
En rejoignant INRAE, vous bénéficiez :
de 30 jours de congés + 15 RTT par an (pour un temps plein)d'un soutien à la parentalité : CESU garde d'enfants, prestations pour les loisirs ;de dispositifs de développement des compétences : formation, conseil en orientation professionnelle ;d'un accompagnement social : conseil et écoute, aides et prêts sociaux ;de prestations vacances et loisirs : chèque-vacances, hébergements à tarif préférentiel ;d'activités sportives et culturelles ;d'une restauration collective.
RÉFÉRENCE DE L'OFFRE
N° profil : IE22-DISO-1
Corps : IE
Catégorie : A
Emploi-type : E2D46
Référentiel des emplois types
Numéro du concours : IEE07
LE CENTRE
Centre-siège Paris-Antony
Direction pour la Science Ouverte
37380 NOUZILLY
CONTACT
ESTHER DZALE-YEUMO
01 30 83 34 44
esther.dzale-yeumo@inrae.fr
FLORIANE GIOVANNINI
01 40 96 62 87
floriane.giovannini@inrae.fr",2,4,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=a25ddcc7a0af8396,Ingénieur-e données,"INRAE - Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",Nouzilly (37),"Temps plein, CDI",NA,"Acteur majeur de la recherche publique, INRAE (Institut National de Recherche pour l’Agriculture, l’Alimentation et l’Environnement) vous propose de participer à son aventure scientifique en exerçant vos compétences au sein de nos équipes de recherche ou de nos collectifs en charge de la gestion et du bon fonctionnement de l’institut et de ses installations. Cette offre d’emploi est à pourvoir par voie de concours.Environnement de travail et missions : De plus en plus de données sont produites et mises à disposition de la recherche. Ces données sont hétérogènes (texte, image, son, numérique, etc.), proviennent de plusieurs sources (expérimentation, Internet des objets, capteurs, etc.) et sont produites au sein ou en dehors de l'établissement. L'exploitation combinée de ces données est susceptible d accélérer et améliorer la production de connaissances au bénéfice de la recherche scientifique, de l'aide à la décision (veille multi-sources, scientométrie, data visualisation) mais aussi de la société. Cela nécessite de nouvelles approches de la création de valeur fondées sur les données ainsi que l'utilisation de technologies et méthodes de traitement adaptées.Le poste qui vous est proposé permettra à la Direction pour la Science Ouverte (DipSO) de renforcer sa capacité à prendre en compte cet enjeu majeur et contribuer ainsi à une science plus compétitive. Il renforcera en outre les propres capacités d'analyse de la direction pour faire évoluer ses outils d'analyse en appui à la décision.Vous exercerez vos missions et activités, à parts égales, pour deux pôles de la DipSO :- En lien avec le pôle ""Analyses pour éclairer la stratégie"" (ASTRA) (50%):· Apporter un appui méthodologique et technique au pôle pour, d'une part faire évoluer les pratiques de text mining, développer des pratiques de data mining dans le cadre de la production d'analyses scientiométriques en appui à la décision, et d'autre part accompagner l'évolution des outils et pratiques de veille,· Optimiser les processus de traitement statistique, programmer, adapter des outils développés dans le cadre de projets scientifiques à des activités d'aide à la décision.- En lien avec le pôle ""Numérique pour la science"" (Num4Sci) (50%):· Contribuer à l'appropriation des nouvelles approches en science des données par nos communautés,· Promouvoir et contribuer à l'appropriation des approches de recherches reproductibles,· Intervenir comme data scientist dans le cadre de projets ou de preuves de concept,· Contribuer à la veille sur les techniques et les outils du domaine.Vos partenaires (internes/externes) seront les scientifiques, les membres du Pôle Num4Sci et du pôle ASTRA de la DipSO, ainsi que les réseaux métiers pertinents.Formation et compétences recherchées : Licence, Maîtrise, Master 1 - Connaissances et compétences opérationnelles :Connaissances en statistiques (Master),Des connaissances de bon niveau des méthodes d'apprentissage machine serait un plus,Programmation informatique dans plusieurs langages (R et Python a minima),Connaissance des bases de données,Connaissance des méthodes de Text et Data Mining(TDM),La connaissance de techniques Data visualisation serait un plus,Rédaction de documentations pour les utilisateurs,Rédaction de synthèses,Conception et réalisation de formations, pédagogie,Savoir être :· Apprécier le travail en équipe et en réseau,· Rigueur et méthode,· Capacité à être autonome,· Capacité à nouer des relations professionnelles,. Aimer informer, communiquer ; capacité à transférer des savoirs,· Capacité de conceptualisation,· Capacité de raisonnement analytique,· Avoir un goût pour la recherche de solutions,· Avoir un goût pour la veille métier.Localisation :  :  INRAE - Direction pour la Science Ouverte - 37380 NOUZILLY- Centre-Val de LoireContrat : poste statutaire (fonctionnaire) - Numéro du poste : IE22-DISO-1Postuler : Vous avez jusqu’au 24 mars 2022 pour vous inscrire sur le site INRAE Jobs: https://jobs.inrae.fr/concours/concours-externes-ingenieurs-cadres-techniciens-h-fType d'emploi : Temps plein, CDIHoraires :Travail en journée",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=ba5c2f88b0176120,TECHNICIEN EN GESTION DE DONNEES TECHNIQUES SAP (H/F),INTERACTION ORLEANS,41500 Mer,"Temps plein, CDD",NA,"Votre mission :

L'agence INTERACTION ORLEANS recrute pour son client situé à Mer (41500) un TECHNICIEN DE GESTION DE DONNEES TECHNIQUES SAP (H/F).

Missions:
Planifie, gère les flux d'approvisionnement en fonction des délais de fabrication et selon les impératifs de l'entrepriseCentralise les données des différents services de l'entreprise.Coordonne les flux d'information et est garant de la fiabilité des données
Ce poste est en lien direct avec l'ERP SAP.
Il est donc indispensable de connaître ce progiciel de gestion intégré.

Votre profil :

Vous possédez à minima un BTS/ DUT en gestion de production, logistique, gestion de flux, ou une solide expérience sur le poste de Technicien Gestion de Données Techniques.
Vous êtes pro-actif, rigoureux avec un esprit d'équipe.
On vous définit comme une personnalité ""terrain"".

A propos de INTERACTION ORLEANS :

Au sein du Groupe Interaction, nous proposons des solutions de recrutements (intérim, CDD, CDI) pour accompagner le développement de l’activité de plus de 3000 clients dans le respect de nos engagements RSE. En faisant vivre nos valeurs (proximité, confiance, écoute et considération), nous plaçons l’humain au coeur de notre activité. Notre groupe, né en Bretagne en 1991, développe son expertise et ses compétences par l’action des 500 co-acteurs répartis dans plus de 130 agences sur tout le territoire national. Aujourd’hui le Groupe Interaction compte 12 marques spécialisées pour être au plus proche des besoins de nos clients : Interaction Intérim, Thedra, Celtic Emploi, BBI, Interaction Sales et Marketing, Interaction Saison, Insideaction, Expert et Manager, BMC, Vhita, Sinademploi, Inovaction. Notre Marque Interaction Intérim est spécialisée dans la délégation et le placement de profils chez nos clients. Nos agences généralistes agissent sur les domaines de l’industrie, la logistique, le tertiaire, le BTP, l’agroalimentaire, le transport, GMS ...",88,3.7,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=d1fa73c363aa27d0,Master Data Specialist / Spécialiste Base Article F/H,PB SOLUTIONS,Beaune-la-Rolande (45),CDI,NA,"Master Data Specialist / Spécialiste Base Article F/H
Ref. Apec : 167691851W
PB SOLUTIONS
1
CDI
Beaune-la-Rolande - 45
Publiée le 21/02/2022
Actualisée le 23/02/2022
Salaire
A partir de 35 k€ brut annuel
Prise de poste
Dès que possible
Expérience
Minimum 5 ans
Métier
Data analyst
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
INGÉNIERIE, ÉTUDES TECHNIQUES

Descriptif du poste
PB Solutions recherche pour son client spécialisé dans la fabrication d'instrument scientifique et technique qui conçoit, réalise et commercialise des appareils de micro-positionnements et de micro-déplacements un Master Data Specialist / Spécialiste Base Article H/F en CDI dans le cadre d'une création de poste.
Vous serez en charge d'effectuer la configuration et assurer l'intégrité des données dans SAP pour :
Déployer des éléments pass-through (MMR / PIR / Costing ...)
Paramétrer des nouveaux articles crées par l'équipe R&D : composants achetés, sous-ensembles, produits finis (MMR / Router / BOM / Costing, ...)
Participer au processus de devis et de lancement pour les produits OEM et spéciaux
Surveiller l'amélioration globale de la rotation des stocks
Recueillir l'ensemble de règles existant
Définir et exécuter des routines de maintenance des données
Coordonner les plans d'action sur l'inventaire
Profil recherché
Ce poste nécessite une expérience de minimum 5 ans sur un poste similaire, ainsi que des compétences informatiques avancées sur SAP, Excel et Agile, ainsi qu'un bon niveau de communication écrite et oral en Anglais.
Une certification CPSM et/ou APICS est préférable
Entreprise
PB Solutions est un cabinet de Conseil en Ressources Humaines spécialisé dans le Recrutement de managers, dirigeants, experts, Ingénieurs et techniciens, principalement dans le secteur de l'Aéronautique et Défense mais aussi dans d'autres domaines comme l'Automobile, le Ferroviaire ou les Machines Spéciales. Nos domaines d'expertise :
Recrutement par approche directe
Prestation d'ingénierie.
Nous sommes reconnus pour :
Notre expertise dans le recrutement par approche directe
Une équipe de professionnels à l’écoute de vos besoins, force de proposition face à vos problématiques d’acquisition de talents
Un service sur mesure en phase avec vos réalités, dans un objectif commun de réussite
Un réseau quotidiennement enrichi permettant une approche efficace et rapide
ETHIQUE - ENGAGEMENT - EXPERTISE - ECOUTE : l’ensemble de notre équipe partage les mêmes convictions et les mêmes valeurs et toutes nos actions s’inscrivent dans leur respect, tant vis-à-vis de nos clients que de nos candidats.
Personne en charge du recrutement
Fleurine LE GONIDEC - Chargée d'Affaires Recrutement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=6f7788bc07e79181,Gestionnaire de Base de Données (h/f),Adecco,37300 Joué-lés-Tours,Intérim,NA,"Votre mission
 Adecco Tours Tertiaire recherche pour l'un de ses clients un Gestionnaire de Base de Données H/F au plus vite pour une mission déjà jusqu'à mi-juillet.

Vous assurez la création et la mise à jour des clients et des produits qui leurs sont rattachés dans la base
de données en s'assurant de la pertinence te de la conformité des informations reçues des différents services.

Missions principales :


Gestion du fichier articles:

o Création de codes articles et clients selon respect de nos procédures et normes de leur

domaine d'activité
o Interagit aux demandes des différents services internes demandeurs (marketing, qualité, logistique, vente)
Votre profil
Bac +2 Spécialisation souhaitée :
Management unités
commerciales,

assistant gestion PME PMI,

assistant manager

Vous êtes très rigoureux.


Cette offre vous intéresse ? N'hésitez pas postulez !
A propos de nous
Premier réseau d'agences d'emploi en France, Adecco a développé un savoir-faire unique de proximité et met toutes ses compétences à votre service.
Nos équipes sont présentes sur tout le territoire, avec plus de 900 agences. Quel que soit le contrat que vous cherchez : CDI, CDD, Intérim, CDI Intérimaire, CDI Apprenant ou alternance, nos experts travaillent chaque jour, pour vous guider vers ce qui vous correspond. Dès maintenant, devenez acteur de votre vie !",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=fbbdd347848cec7e,Administrateur Base de Données H/F,ALBA Recrutement,Romorantin-Lanthenay (41),"Temps plein, CDI",NA,"ALBA Recrutement recherche pour son client, Groupe industriel international, un Administrateur Base de Données H/F.Rattaché(e) au Directeur Des Systèmes d'Information, vous rejoignez une équipe informatique de 6 personnes.Votre mission est de développer, de mettre en place et de maintenir les échanges de flux EDI entre les applications métier et les clients ou les partenaires.Vos principales missions seront :*D'étudier les besoins métier et fonctionnels en communiquant avec les clients sur lesproblématiques techniques*D’analyser les flux de données*De réaliser les configurations techniques, les interfaces (mapping et intégration des données)*De vérifier la conformité aux spécifications techniques et fonctionnelles des donneurs d’ordres,de vérifier la structure des messages*De paramétrer les flux EDI dans l’ERP ou dans l'EAI*De piloter les tests techniques et de résoudre les incidents techniquesDe formation BAC+2 ou +3 en informatique, vous justifiez d'une première expérience d'au moins 3 ans sur un poste similaire orientée gestion des échanges de données informatiques (paramétrage, configuration, installation, formation) et/ou gestion de bases de données.Une expérience informatique dans le domaine logistique et/ou l'exploitation des normes VDA, GALIA serait appréciée.Vous maîtrisez les compétences techniques suivantes : Bases de données SQL (Oracle, MSSQL,), Langages XML et HTML, utilisation de Web service.Excellent relationnel et très bon(ne) communicant(e), vous êtes à l'aise tant à l'écrit qu'à l'oral. Rigoureux/rigoureuse, empathique, vous êtes force de proposition et en toute circonstance à l'écoute de votre client qu'il soit interne ou externe.CDITélétravail possible 2 jours / semaineSalaire en fonction de l’expérience (fourchette indicative : 35-38k€)Statut : CadreType d'emploi : Temps plein, CDIAvantages :Horaires flexiblesTravail à DistanceHoraires :Du Lundi au Vendredi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=866fcdb3235fef6e,Data scientist h/f,Hays France,37200 Tours,CDI,NA,"Intégré au sein de la BU Connectivité, dans une équipe de 2 personnes et entouré du service IT et maintenance (10 personnes environ), vous êtes chargé de préparer les projets (analyse de la documentation, création de l'architecture pour stocker les données, coordination avec les autres BU). Vous êtes aussi chargé de créer les algorithmes, en effectuant la préparation et l'exploration des données, identifiez les caractéristiques « features » pour la prédiction des défaillances et développez, testez et validez les algorithmes. Vous créez également des métriques pour comparer ces derniers et rédigez les specs et les rapports. Vous êtes aussi en charge de la création des modules plug and play configurables pour exécuter les algorithmes sur une architecture cloud. Vous êtes aussi en charge des dashboard pour présenter les résultats. Enfin, vous assurez la maintenance des algorithmes et en proposez de nouveaux pour améliorer la maturité des solutions (développement et maintien de la bibliothèque locale).

Issu d'une formation ingénieur, vous avez une appétence pour l'algorithmie/l'analyse des données ou êtes issu du monde de l'IT avec une connaissance électromécanique.


Vous justifiez d'au moins 3 années d'expérience en maintenance conditionnelle, maintenance prédictive.
Maîtrise de la programmation en Python, des méthodes d'approches d'analyse des séries temporelles et des algorithmes et bibliothèques d'apprentissage automatique (sklearn, tensorflow, Keras, pytorch…)
Maîtrise des architectures et des outils cloud (Kafka, Ms Azure) et de la gestion de BDD (NoSQL, Cassandra, PostgreSQL) ainsi que de Kubernetes et Docker.
Bonne compréhension des systèmes électromécaniques
Vous avez idéalement une expérience dans le domaine industrielle (transport)

Si vous êtes autonome, mature et force de proposition et que vous souhaitez rejoindre un groupe d'envergure, alors ce poste est fait pour vous.

Je suis consultant en recrutement chez Hays Technology, spécialiste du développement de logiciel à Tours. J'aide les professionnels de la Tech à développer leur carrière et je m'assure que les organisations sont soutenues par les meilleurs talents.

Alors que la concurrence pour les talents s'intensifie, nous sommes prêts à aider les développeurs à avoir un impact réel sur les organisations, alors discutons-en ensemble dès aujourd'hui.
Hays Technology recherche pour son client, un acteur majeur dans le secteur du transport issu d'un groupe international de renom et présent sur plusieurs sites en France, un Data scientist confirmé afin d'étoffer l'équipe IT en place. Le poste est à pourvoir en CDI à proximité de Tours (37).",987,3.6,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=b94d544f79c5e584,DATA ENGINEER H/F,gfi,Tours (37),CDI,NA,"Mission
En tant que Data Engineer, vos principales missions consistent à :

Effectuer l’analyse fonctionnelle (recueil des besoins)
Elaborer ou valider les solutions
Concevoir les modèles de données (phases de spécifications fonctionnelles et techniques, modélisation des bases et des process)
Implémenter les modèles de données et les flux d’intégration (y compris les phases de qualification des données)
Développer et tester les éléments de reporting de la solution retenue
Concevoir des solutions décisionnelles pertinentes en tenant compte des enjeux du client.
Retranscrire le besoin client dans une spécification technico-fonctionnelle.
Prendre en charge les retours clients et les évolutions.

Profil
De formation supérieure en informatique, avec 3 à 4 années d’expériences, vous justifiez de compétences techniques a minima sur les domaines suivants :


Microsoft BI (SSIS/SSAS/SSRS/POWER BI/MS BI sous AZURE)
ORACLE, SQL SERVER
ETL : TALEND
BUSINESSOBJECTS

Organisation
Nous sommes une ESN agile et un groupe international. A l'ère de la post-transformation digitale, nous mettons tout en œuvre pour que chacun de nos 27 000 collaborateurs puisse se renouveler perpétuellement, en vivant positivement son propre flow digital. Chacun d'entre eux peut ainsi façonner son parcours de carrière selon ses appétences, entreprendre de manière pragmatique avec ses clients pour un monde plus positif, innover localement dans 26 pays et harmoniser son investissement professionnel et son bien-être personnel.
Rejoignez Inetum. Vivez votre flow digital positif.

Tous nos postes sont ouverts aux personnes en situation de handicap.
Pays
France
Emplacement
Tours
Type de contrat
CDI",112,3,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=50aca5cbf81cc201,Data Manager H/F,Walters People,28000 Chartres, -  CDD,32 000 € - 37 000 € par an,"Nous recrutons un(e) Data Manager H/F pour un CDD d'un an. Le poste est basé à Chartres. Vous travaillerez pour un grand groupe spécialisé en industrialisation. Le poste est à pourvoir dès que possible avec une rémunération comprises entre 32 000€ et 37 000€ brut.
Walters People est un cabinet de recrutement offrant des opportunités en intérim, CDD et CDI en Île de France, Rhône Alpes et dans la région Grand Ouest.

Notre équipe est spécialisée sur les métiers du Digital/Marketing/Communication avec un objectif : créer la meilleure association entre les besoins de nos partenaires et les ambitions professionnelles de nos candidats.

Au sein du département Supply Technical et en lien étroit avec les départements marketing/commercial, R&D, planning usine - commercial et qualité, le Data Manager H/F est chargé d’assurer le lancement de tous les nouveaux produits conformément aux spécifications demandées , dans les délais impartis et en tenant compte des contraintes de l’usine.

Vos principales missions :

Gestion de données
Création de codes
Travail sur les bases de données
Remplir les fichiers de suivi
Vous êtes en relaton avec les activity manager

De formation minimum Bac+4, type licence spécialisée en data management, vous avez une expérience de 3 ans minimum dans sur un poste similaire.

Vous êtes reconnu pour votre rigueur, votre autonomie, vos qualités organisationnelles et relationnelles ainsi que votre communication

Vous parlez anglais couramment.

Avez-vous déjà pensé à devenir consultant en recrutement ?

Deux fois Great Place to Work, Walters People a reçu 5 étoiles dans le classement des Meilleurs Cabinets de Recrutement du journal Les Echos (catégories: Travail Temporaire et Managers et Spécialistes).

Nous avons de nombreuses opportunités à pourvoir dans nos équipes, n’hésitez plus, rejoignez-nous https://www.walterspeople.fr/nous-rejoindre.html

Nous recrutons un(e) Data Manager H/F pour un CDD d'un an.
Le poste est basé à Chartres. Vous travaillerez pour un grand groupe spécialisé en industrialisation.
Le poste est à pourvoir dès que possible avec une rémunération comprises entre 32 000€ et 37 000€ brut.",42,3.1,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=4d41a1a3de8973d1,Référent de données référentiel F/H,GEORGES MONIN SAS,Bourges (18),CDI,NA,"Référent de données référentiel F/H
Ref. Apec : 167670917W
GEORGES MONIN SAS
1
CDI
Bourges - 18
Publiée le 16/02/2022
Actualisée le 16/02/2022
Salaire
A négocier
Prise de poste
Dès que possible
Expérience
Minimum 3 ans
Métier
Administrateur de bases de données
Statut du poste
Agent de maîtrise / Technicien
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
PRODUCTION DE BOISSONS RAFRAÎCHISSANTES

Descriptif du poste
Dans le cadre d'un renforcement de l'équipe et sous la Responsabilité Applicatif, le ou la Référent(e) de données référentiel maintient les données dites référentiel des systèmes d'information et de communication et en assure la qualité, la pertinence et la cohérence en collaboration avec l’ensemble des services internes et externes concernés.
Les missions sont les suivantes:
1) Maintenir les référentiels:Mise à jour et diffusion des référentiels fonctionnels (données et règles de gestion)Traitement des anomaliesAnimation du réseau des utilisateursCommunication sur les référentielsEst garant de la bonne documentation du périmètre et notamment des procédures et de leur respect.
2) Assurer l’amélioration continue:Mise en place un contrôle qualitéÉlaboration et analyse des statistiquesProposition d'amélioration des processusMise en place de tableaux de bord de la qualité des données
3) Garantir la cohérence de bout en bout:Liaison avec les systèmes d'information fournisseurs et clients
4) Contribuer aux projets de la DSI:Contribution directe aux projets de la DSI et en particulier aux phases de définition de l’architecture fonctionnelle afin que les évolutions des briques applicatives existantes et/ou la mise en place de nouvelles briques applicatives respectent la cohérence d’ensemble des données référentiel
Profil recherché
De formation Bac+3 minimum, vous justifiez d’une première expérience significative sur un poste similaire de gestion de données référentiel, dans un environnement industriel.
La maîtrise de l'anglais est un plus, pour pouvoir évoluer dans notre contexte International et échanger avec l'ensemble es salariés de l'entreprise.
Bonne maîtrise des outils informatiques (Pack office, ERP type JDE...)
Respect, Ecoute, Efficience, Esprit d'entreprendre et Esprit d'équipe sont des valeurs que vous partagez.

Rejoignez une entreprise familiale, créative et dont les produits de qualité font de MONIN une marque premium !

Salaire fixe, selon expérience et profil + Prime de fin d'année + Prime de Participation aux bénéfices et Prime d'Intéressement.
Statut Agent de Maîtrise sous forfait jours (205 jours travaillés par an).
Entreprise
Monin est une entreprise familiale internationale vendant sur plus de 150 pays des solutions premium (sirops, purées de fruit, sauces et poudres) pour les professionnels de l'hospitalité (bars, restaurants, cafés et hôtels) ainsi que pour les consommateurs exigeants.

La société a son siège à Bourges (18) et dispose d'un autre site de production en France ainsi que de 5 autres unités de production à l'étranger (2 aux USA, 1 en Malaisie, 1 en Chine et 1 en Russie) et d'1 bureau commercial et marketing à Paris.

1 autre projet d'usine est en cours de réalisation (Brésil).
Personne en charge du recrutement
Gregoire BONNICI - Responsable Juridique et ressources Humaines",3,4.3,NA,NA,NA,NA,NA,NA,NA,NA
