Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Salaire,Description
https://fr.indeed.com/viewjob?jk=2f03a0588886386c,Business Data analyst H/F,CDI,EXTERNATIC,Saint-Géréon (44),Pays de la Loire,NA,"DESCRIPTION DE L'OFFRE
Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest.
Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => pas de SSII) depuis 2010.
Chaque offre d’emploi correspond à un poste réel. RDV sur externatic.fr
L'entreprise:
L’entreprise est un grand groupe industriel Français, incontournable de l'écosystème Ligérien.
Depuis 60 ans, notre client a su innover et se remettre en question tant d'un point industriel qu'informatique et propose aujourd'hui à ses clients et ses collaborateurs des idées innovantes et avant-gardistes.
Pourquoi ce job:
Au sein de l'équipe Sales et en support à celle-ci vous aurez dans votre scope la conception et le suivi des états de reporting et outils décisionnels vitaux au pilotage de l'activité.
Entreprise à taille humaine, notre client cherche à se renforcer par le recrutement d'un Business Data Analyst (H/F).
Parmi vos missions:Recueillir, extraire et collecter les données des différentes sourcesEtre l’interlocuteur Data des équipes et répondre à leur besoin Business Intelligence en étant support utilisateurConcevoir, optimiser, développer et suivre les états de reporting et outils décisionnels nécessaires au pilotage de l’activitéCréer des dashboards, proposer les KPIs et reporting des performances pour donner une vision cohérente des résultatsProduire des analyses métiers et des recommandationsAnalyser les processus actuels et proposer des améliorations en étroite collaboration avec les équipesAssurer une veille technologique et méthodologique
Salaire cible : 40/45K selon expérience + variable (environ 10K complémentaires)
Les + :
Entreprise ambitieuse, conditions travail optimales, Télétravail (2j/semaine)...

PROFIL REQUIS
Diplômé d'une école de gestion, vous avez une bonne maitrise de l'anglais opérationnel et vous justifiez d'une expérience significative tout en ayant une forte affinité aux environnements de la DATA
COMPETENCES attendues :
Création de tableaux de bords, capacité à extraire des KPI
Maitrise d'outils d'analyse de données et plutôt très avancé sur Google Sheet / Excel ou des outils Bi (PowerBi, Dataviz...)
Rigueur, organisation, analyse, prise de recul et goût du travail en équipe, sont autant de qualités qui vous définissent.
Vous êtes pragmatique, méthodique, autonome et rigoureux (se). Vous êtes reconnu(e) pour votre sens relationnel et votre goût du service."
https://fr.indeed.com/viewjob?jk=4d80fbc2d455a023,DATA ARCHITECT H/F,CDI,Inetum,Nantes (44),Pays de la Loire,NA,"Mission
Vous aimez construire des architectures orientées données capables de stocker et de traiter de fortes volumétries tout en bénéficiant de la puissance des dernières technologies du marché ?

Vous êtes certifié(e) MS Azure, AWS, GCP ou vous souhaitez le devenir ?

Vous aimez travailler sur des activités variées de réalisation de projets, de développement de comptes ou d’accompagnement des collaborateurs ?

Rejoignez-nous !

Nous travaillons sur des solutions personnalisées par rapport aux besoins de chacun de nos clients et sur des projets délivrés en agile.

Vous pourrez évoluer au sein d’Inetum et continuer à apprendre grâce à nos plans de formation dédiés et nos communautés actives.

Et aussi,

Supporter les équipes techniques, les faire grandir pour réussir collectivement les projetsAnimer des ateliers, des formations pour promouvoir les bonnes pratiques, partager vos savoir-faireEt bien sûr, apprendre en vous formant et en échangeant avec nos communautés ! Alors, prêt pour un nouveau challenge ? Rejoignez-nous !

Intégrer Inetum c’est rejoindre une communauté d’experts où partage et entraide sont les maîtres mots, la possibilité d’évoluer sur des missions variées, un accompagnement personnalisé tout en vous laissant acteur de votre carrière !
Profil
Vos compétences techniques :

Cloud : GCP, AWS, AZURE
Plateforme Hadoop : Hortonworks,Cloudera
Base de données NoSQL: HDFS,, HBase, MongoDB, Cassandra...
Framework (bigdata): Spark, Hive, Kafka, Flume, Oozie,...
Langage : Java, Scala, R, Python...
BI : PowerBI, Tableau, QLick
ETL : Talend, Dataflow

Organisation
Nous sommes une ESN agile et un groupe international. A l'ère de la post-transformation digitale, nous mettons tout en œuvre pour que chacun de nos 27 000 collaborateurs puisse se renouveler perpétuellement, en vivant positivement son propre flow digital. Chacun d'entre eux peut ainsi façonner son parcours de carrière selon ses appétences, entreprendre de manière pragmatique avec ses clients pour un monde plus positif, innover localement dans 26 pays et harmoniser son investissement professionnel et son bien-être personnel.
Rejoignez Inetum. Vivez votre flow digital positif.

Tous nos postes sont ouverts aux personnes en situation de handicap.
Pays
France
Emplacement
NANTES
Type de contrat
CDI"
https://fr.indeed.com/viewjob?jk=e7ce8e17da0fd2f6,DATA ARCHITECT H/F,CDI,gfi,Nantes (44),Pays de la Loire,NA,"Mission
Vous aimez construire des architectures orientées données capables de stocker et de traiter de fortes volumétries tout en bénéficiant de la puissance des dernières technologies du marché ?

Vous êtes certifié(e) MS Azure, AWS, GCP ou vous souhaitez le devenir ?

Vous aimez travailler sur des activités variées de réalisation de projets, de développement de comptes ou d’accompagnement des collaborateurs ?

Rejoignez-nous !

Nous travaillons sur des solutions personnalisées par rapport aux besoins de chacun de nos clients et sur des projets délivrés en agile.

Vous pourrez évoluer au sein d’Inetum et continuer à apprendre grâce à nos plans de formation dédiés et nos communautés actives.

Et aussi,

Supporter les équipes techniques, les faire grandir pour réussir collectivement les projetsAnimer des ateliers, des formations pour promouvoir les bonnes pratiques, partager vos savoir-faireEt bien sûr, apprendre en vous formant et en échangeant avec nos communautés ! Alors, prêt pour un nouveau challenge ? Rejoignez-nous !

Intégrer Inetum c’est rejoindre une communauté d’experts où partage et entraide sont les maîtres mots, la possibilité d’évoluer sur des missions variées, un accompagnement personnalisé tout en vous laissant acteur de votre carrière !
Profil
Vos compétences techniques :

Cloud : GCP, AWS, AZURE
Plateforme Hadoop : Hortonworks,Cloudera
Base de données NoSQL: HDFS,, HBase, MongoDB, Cassandra...
Framework (bigdata): Spark, Hive, Kafka, Flume, Oozie,...
Langage : Java, Scala, R, Python...
BI : PowerBI, Tableau, QLick
ETL : Talend, Dataflow

Organisation
Nous sommes une ESN agile et un groupe international. A l'ère de la post-transformation digitale, nous mettons tout en œuvre pour que chacun de nos 27 000 collaborateurs puisse se renouveler perpétuellement, en vivant positivement son propre flow digital. Chacun d'entre eux peut ainsi façonner son parcours de carrière selon ses appétences, entreprendre de manière pragmatique avec ses clients pour un monde plus positif, innover localement dans 26 pays et harmoniser son investissement professionnel et son bien-être personnel.
Rejoignez Inetum. Vivez votre flow digital positif.

Tous nos postes sont ouverts aux personnes en situation de handicap.
Pays
France
Emplacement
NANTES
Type de contrat
CDI"
https://fr.indeed.com/viewjob?jk=ae70ce2be07fce2a,Gestionnaire de bases de données H/F," -  Temps plein, CDI",MAINE CARRELAGE SAS,53810 Changé,Pays de la Loire,2 200 € par mois,"Le poste- création et mise à jour des fichiers articles et tarifications- suivi du bon fonctionnement des outils informatiquesLa rémunération- salaire brut pour un horaire de 39 heures hebdomadaires de 2 200,00 eurosLe profil- bonne connaissance informatique- parfaite maîtrise d'EXCEL- motivation, dynamisme et rigueurType d'emploi : Temps plein, CDISalaire : 2 200,00€ par moisHoraires :Travail en journée"
https://fr.indeed.com/viewjob?jk=d33fa70a0148a428,Référent applicatif data H/F,CDI,Groupe IDEA,Saint-Nazaire (44),Pays de la Loire,NA,"Prestataire en logistique industrielle, IDEA pilote la conception et opère des supply-chains pour les produits exceptionnels, spécifiques et sensibles. Depuis près de 100 ans, le groupe met à disposition son expertise en ingénierie de projet, pilotage des flux, protection des biens et transport industriel dans les secteurs de l’aéronautique, de l’énergie, de la défense, de la construction navale, de la logistique de chantier et du vrac agroalimentaire. En développement constant, l’innovation fait partie de l’ADN d’IDEA qui s’attache à valoriser les données de la supply-chain pour améliorer la performance globale de ses clients.
En plein essor, le Groupe IDEA, aux valeurs coopératives, regroupe plus de 1 600 personnes, sur 60 sites, pour un chiffre d’affaires global de 160 millions d’euros. IDEA est attaché à préserver son indépendance qui lui permet de garantir le respect des valeurs qui fondent la qualité de ses relations avec ses clients, ses collaborateurs et son environnement. IDEA grandit avec les Hommes qui composent l'entreprise et recrute de nouvelles compétences.
Dans le cadre de notre développement, nous recrutons un Référent applicatif data H/F pour notre site de Saint Nazaire.

Le Référent applicatif data H/F participe à la mise en place et au suivi des solutions informatiques nécessaires à la performance des activités de la business unit.
Rattaché(e) au Responsable industrialisation, vos missions sont les suivantes :
Identifier et hiérarchiser les besoins de digitalisation sur les différents sites de la BU,
Prendre en charge et/ou participer aux projets de digitalisation,
Garantir une gestion performante de la data à travers l’utilisation des outils métier et/ou digitalisation existante ou en déploiement,
Assurer la formation permanente des utilisateurs concernant la prise en main et l’évolution des fonctionnalités des applicatifs digitalisation et data,
Participer à la mise en place des rapports BI dans le cadre de nouveaux projets,
Assurer la diffusion et la bonne utilisation des rapports BI standards groupe,
S’assurer de la cohérence des données avec les sites et de leur facilité d’utilisation,
Assurer l’interface avec le support SI groupe pour la mise en place, la fréquence et la cohérence des actions menées,
Collaborer aux projets data / innovation du groupe et de la BU,
Contribuer activement à l’efficience de la donnée sur les différents périmètres de la BU : qualité des données, et temps d’obtention de celles-ci (doubles saisies…),
Journaliser et maintenir un tableau de bord des actions réalisées,
Proposer et déployer des solutions d’amélioration.
Diplômé(e) d'une formation de niveau Bac+5 (école d'ingénieur/formation universitaire), vous justifiez d'une expérience d'au moins 5 ans en pilotage de projets data et/ou digitalisation.
Doté(e) d'un bon relationnel et d'une grande rigueur, vous savez être force de proposition. Vos qualités d'analyse, de synthèse ainsi que votre capacité à agir sur la résolution de problèmes sont vos atouts pour prendre en main ce poste.
Vous êtes capable d’implanter et de faire évoluer un SI, pouvant être associé à son domaine d’expertise. Vous savez gérer les priorités, prendre des initiatives, et vous adapter à différents acteurs. Vos compétences techniques sont confirmées et vous êtes ouvert à des problématiques touchant par exemple à la data."
https://fr.indeed.com/viewjob?jk=5e77c1298dc74014,CONCEPTEUR - CHEF DE PROJET BI - BIG DATA H/F,CDI,Piveteau Bois,85140 Sainte-Florence,Pays de la Loire,NA,"«Construire un monde durable pour les générations futures en offrant à tous le meilleur de chaque arbre»
Une phrase qui résume notre mission !
Nous accordons une grande importance à proposer des produits de qualité conçus dans le respect des forêts et de la nature. C’est une ressource trop précieuse pour être gaspillée !
Nous mettons un point d’honneur à faire grandir chaque membre de nos équipes. Nous pouvons vous promettre des challenges, des défis. Vous êtes agiles, autonomes et pourrez entreprendre dans une entreprise dynamique qui innove continuellement.
Nous avons à cœur de leur offrir une prestation fondée sur la confiance, la convivialité ainsi qu’une relation durable et équitable.
Autant de valeurs qui animent au quotidien nos collaborateurs sur nos 3 sites de production !

Qui sommes-nous ?
Aujourd’hui, PIVETEAUBOIS est un entrepreneur français, fabricant de solutions bois pour les marchés de la construction, l'aménagement extérieur et le bois énergie. Leader industriel du bois aux racines familiales et fort de son histoire depuis 1948, l'entreprise construit un monde durable. Nous maîtrisons totalement la qualité de nos produits tout en contribuant à la régénération des forêts et à la préservation de la nature : 100 % du bois est valorisé. Cette politique rigoureuse en matière de développement durable permet à PIVETEAUBOIS d'avoir un bilan carbone positif.

Si tous les éléments que vous venez de lire vous correspondent et font sens, alors vous pouvez continuer :

Dans le cadre de notre développement, nous recherchons un :

CONCEPTEUR/CHEF DE PROJET DECISIONNEL orienté Data Science & Big Data H/F
CDI - Basé à Ste Florence (85) - ESSARTS EN BOCAGE
Rattaché au responsable du pôle Etudes et Développements au sein de la D.S.I, vous assurez la conception et la mise en œuvre de solutions décisionnelles.

En relation avec nos partenaires techniques et les équipes internes (métiers, SI), vos missions s’articuleront autour des axes suivants :
Participer à l’élaboration de la feuille de route DATA de l’entreprise, en lien avec la compréhension des enjeux métiers et l’analyse des opportunités techniques autour du big data.Piloter et mettre en œuvre des projets décisionnels autour des axes Big Data & Data Science, selon la feuille de route Data de l’entreprise.
Analyser, concevoir et implémenter des solutions décisionnelles traditionnelles (BI/EPM) en partenariat avec les directions métiers de l’entreprise (Finances / Achats / Commerce / Production…)Gérer le support de niveau 1/2 et maintenir en conditions opérationnelles les solutions décisionnelles et applicatives de votre périmètre.

L’écosystème technique BI actuel se compose principalement de la suite BI Microsoft (SSIS, SSAS, SSRS, Power BI), de l’EPM Board ainsi que l’ERP Infor M3.
De formation Bac +4/5 – profil ingénieur avec une forte aspiration/sensibilité au système d’information. Une expérience dans la conception de solutions décisionnelles sera fortement appréciée.


Forte expertise en modélisation décisionnelle et architecture Data (Datawarehouse, Datalake...)

Vous disposez d’une forte culture et appétence pour le Big Data, la Data Science ou l’IA. Vous aimez les défis et êtes passionné par les enjeux techniques à forte valeur ajoutée.

Dynamique, pragmatique, entrepreneur et agile, vous êtes doté d'un bon relationnel et votre autonomie s'ajoute à votre rigueur pour mener à bien les missions qui vous seront confiées.

Enfin, si vous aimez le bois et ses valeurs de développement durable, vous ne serez pas déçu !

Rejoignez une entreprise ambitieuse, dynamique et en forte croissance!
Conditions:

CDI - poste en journée normale
Temps de travail au forfait 218 jours
Rémunération attractive selon profil et expérience

+ Mutuelle /Prévoyance

+ Indemnités kilométriques
+ Intéressement + participation
+ Avantages liés au CSE
+ Tarifs préférentiels sur les produits de l'entreprise"
https://fr.indeed.com/viewjob?jk=5ed9961ed755a545,Développement de méthodes d’analyse des données par fibre optique pour la détermination des déformations et l’endommagement d’ouvrages en béton, -  CDD,Institut de Recherche en Génie Civil et Mécanique,Nantes (44),Pays de la Loire,1 758 € - 2 104 € par mois,"Développement de méthodes d’analyse des données par fibre optique pour la détermination des déformations et l’endommagement d’ouvrages en béton
Réf ABG-103557 Sujet de Thèse

07/03/2022 Contrat doctoral

Institut de Recherche en Génie Civil et Mécanique
Lieu de travail
Nantes / Déplacements longs à prévoir sur le site de Bure - Pays de la Loire - France
Intitulé du sujet
Développement de méthodes d’analyse des données par fibre optique pour la détermination des déformations et l’endommagement d’ouvrages en béton
Champs scientifiques
Sciences de l’ingénieur
Génie civil, BTP
Science de la donnée (stockage, sécurité, mesure, analyse)
Mots clés
physique ; optique & photonique ; mécanique ; modélisation ; béton ; génie civil ; analyse de données.
Description du sujet
Cette thèse s’inscrit dans le programme de recherche de l’Andra (Agence nationale pour la gestion des déchets radioactifs). L'Andra est chargée de la gestion à long terme des déchets radioactifs produits en France. Le projet Cigéo (Centre industriel de stockage géologique) est un projet d’importance nationale pour la gestion des déchets radioactifs.
Dans le cadre de la stratégie de surveillance de Cigéo, l’Andra développe un système de surveillance des ouvrages souterrains qui reposera sur l’association de techniques d’auscultation complémentaires : in-situ et déportée.
Les capteurs à fibres optiques permettent de réaliser des mesures réparties de températures et de déformations. Ils ont été référencés comme un moyen complémentaire aux capteurs ponctuels traditionnels : ils représentent un dispositif à fort potentiel pour mesurer les gradients de température et de déformations le long des différentes structures constituant le stockage souterrain. En particulier, ces capteurs seraient fixés sur le chemisage en acier des alvéoles destinées au stockage des déchets HA (Haute Activité) d’une part, et noyés dans les revêtements en béton des puits et des alvéoles destinées au stockage des déchets MAVL (Moyenne Activité Vie Longue) d’autre part.
La fibre optique est un moyen de plus en plus utilisé en génie civil pour le suivi thermomécanique des ouvrages ainsi que pour la détection d’endommagements potentiels. L’Andra envisage d’utiliser la technologie par capteur à fibre optique répartie par Brillouin/Rayleigh pour la surveillance de ses ouvrages souterrain en béton. Dans son programme de développement des capteurs à fibre optique, l’Andra a d’abord cherché à durcir les fibres et câbles de mesure pour une utilisation dans l’environnement sévère du stockage puis par la suite à développer des méthodes pour décorréler l’ensemble des paramètres utiles et pouvoir distinguer la température des composantes de déformation. La mise en place d’indicateurs de performance définissant la santé et la sureté de l’ouvrage est essentielle notamment dans les futurs processus d’aide à la décision du stockage. La conversion des signaux bruts des capteurs à fibre optique en grandeurs facilement exploitables a déjà été employée pour déterminer et visualiser la convergence d’un tube en acier (thèse de A. Piccolo, 2020) par exemple. Les algorithmes et l’approche méthodologique développés ont permis l’interprétation des phénomènes observés.

Pour mieux comprendre le comportement des ouvrages en béton instrumentée avec des capteurs à fibre optique répartie il est nécessaire de poursuivre les travaux relatifs au traitement des données des fibres optiques appliqués aux ouvrages en béton. L’objectif est de déterminer la convergence du tunnel en prenant en compte les données matériaux et les capteurs installés en redondance. Il est également utile et nécessaire de définir des algorithmes de corrections et d’ajustement pour prendre en compte les caractéristiques matériaux du béton au jeune âges et l’influence du retrait/fluage à long terme.
L’objectif du travail de thèse est de généraliser une méthodologie de traitement des données fibres optiques et définir des indicateurs de performances et d’endommagement des ouvrages en béton.

Après un travail bibliographique, Le doctorant développera une méthodologie de traitement des données fibres optiques pour obtenir les déformations de l’ouvrage. Ce travail pourra s’appuyer sur les travaux de l’Andra réalisés sur les ouvrages en acier, sur l’état de l’art du domaine et sur de nouvelles approches basées sur des algorithmes de traitement ad hoc. Les paramètres matériaux liés au béton seront à prendre en compte dans le traitement des données mécaniques liées au retrait ou au fluage. Les données d’entrée seront des mesures Brillouin et Rayleigh obtenues à partir d’un Neubrescope.

Des essais expérimentaux et numériques seront réalisés à différentes échelles. Ils iront des essais sur des éléments structuraux en laboratoire académique jusqu’au traitement des données issues de l’ouvrage réel : le laboratoire souterrain.

Le résultat attendu est l’identification la plus précise possible de champ de contrainte sur l’ouvrage réel et le suivi de sa géométrie.
Prise de fonction :
03/10/2022
Nature du financement
Contrat doctoral
Précisions sur le financement
CDD de trois ans, rémunéré de 1 758 € et 2 104 € brut par mois selon le profil du candidat.
Présentation établissement et labo d'accueil
Institut de Recherche en Génie Civil et Mécanique
La thèse sera encadrée par des chercheurs de l’Institut de recherche en Génie civil Et Mécanique (GeM) de Nantes en collaboration avec des chercheurs de l'ANDRA. Les axes de recherches du laboratoire GeM s'articulent autour du triptyque Matériaux - Procédés - Structures, visant à développer et mettre en œuvre des approches intégrées couvrant les étapes de conception, fabrication et fonctionnement de composants industriels. Les équipes du laboratoire s'intéressent à l'analyse du fonctionnement en service des composants structuraux : réponse aux sollicitations mécaniques et environnementales, parfois extrêmes (sismique, crash), durabilité au sens large (notamment gestion des risques, analyse de cycle de vie). Le GEM présente en sus la particularité d'associer, de façon très étroite, dans la même équipe, des mécaniciens et des opticiens. Une autre spécificité de l’équipe d’encadrement concerne l'instrumentation de structures en conditions de chantier réelles. On peut citer l’instrumentation d’un quai portuaire (projet IMARECO), l’instrumentation de structures en béton (projet ITN Infrastar) ou l’encadrement de la thèse d’Arianna Piccolo avec L’Andra dans le cadre du projet ITN FINESSE.
Site web :
https://gem.ec-nantes.fr/
Profil du candidat
Vous êtes issu d'un filière de type génie mécanique, génie civil, physique , optique-photonique et vous posséder un bon niveau en mathématique.

Pour postuler à cette thèse vous devez avoir de bonnes notions relatives à la modélisation et avoir l’envie vous intéresser au développement de routines de calcul (sur Matlab par exemple) pour effectuer l’analyse des données expérimentales et de l'identification paramétrique.

Un intérêt pour les études expérimentales est également demandé puisque ce points est un axe de développement important dans cette thèse.
Date limite de candidature
31/03/2022"
https://fr.indeed.com/viewjob?jk=f045108ac28649e1,Data Engineer (H/F),"Temps plein, CDI",Talents IT,49000 Angers,Pays de la Loire,NA,"Description de l'entreprise :

L'équipe Talents IT s'engage à être réactive et présente pour répondre à vos demandes. Nos consultants ont pour vocation de vous accompagner dans la recherche de vos futurs experts IT, en CDI et en CDD, quel que soit votre secteur d'activité.

Description du poste :

Talents IT cabinet de recrutement national spécialisé dans les métiers de l'IT et du Digital proche de ses clients et candidats est résolument tourné vers l'humain.

Nos consultants vous conseillent et vous accompagnent dans votre évolution de carrière.

Afin d'accompagner la pleine croissance et la transformation globale de notre client, nous recrutons actuellement un DATA ENGINEER H/F pour renforcer son équipe.

Rattaché(e) à la DSI, vous travaillez au sein de l'équipe Data Excellence, vous travaillez dans un contexte international avec des acteurs en France, dans d'autres Business Units. Vos missions:

Vous concevez les flux de collecte, d'ingestion et de transformation des données pour alimenter le socle de données Cloud, basé sur les technologies Snowflake/AWS/Talend et participez à leur développement et à leur maintenance.
Vous mettez les données à la disposition des utilisateurs, dans le respect des normes et règles en vigueur (RGPD, sécurité, gouvernance internes...).
Vous faites de la veille technologique afin d'être force de proposition.
Vous êtes responsable : des livraisons, de l'architecture data (flux, contrôles, sécurité, historisation, suppression etc.), de la stratégie d'implémentation sur le Cloud Snowflake/AWS et de la stratégie d'implémentation des flux de données avec Talend.
Vous assurez progressivement le rôle de Lead développeur sur la plateforme DATA.

Description du profil :

De formation Bac +5 avec un minimum de 7 années d'expérience, vous maîtrisez un ou plusieurs outils ETL/ELT (de préférence Talend). Vous bénéficiez d'une expérience significative et réussie sur l'implémentation d'un socle de données (Datawarehouse, Datalake, ...) dans un contexte On-premise ou Cloud.

Vous avez une expérience sur les environnements Cloud, idéalement Snowflake/AWS."
https://fr.indeed.com/viewjob?jk=419d4333faba0113,Ingénieur Bases de données DBA F/H,CDI,LAOU,Nantes (44),Pays de la Loire,NA,"Ingénieur Bases de données DBA F/H
Ref. Apec : 167790451W / Ref. Société : talentplug-9483390
LAOU
1
CDI
Nantes - 44
Publiée le 05/03/2022
Actualisée le 05/03/2022
Salaire
30 - 60 k€ brut annuel
Prise de poste
Dès que possible
Expérience
Minimum 5 ans
Métier
Administrateur de bases de données
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
PORTAILS INTERNET

Descriptif du poste
Notre groupe (800 collaborateurs) est un acteur incontournable sur son marché :
un groupe à taille humaine reconnu pour son expertise dans ses 3 métiers (édition de logiciels, intégration, Infogérance), ses valeurs humaines et sa forte implication RSE
un groupe riche d'une présence historique de plus de 40 ans sur un marché plein de perspectives
un projet d'entreprise ambitieux mêlant audace et plaisir permettant d'inventer des services d'excellence
une entreprise où vos idées et vos innovations trouveront un écho
une entreprise accordant une attention particulière à l'intégration des collaborateurs (affectation d'un parrain et process facilitant la prise de poste) et au développement de leurs compétences
Mais aussi, un environnement convivial propice aux échanges et à l'épanouissement :
des activités de détente (running via notre Team Défi Sport, équipes de football, de basket-ball et de badminton, cours de fitness et de QI Qong, babyfoot, association Initiative Solid'Ere et bien d'autres à créer !)
des locaux adaptés (salle de détente, vestiaire douches...) permettant des activités à l'heure du déjeuner ou en soirée

Description du poste
Vous êtes administrateur bases de données confirmé ou ingénieur bases de données en recherche d'un nouveau challenge

Nous vous offrons l'opportunité de rejoindre l'équipe Linux / DBA de la direction Infogérance. Cette équipe de 13 personnes (Administrateurs, Ingénieurs infrastructure et Administrateurs Bases de données) est en charge de réaliser les projets clients (externalisation de SI, hébergement, transformation de SI).
Vous réaliserez les missions suivantes :
participer à la conception et à la réalisation de projets orientés autour des thématiques de bases de données
prise en compte des tickets escaladés par le N1 / N2
participer activement au maintien en conditions opérationnelles des plateformes de Bases de données
être force de proposition pour l'évolution de nos infrastructures de référence
Profil recherché
Votre potentiel et votre capacité à prendre de la hauteur sur les sujets seront vos meilleurs atouts.
Environnement technologique :
Oracle / PostgreSQL / MySQL / MariaDB
Connaissance des environnements Clouds Publics (AWS / Azure) / Clouds privés
Connaissances en administration Unix / Linux (CentOS, RedHat, OracleLinux, Debian)
Connaissances des outils d'industrialisation (Ansible, Puppet, scripting)
Professionnel de l'infogérance et de l'hébergement (même si vous ne maîtrisez pas l'ensemble des technologies citées ce n'est pas perdu si vous compensez par beaucoup de curiosité et de volonté d'apprendre, notre entreprise pourra vous accompagner) !
Entreprise
Laou est une plateforme spécialisée dans le recrutement IT en région.

En plus de vous trouver un job, Laou s'occupe gratuitement de :

Vous trouver votre futur logementFaciliter votre déménagementAider votre conjoint·e à trouver un jobVous faire découvrir la ville, etc."
https://fr.indeed.com/viewjob?jk=53c645425b91359c,Consultant(e) BI - Big Data - Nantes,NA,Azeo Talents & Technology,Nantes (44),Pays de la Loire,NA,"Pays:
France
Villes:
Nantes
Domaine de spécialisation :
Analytics
Description du poste
Avanade France
Une joint-venture entre Microsoft et Accenture avec des expert(es) Microsoft.
Une entreprise récompensée par Microsoft en tant que “Partner of the year” pour la France.
Un process de mentoring et de suivi d’évolution de carrière avec un point tous les trois mois sur vos objectifs, votre évolution et votre bien-être dans l’entreprise avec votre Career Advisor.
La possibilité de se former et de se certifier avec un minimum de 80 heures de formation par an.
Un équilibre vie professionnelle/personnelle avec une charte de télétravail et une indemnité de télétravail.
Un budget pour l’achat de matériel High-tech.
Si vous voulez connaitre tous les avantages que vous aurez en nous rejoignant, cliquez sur ce lien.
L’équipe Analytics
Data Analytics a pour objectif d'implémenter des solutions permettant de collecter, modéliser et restituer les données en accompagnant nos clients à effectuer une analyse précise grâce à des rapports/tableaux de bord. Devenez Data Analyst, Data Engineer, BI Developer, Delivery Lead !
Data Platform a pour objectif de configurer et d’administrer une infrastructure de données dans le cloud ou sur site, y compris le stockage des bases de données et de l'infrastructure Big Data.
Data Science a pour objectif d’apporter des capacités d'intelligence artificielle afin d’obtenir des informations sur les données, relever les principaux défis commerciaux et apporter une valeur commerciale supplémentaire aux clients. Devenez Data Scientist, AI Engineer, NoSQL Data Analyst !
Information Governance a pour objectif de définir, modéliser et mettre en œuvre des solutions et des processus de gouvernance de données afin de garantir la bonne gestion des données. Devenez Business Data Analyst ou Data Management Consultant !
Data architecture a pour objectif de traduire les besoins d'analyse en solutions, accompagner les clients pour définir leurs stratégies de données, construire le programme Analytics et mettre en œuvre l’architecture pour des cas d'usage BI, Big Data, IA et ML. Devenez Data Architect.
Votre rôle dans l’équipe
Dans un mode collaboratif et motivant, animé par les rituels de méthodologie Scrum Agile, vous serez amené(e) à participer aux différentes phases des projets décisionnels pour nos clients. Nous travaillons essentiellement sur des projets Cloud comme celui de Microsoft avec Azure.

Vous serez amené(e) à travailler sur :
L’évaluation et analyse des besoins client et son environnement
La définition de spécifications techniques et fonctionnelles
La formation des utilisateurs
La réalisation et l’accompagnement de l’industrialisation des solutions pour nos clients :
Extraction, nettoyage, transformation, ingestion des données (ETL/ELT)
Mise en place de dashboards et rapport selon les bonnes pratiques de data visualisation et les règles de sécurité définies avec nos clients
Accompagner des profils plus juniors grâce à vos connaissances et à notre programme dédié de formations et de certifications prises en charge par Avanade (80 heures/an de formation obligatoire).
De participer aux Avant-ventes (définition et validation de la solution, contribution à la rédaction d’Appels d’Offres, participation aux soutenances des propositions).
Faire de la veille technologique autour des solutions BI
Vous faites partie de l’aventure si
De formation ingénieur(e) ou équivalent, vous avez une expérience d’au moins 4 ans sur du développement en environnement Big Data (architecture Hadoop, Spark, Hive, Hbase, Kafka…) ou en Informatique Décisionnelle (Microsoft BI, Talend, Informatica…). Un bon niveau d’anglais à l’écrit comme à l’oral est indispensable.
Les « hard skills » de l’équipe Analytics
Azure Data Factory, Azure Databricks, Azure Synapse Analytics, SQL Database, Azure Data Lake, MSBI (SSIS, SSAS, SSRS), Power BI

Le processus de recrutement chez Avanade


Partager cette offre:
Partager Facebook Twitter Email
À propos d'Avanade

Avanade est le premier intégrateur de services numériques et cloud, de conseil, de solutions sectorielles et d'expériences innovantes dans l'ensemble de l'écosystème Microsoft. Chaque jour, nos 56 000 professionnels répartis dans 26 pays font la différence sur le plan humain pour nos clients, leurs employés et leurs clients finaux.
Comptant à notre actif le plus grand nombre de certifications Microsoft (plus de 60 000) et les 18 compétences Microsoft de niveau Gold, nous sommes idéalement positionnés pour aider les entreprises à se développer et à relever leurs défis.
Nous sommes une entreprise centrée sur l'humain, qui s'engage à offrir un environnement de travail inclusif encourageant le ""bien être soi-même"" au travail. En qualité d'entreprise responsable, nous contribuons à bâtir un monde durable et aidons les jeunes des communautés sous-représentées à exploiter leur potentiel et à se réaliser.
Détenue majoritairement par Accenture, la société Avanade a été fondée en 2000 par Accenture LLP et Microsoft Corporation. Pour en savoir plus www.avanade.com."
