Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Salaire,Description
https://fr.indeed.com/viewjob?jk=3ce51e08d8bd2954,Business Data Analyst (All Genders),Temps plein,Dailymotion,Télétravail,Île de France,,"Company Description
Dailymotion is the leading video discovery destination & technology that learns about your tastes over time, constantly surfacing the best, most relevant content on the web. Our mission is to provide the best video user experience for consumers on the market, connecting publishers and advertisers to engaged viewers who turn to Dailymotion for their daily fix of the most compelling music, entertainment, news and sports content around.
Through partnerships with the world's leading publishers and content creators, France Télévisions, Le Parisien, CBS, Bein Sports, CNN, GQ, Universal Music Group, VICE and more, Dailymotion commands 3 billion monthly pageviews across its mobile app, desktop and connected TV experiences. Dailymotion is owned by Vivendi, one of the largest mass-media corporations in the world.
At Dailymotion, we‘re storytellers. We build the best place for people to enjoy the videos that matter. We do this through utilizing and developing cutting-edge technology and pushing the envelope to bring discoverable stories to life through premium content from the world’s best publishers. We do this by helping these publishers grow their audiences and monetize their content, their way.

Dailymotion is proud to be an equal employment opportunity and affirmative action employer. We value inclusion and we want you to help us thrive for a more diverse community.

Job Description
As a Business Data Analyst, you will be at the core of Dailymotion's strategy of being a data-driven company. Within the Ads Operations Department, you will be part of the Global Business Insights team whose mission is to empower sales, operations, and content teams with the right insights and recommendations to contribute to Dailymotion’s growth.
Monitor frequently the main KPIs and improve the reactivity of the teams to identify and fix issues.
Perform regular advanced analysis of our business and help define our local strategy to grow supply and demand with the relevant teams.
Partner closely with the Demand teams (Sales & Programmatic Partnerships teams) to develop and execute their roadmap and business plan.
Evangelize on the use of data and provide actionable insights across the Ads teams (Sales, Content Partnerships, Supply Operations).
Build analytical assets (dashboards, datamarts...) to optimize and monitor our ads products, sales performance, and operations.
Help our Operations team optimize their Marketplace and facilitate the go-to-market of new offers to our different demand sources (campaign delivery optimization, pricing analysis).

Qualifications

Experiences :
3+ years of quantitative/statistical analysis experience (data analyst, business analyst…), 2+ years of experience in ads industry, tech product or management consulting;
2+ years experience with SQL and a data visualization tool like Tableau, Datastudio, Looker… Python is a plus
Excellent analytical skills : Capacity to understand the business needs, leverage our large dataset and find the appropriate insights to help solve the business questions
Excellent communication skills : Ability to explain and synthetize analytics work to large audience, ability to foster strong relationships with peers and stakeholders, ability to advocate your findings and influence business decisions
Great sense of ownership : Capacity to be proactive and autonomous with the willingness to get things done
Quality over quantity : Accurate and impactful analysis and well-designed/highly adopted dashboards are more important than number of JIRA tickets closed
Additional Information
At Dailymotion, we empower candidates to take action. If this job sounds like a great opportunity for you, be confident in your skills, we are always happy to meet you! If needed, we can accommodate our recruitment process for your special abilities.
Location: Paris
Type of contract: Permanent
Start Date: ASAP
For the France offices
 Hybrid Work Framework (4 types of remote work : Full office /Flex office (1/2 days remote) / Flex remote (1/2 days at the office) / Full remote + ability to work 3 month abroad)
International Group Savings Plan offered through the Vivendi Group
 8 weeks paid Paternity leave or Co-parental leave
️ Excellent Employee Culture (Company Events / Trainings / Parties / All hands …)
 Career development support (training / career check-in with HR / internal mobility / compensation cycle / 360 quarter feedback review …)
 Company-paid Health Insurance and Personal Services Vouchers (CESU)
Commuter benefit coverage - Public Transport and Bike refund
️ Paid Time off – RTT and Saving time plan (CET)
✅ Meal Vouchers
Workers representatives committee (sport membership/cinemas vouchers/gift vouchers/discount)
Feel free to explore Dailymotion culture a little further, please check out:
Dailymotion.com
New-York office - BuiltIn
Offices in France - Welcome to the Jungle
Our articles"
https://fr.indeed.com/viewjob?jk=864e93c6d4526f1b,Gestionnaire de base de données Tarif-PIM F/H,Temps plein,Champion Entreprises,75016 Paris 16e,Île de France,,"Dans le cadre de son développement et pour renforcer l’équipe marketing, le groupe recrute un/une :
GESTIONNAIRE DE BASE DE DONNEES TARIF-PIM (H/F)
Au sein de l’équipe marketing et en collaboration étroite avec nos magasins et l’équipe chefs de produits, vous aurez pour principales missions :


La gestion du référencement : codification et gestion du cycle de vie des produits dans notre ERP
L’intégration et la mise à jour de la donnée tarifaire des articles
L’amélioration des outils d’intégration et de contrôle de données.
La rédaction et le déploiement des procédures et modes opératoires
L’amélioration de notre PIM en développant le contenu éditorial pour nos différents canaux de vente (sites e.commerce, catalogue, CRM,…)
La formation et l’accompagnement des collaborateurs
La définition des reportings mensuels et faire évoluer si besoin les outils de contrôle de la qualité du référentiel
La prise en charge de projets transverses en coordination avec nos magasins et les différents services de l’entreprise.

Diplômé BAC+2/3, vous disposez d’une expérience significative dans une fonction de gestion de contenu de base de données.

Vous savez analyser des données et synthétiser une information en toute fiabilité et autonomie. Vous maîtrisez les outils informatiques (Office, Web) notamment Excel.

Vous faites preuve d’une grande rigueur et de réactivité. Vous êtes pro-actif et maitrisez les mécaniques tarifaires. Vous saurez faire de chacune de vos idées un moteur de succès pour l'entreprise. Implication et goût pour le travail en équipe sont autant d’éléments nécessaires à la réussite de ce projet.
Merci d’adresser votre candidature (Lettre de motivation + CV) et d’indiquer vos prétentions salariales
Nous construisons de beaux projets : nous avons besoin de vos talents !"
https://fr.indeed.com/viewjob?jk=e55fd1b7bc0bebc3,Web Data Analyst H/F,CDI,Fed Business,France,Île de France,,"Descriptif de la société
Fed Business, cabinet de recrutement spécialisé dans les fonctions commerciales, marketing et communication, recherche pour son client Pureplayer dans le secteur de la boisson, un/e Web Data Analyst dans le cadre d'un CDI à pourvoir dès que possible en métropole lilloise.
Descriptif du poste
Rattaché/e au Responsable Acquisition, vous avez les missions suivantes :

L'audit des 3 sites e-commerce ;
La mise en place et le pilotage des outils de digital analytics et des gestionnaires de tags (conversion, plan de tracking, fiabilité des données, évolution du tracking en lien avec l'actualité Analytics) ;
L'accompagnement et l'implémentation de tableaux de bord (Google Analytics, Data Studio, Power BI) pour l'équipe E-commerce ;
La coordination, le respect de la délivrabilité et le suivi des différentes actions visant à l'amélioration du taux de conversion ;
L'analyse des campagnes en terme de performance (CA, conversion, rapidité du site, ventes croisées, etc.) ;
L'analyse des KPIs et les recommandations techniques (ad-centric et site-centric) ;
La stratégie E-merchandising : ranking produits, recommandations produits (A/B testing, etc.), mise en avant d'offres sur les sites ;
L''analyse ponctuelle sur les performances campagnes, pays mais également produits (Requêtes MySQL) ;
La collaboration avec les entités du groupe sur des projets communs DATA mais aussi la mise en place du CDP (Customer Data Platforms) avec les marques du groupe.
Profil recherché
Vous avez suivi une formation supérieure en E-commerce / Marketing Digital et vous avez une ou plusieurs expériences réussies (minimum 2 ans) sur un post de Data Analyst.

Vous parlez couramment anglais pour des échanges quotidiens à l'oral et à l'écrit.

Vous êtes curieux(se), autonome, vous avez un très bon sens de l'analyse et êtes orienté résultats. Vous avez une culture web, vous suivez les tendances digitales et vous aimez échanger et partager en équipe. Vous maîtrisez Google Analytics. Vous êtes familier des technologies récentes."
https://fr.indeed.com/viewjob?jk=83817ddc1d50dc0d,Référent Technique Sites Data Center Télécom F/H,CDI,welinkit,Paris 17e (75),Île de France,,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Référent Technique Sites Data Center Télécom. Vous participerez à la construction et au déploiement d’un nouveau réseau haut débit pour un opérateur français Télécoms. Sous le pilotage direct du manager du service, et en étroite collaboration avec les référents techniques nationaux, vous aurez comme responsabilité d’accompagner les chefs de projets lors des études relatives aux installations techniques des sites réseaux et de suivre ces dossiers pendant la phase de réalisation.
Dans ce cadre, vous devrez notamment :
Analyser les mémoires techniques et les plans proposés par les bureaux d’études.
Accompagner techniquement les chefs de projet.
S’imprégner de l’organisation du client.
S’imprégner des concepts techniques des installations télécom du client.
Rédiger tous les documents nécessaires au besoin.
Vous aurez également pour missions de :
Décliner les directives techniques déterminées par les référents techniques nationaux.
Accompagner les chefs de projet sur les problématiques liées à l’environnement technique des sites réseaux.
Identifier les risques et les discordances dans les dossiers techniques de présentation des projets et proposer des correctifs.
Définir et mettre à jour les documents de référence.
Assurer une veille technologique relative aux équipements d’énergie et de climatisation industriels.
Rédiger des notes techniques à destination des chefs de projet.


Profil recherché
Expertise dans l’ingénierie des installations d’énergie et de climatisation relatives aux infrastructures réseaux et IT.
Connaissance de la réglementation et des normes relatives aux installations électriques : courants alternatifs (230/400 V) et continus (48 V).
Connaissance des dispositifs de sûreté et de sécurité appliqués aux sites réseaux et informatiques de type data centers.
Connaissance du domaine immobilier industriel et de la réglementation afférente."
https://fr.indeed.com/viewjob?jk=8a9b412ec8c3cdf9,DATA ANALYST H/F,CDI,AQUANTIS,92300 Levallois-Perret,Île de France,,"Notre client, établissement financier international à taille humaine, recherche un Data Analyst H/F afin de renforcer ses équipes.

Vos principales missions seront les suivantes :

Assurer la construction et la maintenance des tableaux de bord existants sous Tableau software
Participer à la recherche et la mise en place d’outils innovants pour la gestion et l’analyse de nos indicateurs,
Continuer les actions d’optimisation techniques et fonctionnelles des applicatifs, ainsi que la mise à jour de la documentation s’y afférant en conformité avec les règles en vigueur,
Participer à la gestion et l’amélioration de la qualité des données du système métier en place.

Diplômé d'études supérieures et doté d’un très bon niveau d’Anglais, tant écrit que parlé, avec au minimum 2 ans de pratique sous Tableau Desktop et/ou Tableau Server 2021.2 ou plus récent (développement et/ou maintenance des tableaux de bord).

Vos atouts seront les suivants : un grand sens de la créativité et de l’innovation renforcé par la pratique d’outils d’analyses de type Visual Analytics ainsi que sur le plan technique les langages SQL en environnement Oracle et/ou Azure Synapse."
https://fr.indeed.com/viewjob?jk=502322f078bfa233,Chef de projet Déploiement Data Center Télécom F/H,CDI,welinkit,Paris 17e (75),Île de France,,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Chef de Projet Déploiement Data Center Télécom. Vous aurez en charge de piloter des projets de rénovation et d'évolution d'infrastructures télécoms, avec comme principales missions de :
Assurer la préparation, la planification et le suivi opérationnel des projets.
Contribuer à l'organisation des interventions des équipes techniques.
Participer à la conception et à la mise en oeuvre des Data Centers.
Avoir un rôle de MOE au niveau de la conception et de l'exécution dans les domaines des courants faibles, sûreté, sécurité incendie, extinction incendie, ...
Consulter les sous-traitants.
Prendre la responsabilité des travaux au sein des salles informatiques.
Gérer les budgets.
Manager les équipes techniques.


Profil recherché
De formation supérieure Télécom ou Electrotechnique.
Expérience d’au moins 3 ans dans la gestion de projets de déploiement d'infrastructures techniques (réseaux LAN, Wifi, ...).
Maîtrise des contraintes de déploiement et de pilotage des fournisseurs.
Très bonne connaissance des sites réseaux.

Compétences dans les domaines techniques Data Centers et sites réseaux (Electricité, Courants forts et faibles, climatisation, sûreté, anti intrusion, contrôle d'accès, sécurité, protection, extinction incendie, ...)."
https://fr.indeed.com/viewjob?jk=9f9dd89171fa6f39,Data Engineer,,Illuvium,Paris (75),Île de France,,"Role Description
We are looking on expanding our Analytics team with a data engineer to help create data-driven solutions for the Illuvium DAO. These include: molding vast amounts of data to help our data analysts and data scientists create insights for the Illuvium DAO, help creating internal and external data products and setting up vital communications with cutting-edge AI infrastructure to play our games.

About Illuvium

Illuvium Labs is an independent game development studio based in Sydney, Australia. We develop blockchain based games for the Illuvium DAO. We have developed a strong culture of independence with our team, preferring candidates who can articulate their own vision and goals. We operate almost entirely remotely so each team member designs their own hours and work schedule. In the end all that matters is the delivered product. We hire based on people's abilities to adapt and change quickly, valuing underlying core abilities above specific skill sets.


Responsibilities

Proactively create data pipelines to assist the Analytics team in creating AI and providing DAO insights

Feed the infrastructure which governs our data-driven products continuously, robustly and coherently

Manage dataflows and data warehousing for the entire Illuvium DAO

Build and launch new data extraction, transformation and loading processes in production

Deal with data-related ad hoc requests from the broader Illuvium team

Skills & Qualifications

High proficiency with Python

Experience delivering e2e data-driven products

The ability to both work independently while proactively engaging with the Analytics team

Preferred Qualifications

Experience with Splunk is a big plus

You have experience with Big Data on Google Cloud Platform or AWS. You have experience with Cloud Engineering (AWS, Cloud Formation, Terraform).

Understanding of data modelling in both SQL and noSQL-based databases

At least 5 years of experience with databases, ETL, Streaming and data processing frameworks like Kafka, Airflow

Location

All of our jobs are 100% remote and we are looking to find the best talent globally!"
https://fr.indeed.com/viewjob?jk=1abb0939f4b598a2,Python Developer Data Scraping - FoodTech / FinTech / MarTech,,Licorne Society,Paris (75),Île de France,,"Licorne Society a été missionné par une startup en pleine croissance pour les aider à trouver leur Python Developer Data Scraping
Entreprise
Lancée en Juin 2021 à la suite du brillant programme Entrepreneur First, Flynt ambitionne de révolutionner le secteur de la restauration en créant la 1ère solution de revenue management adaptée au secteur. La start-up SaaS a été créée par 2 entrepreneurs à succès ayant évolué dans le monde de la restauration et de l'édition de logiciel (cofondateur de Skello).
La problématique: le milieu de la restauration se digitalise avec l'arrivée d'une multitude de plateformes de commandes en ligne (Deliveroo, Uber Eats, Click &Collect, The Fork..) et il est de plus en plus complexe pour un restaurateur de trouver la bonne stratégie de prix à adopter sur chacun de ces canaux à la fois en fonction de la demande et de sa capacité de production.
Flynt se positionne comme le logiciel intelligent situé entre la caisse et les plateformes, et qui permet au restaurateur de déterminer le meilleur prix à chaque heure de la journée et ainsi d'optimiser son flux de commandes .
Notre mission : aider des milliers de restaurateurs à décupler leur rentabilité ! Notre solution peut par exemple permettre à un restaurant de générer 15 à 30% de CA supplémentaire.
Nous travaillons déjà avec des enseignes telles que Pokawa, Père&Fish, Gruppomimo, Matsuri etc... et nous comptons aujourd'hui plus de 300 points de vente partenaires.
Nous sommes actuellement une équipe de 13 personnes, nous avons + de 15 recrutements en cours et prévoyons d'atteindre une cinquantaine de collaborateurs en Juillet 2022 (Sales, Marketing, Tech...).
La mission
Dans le cadre de notre forte croissance et de notre récente levée de fonds, nous cherchons à constituer notre 15 de départ.
Aujourd'hui notre équipe technique est constituée ainsi : CTO (cofondateur) / Lead Dev / Senior FullStack / 3x Fullstack
Nous recrutons plusieurs profils pour nous aider à faire encore mieux.
Le profil recherché :
 Tu veux vivre une aventure
 Tu aimes travailler dans une énergie positive
 Tu es passionné de data
 Tu as de multiples bras et compétences notamment en Python (natif 3.8)
 Tu as déjà utilisé AWS, Lambda, Gateway, S3, DynamoDB et j'en passe
 Tu connais Pandas
En vrac, la liste de ce qui t'attend :
Rattaché directement à l’un des 2 co-fondateurs, tu participeras au développement du pôle Data de Flynt.
 Tu participes aux différents rituels de l’équipe (stand-up meetings, réunions hebdomadaires...) pour constamment améliorer et optimiser le fonctionnement de l’équipe.
 Analyser et améliorer l'usage de la data dans notre produit.
 Rechercher et évaluer la pertinence de nouvelles sources de données.
 Création, monitoring, maintenance et évolution de web crawlers de plusieurs sources.
 Nettoyage et structuration des données par batch
 Participation au développement d'APIs internes pour nos différents cas d'usage métier de la Data.
 Être un évangéliste des bonnes pratiques de développement ;
 Être en veille technologique constante et contribuer à l'amélioration des systèmes existants."
https://fr.indeed.com/viewjob?jk=3c5dfaee75352603,Chef de Projet Exploitation Data Center F/H,CDI,welinkit,Viroflay (78),Île de France,,"Missions
Notre client est un groupe de conseil en ingénierie créé en France en 2005, avec pour ambition de proposer une alternative disruptive au marché. Il s'inscrit dans la tradition des groupes de conseil à haute valeur ajoutée de l'hexagone, et mène des projets innovants sur plusieurs continents. Implantés en France, en Belgique, en Espagne, au Maroc, à Dubai et en Thaïlande, les 400 experts du Groupe de 19 nationalités différentes accompagnent les clients dans une démarche d'excellence technologique et humaine, dans les écosystèmes des télécoms, de l’énergie et de la finance.
Notre client intervient en France et à l’international avec une offre de services orientée « métier » lui permettant de répondre sur mesure aux exigences de ses clients. Historique dans les télécoms, notre client a su enrichir son offre ces dernières années et diversifier son portefeuille de clients en s’appuyant largement sur son expertise en matière de gestion de grands projets. Il intervient aujourd’hui encore essentiellement dans les télécoms mais le poids de ce secteur a désormais tendance à se contracter au profit des secteurs de l’énergie et de la finance au sein desquels de solides positions ont été acquises.
Après 15 années d’existence, notre client poursuit sa croissance à un rythme de +25% par an. Notre client souhaite accélérer son développement commercial, tout particulièrement dans les secteurs Télécom, IT, IoT, Pétrochimie, Energie & Automobile.
Notre client recrute un(e) Chef de Projet Exploitation Data Center qui aura pour principales missions :
La mise à disposition DOE, DIUO, Réglementaire, Travaux, Rapports de Maintenance, Conf Max et Liste des EET pour les sites cédés.
L'animation nationale des régions et des mainteneurs.
La préparation des cessions : tests, échanges avec les hébergeurs, suivi des réserves, visites sur site.
Le suivi du respect des engagements.
Le suivi des temps de rétablissement suite à des alarmes sur sites ou à des tests.
L'organisation des visites de réception pour la cession.
L'identification, la mise en place et le suivi des KPIs (GTR, levées des réserves, …).
Le suivi des évolutions sites.
Le support technique pour les spécifications des sites cédés/transférés.

Profil recherché
Ingénieur(e) de formation avec une expérience minimum de 3 ans en Data Center.

Agilité intellectuelle et sens de l'organisation."
https://fr.indeed.com/viewjob?jk=7d8345ffd02d1f4c,DATA ENGINEER CLOUD & DEVOPS H/F,Temps plein,Business & Decision,Paris (75),Île de France,,"Description de l'entreprise
Et si Business & Décision et le groupe Orange conjuguaient leurs forces pour devenir l’un des leaders européens de la Data transformation ?
Nous l’avons fait ! Notre alchimie nous positionne comme un acteur unique intervenant sur toutes les étapes du voyage de la donnée.
 Business & Décision en croissance sur l’année 2021, continue sur sa lancée avec un nouvel objectif de plus de 500 recrutements de profils #DataSpecialist.
Nous intervenons sur l’ensemble du cycle de vie des projets de clients du CAC40 :
Dès la phase de réflexion d’un projet, en passant par le management consulting, le cadrage, les études métiers, le cadrage de l'architecture, jusqu'au run, et expertises.
Nous formons et certifions régulièrement nos consultants sur les technologies du marché ; la formation étant l'une de nos priorités afin de vous accompagner dans le développement de vos compétences et vos perspectives d’évolutions.

Description du poste
Business & Decision est un groupe international des services du numérique, spécialisé, depuis sa création, dans l’exploitation et l’analyse de données.
Business & Decision conseille et déploie les solutions et les services les plus innovants pour accompagner les directions métier à relever les défis majeurs de création de valeur de leurs organisations. Data Intelligence, Big Data, Data Gouvernance, véritables socles de l’intelligence artificielle et de l’expérience digitale, sont les domaines d’expertise et de spécialisation du groupe.
Business & Decision, filiale d’Orange Business Services, emploie 2 500 talents dans 10 pays dans le monde et dans 14 villes en France.
Pour faire partie de l’aventure et intégrer la stratégie d’un grand compte client Business & Decision, nous recherchons pour compléter notre équipe en place un :
 DATA ENGINEER CLOUD & DEVOPS H/F
Ta mission sera la suivante :
** De la collecte des données à la mise en production, en passant par leur contrôle, stockage, traitement et modélisation **
Concevoir, implémenter et optimiser les modèles visant à stocker et traiter les donnéesContrôler et évaluer la qualité des modèlesImplémenter, optimiser et maintenir des algorithmes de traitement de données distribués (Scala, Spark, Java)Déployer et industrialiser les pipelines de collecte, d'ingestion et de stockage de donnéesSurveiller et assurer le bon fonctionnement des pipelines en productionDéfinir les bonnes pratiques de développement en implémentant des outils de CI/CDAssurer une veille technologique sur les technologies Big Data et Cloud Data PlatformParticiper à la définition, conception et/ou évolution de l’architecture, en intégrant de nou-veaux composants (frameworks, bibliothèques, …) permettant de mieux répondre aux be-soins

Qualifications
Les qualités requises pour réussir dans ce rôle :Une expérience significative de plus de 3 ans en tant que Data engineerUne bonne connaissance de l’écosystème hadoop et technologies Big Data (Hadoop/Cloudera, Spark, Kafka, ELK, NoSQL)Une première expérience sur l’un des cloud provider (AWS, Azure, GCP)Une bonne maitrise de langages de programmation tels que SQL, Python, Java, ScalaUne appétence sur les pratiques Devops (Git, Jenkins, Ansible, Docker, Terraform, Kubernetes)
Nice to Have : ne pas avoir peur de s’exprimer dans la langue de Shakespeare
Tu rejoindras ainsi notre équipe de talentueux data engineer qui implémente des cas d’usages sur leur datalake Cloudera dans le cadre de projets d’envergure pour nos clients grands comptes.
Si tu t’es reconnu à travers ce descriptif, le job est fait pour toi, et nous avons hâte de t’intégrer dans la team !
Informations supplémentaires
Pourquoi vous avez « déjà » envie de nous rejoindre ?Parce que nous avons tout un dispositif d’accompagnement de nos collaborateurs en termes d’intégration, plan de formation, plan de carrières/évolution et bien-être au travail.Parce que vous pourrez bénéficier de certifications grâce à nos hauts niveaux de partenariats éditeurs.
En effet Business & Decision a développé un programme solide de formations et de certifications auprès d’une quarantaine d’éditeurs de solutions, nous avons entre autres :
La plus haute certification Talend intégrateur et revendeur,Un partenariat Gold MicrosoftUn partenariat Platinium SnowflakeUn Partenariat QlikUn partenariat de référence GCP, AZURE ,AWS…Parce que notre cœur de métier historique a été, est, et restera la DATA au sens large (Nous fêterons cette année nos 30 ans d’expertise)Parce que vous voulez collaborer dans une équipe de #DataGeek en quête de projets innovants et vous frotter à nos experts.Pour notre côté FUN à travers nos activités extra-professionnelles et nous retrouver à de nombreuses reprises tout au long de l’année."
