iter	RMSE
0	13250.73445
1	13156.59
2	13076.47551
3	13001.20658
4	12925.38039
5	12836.61866
6	12755.39869
7	12678.855
8	12603.20939
9	12545.31498
10	12484.54214
11	12430.14907
12	12371.67105
13	12313.82926
14	12244.44644
15	12197.8126
16	12129.56774
17	12087.30601
18	12038.59401
19	11995.56276
20	11939.16715
21	11904.13292
22	11841.68799
23	11791.78015
24	11744.15242
25	11694.94319
26	11655.96592
27	11591.99973
28	11557.26285
29	11509.61372
30	11481.97175
31	11438.11504
32	11406.1747
33	11365.54974
34	11341.21187
35	11313.24636
36	11261.55971
37	11239.16872
38	11219.6381
39	11191.88081
40	11149.82541
41	11111.47549
42	11074.81037
43	11039.96397
44	10994.25885
45	10959.22551
46	10925.18042
47	10885.29461
48	10870.66497
49	10828.20378
50	10817.41315
51	10799.76582
52	10767.07867
53	10735.43038
54	10710.78401
55	10670.03716
56	10642.26463
57	10616.82453
58	10580.46487
59	10562.62438
60	10541.91023
61	10526.73894
62	10499.04191
63	10483.8994
64	10465.53604
65	10441.80229
66	10416.19558
67	10381.45314
68	10364.39748
6969	10220.27135
70	10207.72956
71	10186.895872	10285.0574
73	10255.75951
74	10232.86778
75	10217.58663
76	10209.99402
77	10183.98475
78	10172.2168
79	10144.15729
80	10131.6872
81	181	10006.89102
82	9993.362657
83	9975.087179
84	9964.359575
85	9945.672824
86	9941.779348
87	9918.033
88	9912.370077
89	9900.666165
90	9879.305779
91	9860.810864
92	9854.59327
93	9839.91846
94	9815.700515
95	9792.119879
96	9779.306434
97	9765.269814
98	9748.617155
99	9734.39603
100	9716.762314101	9820.313036
102	9798.905271
103	9781.293521
104	9776.088809
105	9763.86575
106	9741.94095
107	9718.79927
108	9694.367469
109	9677.622096
110	9656.902374
111	9649.380216
112	9635.387969
113	9627.667414
114	9615.580954
115	9596.405615
116	9590.235601
117	9585.59735
118	9564.640911
119	9538.181359
120	9525.228784
121	9510.13477
122	9494.242023
123	9475.681107
124	9455.843978
125	9450.207093
126	9443.434332
127	9435.22616
128	9417.090313
129	9409.311014
130	9395.700809
131	9376.621828
132	9360.854165
133	9351.636501
134	9328.37001
135	9321.948513
136	9302.286315
137	9296.310618
138	9283.116118
139	9269.207226
140	9265.68445
141	9260.056062
142	9248.742836
143	9243.909964
144	9229.23827
145	9217.371748
146	9206.489536
147	9192.142696
148	9180.649052
149	9169.060777
150	9159.46384
151	9140.99937
152	9124.30827
153	9104.153	9108.382259
154	9092.117314
155	9071.617147
156	9066.214761
157	9063.701811
158	9056.682118
159	9052.592443
160	9045.918966
161	9032.848728
162	9024.096246
163	9012.876369
164	9004.063731
165	9001.034101
166	8988.297178
167	8973.331427
168	8966.533231
169	8960.351923
170	8957.273381
171	8949.631555
172	8945.154176
173	8933.986715
174	8917.145372
175	8900.960811
176	8886.784282
177	8876.033478
178	8872.746551
179	8868.165163
180	8849.237602
181	8836.502079
182	8817.553022
183	8812.841975
184	8805.824537
185	8780.232366
186	8767.541226
187	8758.120119
188	8754.911486
189	8746.394398
190	8740.812224
191	8734.632737
192	8714.112879
193	8711.859715
194	8704.744144
195	8694.543979
196	8685.673496
197	8672.145684
198	8669.122274
199	8666.090603
200	8650.114038
201	8648.134111
202	8629.544095
203	8624.083516
204	8608.681928
205	8597.903427
206	8578.272291
207	8575.437986
208	8570.386484
209	8567.354815
210	8564.223084
211	8550.569147
212	8537.868126
213	8518.83914
214	8513.033461
215	8505.286348
216	8502.232282
217	8498.711125
218	8495.924646
219	8486.316175
220	8480.216246
221	8462.928448
222	8457.383786
223	8454.389097
224	8449.707002
225	8439.935402
226	8435.440096
227	8431.436956
228	8413.106259
229	8410.163836
230	8400.729675
231	8397.907846
232	8390.188186
233	8385.43466
234	8371.816231
235	8368.909924
236	8366.284352
237	8359.142472
238	8356.442853
239	8353.584997
240	8343.508598
241	8340.742075
242	8336.502897
243	8334.332217
244	8330.16843
245	8321.054073
246	8318.448392
247	8308.351976
248	8299.656343
249	8296.830718
250	8294.358254
251	8291.896537
252	8272.875912
253	8270.598521
254	8268.003627
255	8254.441372
256	8252.002274
257	8238.297202
258	8234.609494
259	8221.46894
260	8209.545722
261	8197.967488
262	8195.709414
263	8186.813028
264	8184.518066
265	8182.252781
266	8173.110312
267	8170.846508
268	8160.735791
269	8148.917293
270	8146.739849
271	8128.059144
272	8125.224378
273	8123.013439
274	8120.716496
275	8111.79812
276	8096.370433
277	8091.891192
278	8089.711821
279	8087.570395
280	8071.79808
281	8055.804636
282	8053.183958
283	8045.237277
284	8034.563794
285	8018.881234
286	8016.893667
287	8012.38836
288	8010.401539
289	8008.378191
290	7993.102356
291	7990.388985
292	7983.129352
293	7967.282082
294	7965.31981
295	7950.230878
296	7948.24926
297	7932.524896
298	7917.81911
299	7915.881358
300	7904.086575
301	7901.239576
302	7888.041488
303	7881.367599
304	7877.131245
305	7866.922403
306	7854.777114
307	7846.388466
308	7832.211612
309	7830.349463
310	7822.645941
311	7803.316928
312	7789.547954
313	7787.722052
314	7773.706242
315	7759.569397
316	7757.883472
317	7741.218755
318	7727.558696
319	7725.906627
320	7719.625011
321	7699.318194
322	7685.570929
323	7679.733235
324	7661.48502
325	7653.82727
326	7652.071234
327	7643.585904
328	7635.590961
329	7626.925429
330	7617.607855
331	7602.251562
332	7589.371722
333	7574.463433
334	7567.207668
335	7565.323978
336	7552.15274
337	7544.234847
338	7542.448052
339	7535.615443
340	7533.867491
341	7526.603347
342	7514.024489
343	7505.436285
344	7496.819349
345	7489.857832
346	7482.230722
347	7475.829727
348	7469.504397
349	7456.741296
350	7448.464684
351	7440.043574
352	7430.862544
353	7429.093433
354	7421.695899
355	7417.746489
356	7416.143709
357	7403.965825
358	7385.632327
359	7372.455351
360	7360.346383
361	7358.755034
362	7350.151971
363	7343.334401
364	7336.97273
365	7319.302351
366	7317.737438
367	7309.56347
368	7303.481389
369	7292.659855
370	7291.113083
371	7283.017928
372	7271.487957
373	7264.511695
374	7258.88352
375	7251.889278
376	7250.198395
377	7238.75676
378	7233.524779
379	7221.966774
380	7215.925352
381	7210.924667
382	7204.24498
383	7193.292974
384	7182.628904
385	7171.182423
386	7163.565665
387	7152.997102
388	7136.724311
389	7129.332693
390	7122.453449
391	7120.9059
392	7119.351513
393	7107.667523
394	7100.455555
395	7090.305117
396	7085.504747
397	7075.066914
398	7069.281696
399	7062.612135
400	7047.064283
401	7045.535502
402	7038.825857
403	7032.694294
404	7022.821104
405	7017.163705
406407	6881.780579
408	6876.431798
409	6870.97456
410	6860.447551
411	6858.879002
412	6849.851408
413	6844.480114
414	6836.381541
415	6828.463652
416	6824.606005
417	6810.516572
418	6803.214598
419	6791.895902
420	6787.202458
421	6778.979068
422	6770.391659
423	6761.332762
424	6759.776714
425	6758.244255
426	6749.87713
427	6742.398412
428	6737.04574
429	6735.529808
430	6728.571506
431	6727.077687
432	6713.829104
433	6708.153489
434	6701.464971
435	6694.463189
436	6692.977556
437	6684.67569
438	6670.501427
439	6666.195148
440	6658.443697
441	6656.986772
442	6655.550857
443	6652.431906
444	6646.494423
445	6636.728462
446	6632.913686
447	6630.614766
448	6624.190141
449	6622.779135
450	6621.267844
451	6616.137092
452	6609.230471
453	6607.85412
454	6600.402685
455	6597.394128
456	6591.215064
457	6589.333999
458	6578.698435
459	6576.530804
460	6568.457851
461	6567.016189
462	6565.072723
463	6563.589563
464	6561.777159
465	6554.809708
466	6553.510716
467	6547.466831
468	6546.184007
469	6540.054315
470	6538.781835
471	6526.953386
472	6522.161225
473	6516.092216
474	6514.83085
475	6513.584945
476	6510.441549
477	6503.863546
478	6502.53588
479	6498.109251
480	6491.068682
481	6489.772403
482	6487.255648
483	6479484	6505484	6471485	6504485	6465486	6502486	6463487	6500487	6459488	6498488	6449489	6493.658726
490	6492.374002
491	6486.294678
492	6484.330409
493	6469.428922
494	6468.181027
495	6466.401759
496	6464.006856
497	6462.35454
498	6460498	6397499	6457499	6390500	6449500	6385501	6445501	501	6743.563123
502	6742.56395
503	6504	6441.299623
505	6439.7505	67506	6438.718124
507	6437.616621
508	6432.932102
509	6424.6509	67510	6423.4510	6709.908688
511	6708.897767
512	6697.275202
513	6686.089658
514	6677.151047
515	6671.689717
516	6670.841929
517	6669.502976
518	6668.471994
519	6667.472216
520	6666.484
521	6665.112999
522	6664.172512
523	6663.286875524	6662.603784
525	6655.385674
526	6654.557825
527	6653.357193
528	6652.501485
529	6651.656158
530	6648.750493
531	6647.69186
532	6646.574603
533	6634.763341
534	6627.833691
535	6621.156323
536	6612.947506
537	6611.968145
538	6608.270627
539	6596.787948
540	6595.980008
541	6594.995287
542	6579.128398
543	6578.174172
544	6577.080668
545	6575.28239
546	6565.534636
547	6564.675229
548	6563.57692
549	6562.54547
550	6561.491339
551	6560.569889
552	6557.911612
553	6542.54702
554	6541.493253
555	6536.827687
556	6521.852
557	6512.368995
558	6506.305362
559	6505.238155
560	6504.385661
561	6500.178969
562	6496.880815
563	6496.109391
564	6495.230444
565	6488.840524
566	6487.959812
567	6487.135662
568	6484.570122
569	6478.330641
570	6476.438777
571	6475.473349
572	6466.835873
573	6463.563741
574	6461.352038
575	6458.924964
576	6457.868147
577	6443.622469
578	6439.164321
579	6438.425551
580	6433.103957
581	6430.773797
582	6429.973004
583	6428.736021
584	6427.96209
585	6417.925459
586	6417.177699
587	6411.154196
588	6410.272636
589	6406.803433
590	6401.812359
591	6399.545028
592	6398.551536
593	6397.737591
594	6396.906018
595	6396.142123
596	6395.537306
