iter	Passed	Remaining
0	150	150092
1	150	75193
2	153	51151
3	154	38472
4	154	30840
5	155	25789
6	156	22164
7	156	19440
8	164	18116
9	165	16345
10	165	14895
11	166	13685
12	173	13135
13	173	12218
14	178	11700
15	178	10996
16	179	10374
17	181	9926
18	182	9423
19	182	8965
20	183	8559
21	184	8182
22	184	7844
23	191	7777
24	193	7544
25	194	7268
26	194	7013
27	195	6776
28	195	6557
29	196	6352
30	197	6161
31	197	5980
32	198	5810
33	198	5650
34	199	5499
35	199	5350
36	200	5215
37	200	5082
38	201	4961
39	201	4846
40	202	4741
41	203	4637
42	203	4538
43	204	4440
44	205	4350
45	205	4264
46	206	4183
47	206	4103
48	207	4022
49	207	3948
50	208	3872
51	208	3804
52	209	3738
53	209	3674
54	210	3613
55	210	3554
56	211	3498
57	212	3444
58	213	3409
59	214	3358
60	214	3307
61	215	3258
62	216	3214
63	216	3167
64	217	3124
65	217	3080
66	218	3038
67	218	2998
68	219	29569	223	2967
70	223	2929
71	224	2896
7272	224	2854
73	225	2819
74	225	2786
75	226	2758
76	227	2726
77	228	2695
78	228	2664
79	229	2635
80	229	26081	234	2630
82	235	2603
83	236	2576
84	240	2585
85	240	2559
86	241	2529
87	241	2503
88	241	2476
89	242	2451
90	243	2427
91	243	2404
92	244	2381
93	244	2358
94	245	2336
95	245	2314
96	246	2293
97	246	2272
98	247	2255
99	248	2235
100	249	2216
10101	254	2239
102	255	2221
103	257	2216
104	257	2197
105	258	2178
106	258	2160
107	259	2142
108	259	2125
109	260	2110
110	272	2182
111	273	2164
112	273	2147
113	274	2130
114	274	2114
115	276	2105
116	279	2106
117	279	2090
118	281	2080
119	282	2069
120	282	2054
121	283	2042
122	284	2028
123	289	2046
124	290	2031
125	290	2015
126	291	2001
127	291	1988
128	292	1975
129	293	1962
130	293	1948
131	294	1935
132	294	1922
133	295	1910
134	302	1935
135	302	1922
136	303	1909
137	303	1896
138	304	1884
139	304	1872
140	305	1860
141	311	1883
142	312	1872
143	312	1859
144	313	1848
145	314	1836
146	314	1825
147	315	1817
148	316	1806
149	317	1797
150	317	1787
151	318	1777
152	319	176153	323	1776
154	323	1766
155	325	1763
156	326	1753
157	328	1751
158	329	1741
159	329	1732
160	330	1722
161	331	1715
162	332	1706
163	332	1696
164	333	1689
165	334	1682
166	342	1710
167	343	1701
168	344	1692
169	344	1683
170	345	1674
171	346	1667
172	346	1658
173	347	1649
174	348	1640
175	350	1641
176	352	1640
177	353	1631
178	353	1623
179	354	1615
180	355	1607
181	355	1599
182	356	1590
183	356	1582
184	357	1574
185	358	1566
186	359	1561
187	359	1553
188	360	1545
189	360	1538
190	361	1531
191	361	1523
192	362	1515
193	363	1508
194	363	1501
195	364	1496
196	365	1491
197	366	1484
198	367	1479
199	368	1472
200	368	1465
201	369	1458
202	369	1452
203	370	1445
204	371	1438
205	371	1432
206	372	1425
207	372	1418
208	373	1412
209	377	1419
210	380	1422
211	381	1416
212	381	1410
213	382	1403
214	383	1398
215	387	1407
216	388	1401
217	389	1397
218	390	1391
219	390	1385
220	391	1379
221	392	1373
222	392	1367
223	393	1362
224	393	1356
225	394	1350
226	394	1344
227	395	1339
228	396	1334
229	399	1338
230	402	1340
231	405	1341
232	405	1335
233	406	1329
234	406	1324
235	408	1323
236	413	1332
237	414	1327
238	415	1322
239	415	1316
240	416	1311
241	416	1306
242	417	1300
243	418	1295
244	421	1299
245	422	1294
246	423	1289
247	429	1302
248	430	1297
249	430	1291
250	431	1286
251	431	1281
252	432	1276
253	432	1271
254	433	1265
255	435	1265
256	435	1260
257	436	1255
258	437	1251
259	437	1246
260	445	1262
261	446	1257
262	447	1252
263	447	1248
264	453	1256
265	453	1252
266	454	1247
267	455	1243
268	455	1238
269	456	1233
270	456	1228
271	457	1224
272	458	1220
273	458	1215
274	459	1210
275	459	1206
276	460	1201
277	461	1197
278	461	1192
279	462	1188
280	462	1183
281	463	1179
282	463	1175
283	464	1170
284	466	1170
285	470	1174
286	471	1170
287	471	1165
288	472	1161
289	472	1157
290	475	1158
291	475	1153
292	476	1149
293	477	1145
294	477	1141
295	478	1137
296	478	1133
297	481	1133
298	481	1129
299	482	1125
300	482	1121
301	483	1117
302	483	1113
303	491	1124
304	491	1121
305	492	1117
306	493	1113
307	493	1109
308	494	1105
309	495	1101
310	495	1098
311	496	1094
312	497	1090
313	497	1087
314	498	1083
315	498	1079
316	499	1075
317	500	1072
318	500	1068
319	506	1076
320	510	1079
321	511	1076
322	511	1072
323	512	1068
324	512	1065
325	513	1061
326	514	1058
327	514	1054
328	515	1051
329	515	1047
