,Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Description,Salaire
0,https://fr.indeed.com/viewjob?jk=5d6e0b14d06f8a04,0,CDI,SPRINGPROFESSIONAL,37,Centre-Val-de-Loire,"Votre mission
A la recherche de nouvelles affinités professionnelles ? Spring, cabinet de conseil en recrutement et intérim spécialisé recrute pour son client situé sur Tours, un Ingénieur Data confirmé (h/f).

Intégré au pôle DATA et en lien avec les chefs de projets, vous êtes expert en bases données. Pour cela, vous devrez assurer la disponibilité et l'exploitation des bases de données exploitées.


Vos missions :
Analyse du besoin client
Construire les architectures de données
Concevoir et mise en place des systèmes de données sécurisés
Développer des pipelines à grande échelle pour collecter, préparer et transformer les données
Assurer la migration des données
Accompagner et former les différentes équipes
Votre profil
Dôté d'un diplôme d'Ingénieur Informatique (Bac+5), vous avez déjà une première expérience significative (minimum 3 ans) sur un poste similaire.

Vous avez des bonnes connaissances en scripting en Powershell et en python.



Vous maitrisez le SQL et un ou plusieurs langages dans l'écosystème NoSQL.



Vous êtes autonome, investi et appréciez les challenges.

Vous vous reconnaissez dans cette description et les missions proposées ont attisé votre curiosité ? Alors, n’hésitez plus !

Votre interlocutrice : SIGNORET Morgane
Pour faire la différence : www.springfrance.com
A propos de nous
Spring est le cabinet de conseil en recrutement et Intérim spécialisés du Groupe Adecco, présent dans 24 pays. En France, nos équipes sont composées de plus de 250 consultants en recrutement qui disposent d'une double expertise : géographique de par notre présence dans 30 villes en France, et sectorielle via nos 11 spécialisations. Notre connaissance des métiers ainsi que de nos bassins d'emploi nous permettent de vous proposer des solutions qui répondent à vos projets professionnels.",
1,https://fr.indeed.com/viewjob?jk=d3255caf45c89495,DATA ANALYSTE,CDD,Institut National de l'Information Géographique,45,Centre-Val-de-Loire,"L’Institut national de l’information géographique et forestière (IGN) est un établissement public placé
sous la tutelle des ministères chargés de l’écologie et de la forêt. Sa vocation est de produire,
représenter et diffuser des données de référence relatives à la connaissance du territoire national
ainsi qu’aux forêts françaises et leur évolution. Les principales données de l’Institut sont disponibles
en ligne sur le site Géoportail et depuis 2021 en accès libre et gratuit. Les productions de l’IGN sont
tournées vers l’appui aux politiques publiques : environnement, aménagement du territoire, ville
durable, prévention des risques, agriculture, armées.... Dans un nombre croissant de domaines, l’IGN
développe des productions collaboratives avec des collectivités locales et des communautés d’acteurs
publics, privés ou citoyens.
Grâce à son école d’ingénieur, ENSG-Géomatique, et à ses équipes de recherche pluridisciplinaires,
l’institut dispose d’un potentiel d’innovation de haut niveau dans de multiples domaines (géodésie,
forêt, photogrammétrie, intelligence artificielle, analyse spatiale, visualisation 3D, etc.). L’IGN s’appuie
sur près de 1500 agents, actifs dans l’ensemble des régions.
Contexte du poste
Dans le domaine forestier, l’IGN est un l’acteur public de référence dans la connaissance de la forêt
française, à la fois par la production de référentiels forestiers (inventaire forestier national, base de
données Forêt des essences forestières), par des travaux de recherche (laboratoire inventaire
forestier), ou par la valorisation de ces données ainsi que celles de partenaires pour publier différents
indicateurs et études.
La Direction des Opérations et des Territoires (DOT) est chargée d’élaborer et d’entretenir, de façon
mutualisée avec les acteurs publics, des données souveraines de qualité maîtrisée, d’en faire des
dérivations et des représentations appropriées, de stocker, d’archiver et de mettre à disposition les
produits diffusés et les données, photographies et cartes patrimoniales, de mettre en oeuvre des
prestations à façon, d’adapter en continu les processus de production et les compétences métiers en
particulier pour intégrer, qualifier et gérer des données partagées, et de contribuer à promouvoir et à
accompagner l’utilisation des données souveraines et le développement de services.
Au sein de la DOT, le Service de l’Information Statistique Forestière et Environnementale et les
divisions inventaire forestier des cinq directions territoriales de l’IGN sont chargés de réaliser
l’inventaire forestier national : définition des méthodes, collecte d’informations par photo-interprétation
(analyse de 90 000 points par an) et sur le terrain (14 000 placettes par an sont inventoriées par 25
équipes réparties sur le territoire métropolitain), traitement et analyse des données et diffusion
(http://inventaire-forestier.ign.fr)
Missions
Au sein du département résultats d’inventaire, l’Ingénieur d’études est chargé d’analyser, de produire

et de valoriser les données forestières.
 
Produire différentes formes d’information (brutes ou analysées, pour des publications, le site
Internet, les applications, etc.) à partir des bases de données de l’inventaire forestier ;
 Calculer des données et les documenter ;
 Mettre à la disposition des utilisateurs des séries de données homogènes et qualifiées.
L’ingénieur d’études travaille en lien étroit avec les autres personnes du département et du service. Il

est également en lien avec les entités chargées des développements informatiques, les chargés

d’études qui s’appuient sur les données d’inventaire, les acteurs en charge de la communication et de

différents acteurs externes.
Profil recherché
Profil débutant accepté si curieux et motivé et disposant déjà d’une formation initiale à l’analyse de

données.

Des formations complémentaires seront proposées selon le profil du candidat.


Compétences techniques
 Connaître les bases de données relationnelles (PostgreSQL/PostGIS, ….) et le langage

SQL ;
 Maîtriser le logiciel R ;
 Avoir des notions en statistiques ;
 Savoir expertiser et assurer la qualité scientifique des résultats ;
 Avoir des connaissances dans le domaine forestier serait un plus.

Compétences organisationnelles
 Savoir faire preuve de rigueur dans son travail ;
 Avoir le sens de la responsabilité, de l'autonomie, de l'initiative.

Compétences relationnelles
 Savoir interagir avec différentes personnes ;
 Savoir rendre compte.



Conditions
Type de contrat : fonctionnaire titulaire de catégorie A ou contractuel CDD 3 ans
Prise de poste : Dès que possible – en fonction de la disponibilité du candidat retenu
Lieu de travail : IGN - Château des Barres à Nogent-sur-Vernisson (45290). Déplacements ponctuels
à prévoir en France.
Vous bénéficierez de 5 semaines de congés payés, 19 RTT (pour un temps plein hebdomadaire de

38h30), l’accès à une restauration collective et la possibilité de participer à des activités sportives !
Contacts
Merci d’adresser votre candidature (lettre de motivation + CV + pour les fonctionnaires dernier arrêté
de changement d’échelon + 2 dernières fiches d’évaluation) à :
recrutement-mobilite@ign.fr
en précisant impérativement la référence : MBA/SISFE/INGETANALY
Renseignements
Renseignements administratifs : BARBET Mélanie recrutement-mobilite@ign.fr",
2,https://fr.indeed.com/viewjob?jk=57399fca19dea62c,DATA ANALYSTE,CDD,Institut National de l'Information Géographique,45,Centre-Val-de-Loire,"L’Institut national de l’information géographique et forestière (IGN) est un établissement public placé
sous la tutelle des ministères chargés de l’écologie et de la forêt. Sa vocation est de produire,
représenter et diffuser des données de référence relatives à la connaissance du territoire national
ainsi qu’aux forêts françaises et leur évolution. Les principales données de l’Institut sont disponibles
en ligne sur le site Géoportail et depuis 2021 en accès libre et gratuit. Les productions de l’IGN sont
tournées vers l’appui aux politiques publiques : environnement, aménagement du territoire, ville
durable, prévention des risques, agriculture, armées.... Dans un nombre croissant de domaines, l’IGN
développe des productions collaboratives avec des collectivités locales et des communautés d’acteurs
publics, privés ou citoyens.
Grâce à son école d’ingénieur, ENSG-Géomatique, et à ses équipes de recherche pluridisciplinaires,
l’institut dispose d’un potentiel d’innovation de haut niveau dans de multiples domaines (géodésie,
forêt, photogrammétrie, intelligence artificielle, analyse spatiale, visualisation 3D, etc.). L’IGN s’appuie
sur près de 1500 agents, actifs dans l’ensemble des régions.
Contexte du poste
Dans le domaine forestier, l’IGN est un l’acteur public de référence dans la connaissance de la forêt
française, à la fois par la production de référentiels forestiers (inventaire forestier national, base de
données Forêt des essences forestières), par des travaux de recherche (laboratoire inventaire
forestier), ou par la valorisation de ces données ainsi que celles de partenaires pour publier différents
indicateurs et études.
La Direction des Opérations et des Territoires (DOT) est chargée d’élaborer et d’entretenir, de façon
mutualisée avec les acteurs publics, des données souveraines de qualité maîtrisée, d’en faire des
dérivations et des représentations appropriées, de stocker, d’archiver et de mettre à disposition les
produits diffusés et les données, photographies et cartes patrimoniales, de mettre en oeuvre des
prestations à façon, d’adapter en continu les processus de production et les compétences métiers en
particulier pour intégrer, qualifier et gérer des données partagées, et de contribuer à promouvoir et à
accompagner l’utilisation des données souveraines et le développement de services.
Au sein de la DOT, le Service de l’Information Statistique Forestière et Environnementale et les
divisions inventaire forestier des cinq directions territoriales de l’IGN sont chargés de réaliser
l’inventaire forestier national : définition des méthodes, collecte d’informations par photo-interprétation
(analyse de 90 000 points par an) et sur le terrain (14 000 placettes par an sont inventoriées par 25
équipes réparties sur le territoire métropolitain), traitement et analyse des données et diffusion
(http://inventaire-forestier.ign.fr)
Missions
Au sein du département résultats d’inventaire, l’Ingénieur d’études est chargé d’analyser, de produire

et de valoriser les données forestières.
 
Produire différentes formes d’information (brutes ou analysées, pour des publications, le site
Internet, les applications, etc.) à partir des bases de données de l’inventaire forestier ;
 Calculer des données et les documenter ;
 Mettre à la disposition des utilisateurs des séries de données homogènes et qualifiées.
L’ingénieur d’études travaille en lien étroit avec les autres personnes du département et du service. Il

est également en lien avec les entités chargées des développements informatiques, les chargés

d’études qui s’appuient sur les données d’inventaire, les acteurs en charge de la communication et de

différents acteurs externes.
Profil recherché
Profil débutant accepté si curieux et motivé et disposant déjà d’une formation initiale à l’analyse de

données.

Des formations complémentaires seront proposées selon le profil du candidat.


Compétences techniques
 Connaître les bases de données relationnelles (PostgreSQL/PostGIS, ….) et le langage

SQL ;
 Maîtriser le logiciel R ;
 Avoir des notions en statistiques ;
 Savoir expertiser et assurer la qualité scientifique des résultats ;
 Avoir des connaissances dans le domaine forestier serait un plus.

Compétences organisationnelles
 Savoir faire preuve de rigueur dans son travail ;
 Avoir le sens de la responsabilité, de l'autonomie, de l'initiative.

Compétences relationnelles
 Savoir interagir avec différentes personnes ;
 Savoir rendre compte.



Conditions
Type de contrat : fonctionnaire titulaire de catégorie A ou contractuel CDD 3 ans
Prise de poste : Dès que possible – en fonction de la disponibilité du candidat retenu
Lieu de travail : IGN - Château des Barres à Nogent-sur-Vernisson (45290). Déplacements ponctuels
à prévoir en France.
Vous bénéficierez de 5 semaines de congés payés, 19 RTT (pour un temps plein hebdomadaire de

38h30), l’accès à une restauration collective et la possibilité de participer à des activités sportives !
Contacts
Merci d’adresser votre candidature (lettre de motivation + CV + pour les fonctionnaires dernier arrêté
de changement d’échelon + 2 dernières fiches d’évaluation) à :
recrutement-mobilite@ign.fr
en précisant impérativement la référence : MBA/SISFE/INGETANALY
Renseignements
Renseignements administratifs : BARBET Mélanie recrutement-mobilite@ign.fr",
3,https://fr.indeed.com/viewjob?jk=fdf5922e9f57a3f9,DATA INGENIEUR,CDI,NEO SOFT,37,Centre-Val-de-Loire,"Votre mission
Afin d'accompagner l'un de nos clients Grands Comptes du domaine Assurance-Protection Sociale, nous recrutons un Data Engineer.
Vos missions sont les suivantes :
implémenter les nouveaux cas d'utilisation
réaliser l'évolution des implémentation fonctionnelles existantes
réaliser les recettes techniques et ordonnancements nécessaires à l'exécutions des cas d'utilisation en production
étudier et qualifier les demandes lors des rituels fonctionnels en lien avec les Product Owners
réaliser les correctifs et évolutions du framework
participer au maintien de la documentation technique
Votre profil
De formation supérieure en informatique (Bac +3 à Bac +5), vous justifiez d'une expérience en développement dans un contexte Big Data de 5 ans minimum.
Vos compétences en Java/SQL ne sont plus à démontrer, tout comme votre maîtrise des outils de versioning et d'automatisation.
Des connaissances sur Kubernetes, Spark, Openshift, Hive, Spring batch, TDD, JUnit et en CI/CD et Agile seront appréciées.",
4,https://fr.indeed.com/viewjob?jk=c384bb76e7cc8271,DATA MANAGER,CDD,RECKITT CHARTRES,28,Centre-Val-de-Loire,"REJOIGNEZ LES EQUIPES RECKITT BENCKISER CHARTRESLe site de production Reckitt Benckiser Chartres, filiale d’un groupe international (10.5 milliards € de CA), leader mondial sur le marché des produits d’entretien (HARPIC, AIRWICK, ST-MARC, CALGON, …) et avec une forte position dans le domaine des soins de la personne (VEET, CLEARASIL, E45, INTIMA…) recrute pour son site de production de Chartres (28 – Eure et Loir) :ACTIVITY MANAGER (H/F) Un poste à pourvoir en CDD (1 an)Au sein du département Supply Technical et en lien étroit avec les départements marketing/commercial, R&D, planning usine - commercial et qualité, l’Activity Manager est chargé d’assurer le lancement de tous les nouveaux produits conformément aux spécifications demandées , dans les délais impartis et en tenant compte des contraintes de l’usine.L’Activity Manager est le point de contact entre les marchés et l’usine.Vos ResponsabilitésSupporter l’introduction de nouveaux produits, l’extension de produits existants dans de nouveaux marchés mais aussi les projets de changements sur les produits déjà existants sur le marché, en s’assurant que les processus qualité et réglementaires soient suivisAssurer un lien efficace entre les équipes R&D, Réglementaires, Marketing et l’usine (planning, production, qualité…) pour s’assurer que les projets stratégiques du groupe et de l’usine soient livrés selon les plansAssurer le suivi et la traçabilité de tous les projets et changements en utilisant les outils internes de Gestion du Changement (Change Control)Etablir avec les marchés et acteurs clefs au sein de l’usine, les timings d’implémentation et s’assurer de leur suivi et d’une bonne communication entre les différents acteursEtablir les nomenclatures produits et assurer la maintenance des différents outils de suivis (trackers internes) et bases de données (catalogue produits)Fournir aux marchés les informations techniques nécessaires pour le développement des composants imprimés.Vos Principaux Challenges : Manager de multiples projets en parallèle, avec des niveaux de complexité différentsComprendre les besoins et contraintes des marchés et des catégories de produits, les appliquer et les faire appliquer dans les projetsSupporter et guider les équipes marketing locales dans le processus d’implémentation ou de gestion des changements et anticiper les éventuels challengesEtablir les timings en prenant en compte les processus et les contraintes des différentes parties et s’assurer de leur suivi, communiquer et alerter en cas de retard ou de risquesVotre Profil : Vous possédez un Bac +5 ou équivalent ;Vous justifiez d’une première expérience en industrie : planning, data management ou qualité ;Des compétences en gestion de projet sont un plus ;Vous aimez relever des défis en équipe, faites preuve de pragmatisme pour surmonter les obstaclesVous êtes reconnu pour votre rigueur, votre autonomie, vos qualités organisationnelles et relationnelles ainsi que votre communication ;Vous parlez anglais couramment (score de 800 minimum au TOEIC) et maitrisez l’outil informatiqueType d'emploi : Temps plein, CDDStatut : CadreDurée du contrat : 12 moisSalaire : 34 000,00€ à 38 000,00€ par anAvantages :Épargne salarialeHoraires flexiblesRéfectoireRTTHoraires :Travail en journéeRémunération supplémentaire :13ème MoisLangue:Anglais (Optionnel)",36000.0
5,https://fr.indeed.com/viewjob?jk=dc481509bbff9dd1,DATA MANAGER,CDD,Walters People,28,Centre-Val-de-Loire,"Nous recrutons un(e) Data Manager H/F pour un CDD d'un an. Le poste est basé à Chartres. Vous travaillerez pour un grand groupe spécialisé en industrialisation. Le poste est à pourvoir dès que possible avec une rémunération comprises entre 32 000€ et 37 000€ brut.
Walters People est un cabinet de recrutement offrant des opportunités en intérim, CDD et CDI en Île de France, Rhône Alpes et dans la région Grand Ouest.

Notre équipe est spécialisée sur les métiers du Digital/Marketing/Communication avec un objectif : créer la meilleure association entre les besoins de nos partenaires et les ambitions professionnelles de nos candidats.

Au sein du département Supply Technical et en lien étroit avec les départements marketing/commercial, R&D, planning usine - commercial et qualité, le Data Manager H/F est chargé d’assurer le lancement de tous les nouveaux produits conformément aux spécifications demandées , dans les délais impartis et en tenant compte des contraintes de l’usine.

Vos principales missions :

Gestion de données
Création de codes
Travail sur les bases de données
Remplir les fichiers de suivi
Vous êtes en relaton avec les activity manager

De formation minimum Bac+4, type licence spécialisée en data management, vous avez une expérience de 3 ans minimum dans sur un poste similaire.

Vous êtes reconnu pour votre rigueur, votre autonomie, vos qualités organisationnelles et relationnelles ainsi que votre communication

Vous parlez anglais couramment.

Avez-vous déjà pensé à devenir consultant en recrutement ?

Deux fois Great Place to Work, Walters People a reçu 5 étoiles dans le classement des Meilleurs Cabinets de Recrutement du journal Les Echos (catégories: Travail Temporaire et Managers et Spécialistes).

Nous avons de nombreuses opportunités à pourvoir dans nos équipes, n’hésitez plus, rejoignez-nous https://www.walterspeople.fr/nous-rejoindre.html

Nous recrutons un(e) Data Manager H/F pour un CDD d'un an.
Le poste est basé à Chartres. Vous travaillerez pour un grand groupe spécialisé en industrialisation.
Le poste est à pourvoir dès que possible avec une rémunération comprises entre 32 000€ et 37 000€ brut.",34500.0
6,https://fr.indeed.com/viewjob?jk=a30e3e863f9b3a13,TECHNICIEN,CDI,Romorantin,41,Centre-Val-de-Loire,"L'agence Adworks de Romorantin recherche pour son client 1 Assistant contrôle de gestion H/F, chargé de données techniques. Vous jouez un rôle central dans la gestion des données disponibles dans l'ERP. Vous interagissez avec toutes les fonctions opérationnelles du site (coordination de projet, supply, production, qualité, ...). Vous aurez pour missions : - Chargé de la création / de la modification des données de base dans l'ERP (articles, gammes, ...), conformément aux dernières règles de gestion connues, et documente les évolutions de procédure. - Effectuer des contrôles de cohérence et de complétion de ces données de base et alerte en cas d'anomalie. - Centraliser dans l'ERP les données relatives aux intérims : consolidation des coûts, passage et réception de commandes dans l'ERP ; et diffuse le tableau d'indicateurs associé. - Collaborer également à différentes études ponctuelles et à la diffusion de tableaux de bord, en fonction des besoins des opérationnels. - Adhère et veille à l'application de la politique d'entreprise définie par la Direction. - Veille à l'application des règles d'Assurance qualité. Poste à pourvoir en CDI Salaire à négocier selon profil.
Votre profil
Vous avez une formation de type BAC +2 minimum en contrôle de gestion. Vous avez le goût des systèmes d'information et des outils informatiques type Excel. Vous avez un bon sens de la communication en recommandations et conseils Organisé (e), rigoureux (se), curieux (se) et diplomate",
7,https://fr.indeed.com/viewjob?jk=34f5f637a1c4f830,DATA ANALYSTE,CDI,Relyens,18,Centre-Val-de-Loire,"Partenaire global de référence auprès des acteurs de la santé et des territoires, Relyens est un groupe mutualiste européen en assurance et management des risques, qui rassemble plus de 1000 collaborateurs sur 9 sites dans 4 pays (Barcelone, Bourges, Dortmund, Lyon, Madrid, Milan, Orléans, Turin, Rome) :
Sofaxis accompagne au quotidien les acteurs territoriaux dans la protection sociale de leurs agents, la gestion de leurs ressources humaines et le pilotage de leurs risques d'activités.
Sham apporte des solutions d'assurance et des services adaptés aux besoins du monde de la santé, du social et du médico-social.
Découvrez-en plus sur notre activité et nos équipes sur www.relyens.eu.
Relyens recrute pour la Business Unit Acteurs Territoriaux, un DATA ANALYST RH H/F dans le cadre d'un CDI, basé à Vasselay.
Au cœur de notre Centre de compétences Risque RH et en lien fonctionnel avec notre Data Factory, le Data Analyst RH H/F est le référent Groupe concernant l’ensemble des données métiers du Risque RH. A ce titre, vos enjeux sont les suivants :Vous approprier la data métier RH produite en interne pour la valoriser auprès de nos collaborateurs et de nos clients et partenairesPorter et déployer les projets data Risque RH au sein du Centre de compétences.

Vos missions :Définir et piloter le périmètre de la « data métier RH », en cohérence et en lien avec le positionnement de manager du risque RHDisposer d’une vision exhaustive et à jour des SI, outils et projets associés à l’exploitation de la data métier RHContribuer à l’enrichissement de la Data Modern Platform sur le risque RH (data interne, partenaires, open data, …)Animer et sécuriser les contributions des référents métiersContribuer au développement de la culture Data au sein du GroupeContribuer à l’expérimentation et la mise en œuvre des initiatives Data afin d’apporter des solutions Data à des problématiques Métiers
Notre Data Factory étant située à Lyon, des déplacements réguliers sont à prévoir.
Votre profil :
Issu d’une formation supérieure type Bac+5, Ecole d’Ingénieur, Master Informatique, Data, Statistiques, Mathématiques Appliquées, vous justifiez d’au moins 5 ans d’expérience sur un poste similaire de Data Analyst H/F.

Compétences techniques :
Maîtrise des outils et méthodes statistiquesBonne connaissance des solutions et des langages de bases de données type SQLBonne connaissance des outils de datavisualisation : QlikSense, tableau, Power BID'autres connaissances en termes de langage de programmation seraient un plus (Python, R...)
Vous faites preuve de rigueur, de curiosité, d’autonomie, d’organisation et êtes force de proposition. Vous êtes animé par le sens du service.
Une connaissance fonctionnelle RH de la Fonction Publique (cadre statutaire, protection sociale) sera fortement appréciée.
Vous avez envie de participer au développement d'un modèle d'entreprise différent et vous vous reconnaissez dans nos valeurs : le partage, le responsabilité, l'optimisme, l'équité ?
Ensemble impliquons-nous pour ceux qui s'engagent !",
8,https://fr.indeed.com/viewjob?jk=dcee9ca24d0ea05e,GESTIONNAIRE DONNEES,CDI,St Michel,41,Centre-Val-de-Loire,"Acteur incontournable du secteur de la biscuiterie et de la pâtisserie à la française, St Michel est une entreprise familiale indépendante en pleine croissance :

8 usines en France avec l’ouverture de nouvelles lignes de production
Des produits distribués à l’international dans + de 100 pays
150 métiers pour tout type de qualification
Des marques avec une forte notoriété (St Michel, Bonne Maman et une gamme professionnelle)

Notre marque de fabrique ? Nous inventons et fabriquons des produits gourmands avec une attention particulière portée à la qualité des ingrédients, leurs origines ainsi que la prise en compte des producteurs, du bien-être animal et de l’environnement.

Notre démarche RSE « le Goût de la transmission » est au cœur de toutes nos actions.

Chez St Michel, nous sommes animés par une seule chose : rendre populaire nos biscuits et pâtisseries en France et à l’international tout en accompagnant de nouveaux talents.
Rattaché au Responsable comptable, le gestionnaire base de données fournisseurs est le garant de la qualité des données fournisseurs (données comptables ou achats).

Vous participez aux différentes missions suivantes :
Création ou modification des comptes fournisseurs pour l’ensemble des sociétés St Michel.
Vérification des coordonnées bancaires des fournisseurs (contre-appels).
Contrôles de cohérences sur les données de la base fournisseurs.

Vous travaillerez en étroite collaboration avec les autres services utilisant les données fournisseurs (comptabilité, achats, maintenance…)

Poste en CDI à temps partiel (2 jours par semaine non consécutifs ; 14h hebdomadaires) à pourvoir dès que possible.

Ce poste est basé à Contres (41).
Vous disposez d’une formation de type secrétariat.

Vous êtes organisé et rigoureux, vous avez une très forte appétence pour les outils informatiques et la gestion de données.

Pour répondre à votre mission, vous avez besoin de comprendre les interactions des données de base avec les process achats et comptabilité.

L’autonomie et le sens des priorités sont des qualités qui vous permettront de réussir dans ce poste.

Vous avez une bonne maitrise des logiciels informatiques tels Excel.",
9,https://fr.indeed.com/viewjob?jk=6395906f259aa1ee,DATA ANALYSTE,CDI,Avanci,37,Centre-Val-de-Loire,"L'entreprise
Avec une recette unique dans le digital, MV Group réunit 8 filiales et apporte une solution globale de 42 expertises pour le développement du business de ses clients. Avanci, filiale du groupe, est une agence de data spécialisée en stratégie de fidélisation clients. Nous accompagnons nos clients dans la connaissance, la fidélisation et l’engagement durable de leurs clients pour développer leur business et la richesse de l’entreprise.

Dès votre arrivée, nous vous donnerons les clés d’une intégration réussie : parcours d’intégration personnalisé, team building, management centré sur l’humain et les talents et bien d’autres actions pour s’intégrer à 100% dans une vraie équipe.

MV Group recrute pour sa filiale Avanci !

Description du poste
Partagez votre talent de Data Analyst Marketing !

Rattaché.e au Pôle Data Intelligence, vous serez en charge des études clients, de la recommandation en binôme avec le pôle conseil et de la restitution de vos travaux à un portefeuille clients qui vous aura été attribué :
Réaliser les études de connaissance clients : profil client, segmentation, performances de l’activité clients, mesure de la fidélisation (valeur clients, attrition…), analyse des comportements omnicanal (retail, e-commerce…) etc.
Scoring prédictif, analyse des parcours et trajectoire produits ;
Analyses des campagnes et performances des actions ;
Modélisation prévisionnelle d’activité ;
Restitution et présentation des résultats de vos études aux clients, dans le respect des engagements de délai et de qualité ;
Élaboration en binôme avec les Directions Conseils des recommandations stratégiques et opérationnelles selon les enseignements issues des études et les leviers identifiés ;
Gestion de la relation client avec la Direction Conseil.

En parallèle, vous serez amené.e à intervenir sur des projets et des secteurs diversifiés (e-commerce, Retail, VAD…), et vous pourrez vous déplacer en clientèle pour les présentations & restitutions.
Profil recherché
Et vous ?

De formation BAC+4 / BAC+5 orienté Statistiques et/ou Informatique Décisionnelle complétée par une connaissance des problématiques marketing, vous disposez de minimum 3 à 5 ans d’expérience sur un poste similaire ;
La maîtrise de Dataiku est attendue ;
De bonnes connaissances en SQL, R ou Python seraient fortement appréciées ;
Des connaissances en solutions de Dataviz type Power BI ou Tableau Software seraient un également un plus ;
Une expérience dans le secteur retail et/ou e-commerce et la connaissance des enjeux du digital sont attendues ;

Savoir-être:
Vous êtes reconnu(e) pour vos capacités d'analyse et d’argumentation, votre rigueur et votre esprit de synthèse ;
A l'aise à l'oral et doté(e) d'un bon relationnel, vous aimez présenter vos analyses et recommandations aux clients lors de réunions de restitution ;
Vous savez délivrer des études dans des délais courts et faire preuve de souplesse et d'adaptation en fonction des imprévus et priorités ;
Vous êtes orienté(e) clients / résultats et vous savez travailler en équipe;
Vous souhaitez évoluer ? L'agence & le groupe vous offriront de réelles opportunités professionnelles.

Cette offre vous parle ? Alors n’attendez plus ! MV Group recrute des talents qui partagent leur recette d’une vie professionnelle épanouie. Chez nous, on vit intensément et autrement l’aventure du digital dans un environnement multi-expertises unique.

Vous êtes à la recherche de nouvelles ambitions ? Découvrez nos astuces et conseils pour maximiser vos chances de nous rencontrer !

Poste à pourvoir à Tours, Nantes ou Rennes.",
