Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Description,Salaire
https://fr.indeed.com/viewjob?jk=61d2f585d8d41023,TECHNICIEN,CDI,Framatome,71,Bourgogne-Franche-Comté,"Description de la missionInitialiser les données statiques sous SAP/PLM et être garant de la qualité et de l’exhaustivité des donnéesMissions principales : · Initialisation des données statiquesCréation et modification des articles à partir des articles de référenceCréation et modification des TDS (Technical Data Sheet) – dossiers de définition et MDS (Manufacturing Data Sheet) – dossier de fabricationCréation et modification des nomenclaturesAffectation de la nomenclature à une divisionEnrichissement des articlesEnrichissement des TDS/MDS (affectation des documents)Validation et modification des statuts des TDD (Technical Data Document) - documents de définition (plans, spécifications)Gérer dans Documentum le référentiel documentaire en excluant la gestion des documents projet (spécification d’équipement, plan d’équipement, courriers client)Etre garant des données statiques et en assurer la cohérence afin de rendre le système intègre· Pilotage des Demandes de ModificationsRéceptionner les demandes de modificationPiloter l’instruction des demandes de modificationPrésenter les modifications à la Commission ModificationSuivre la réalisation des plans d’actionsVérifier la mise en œuvre des modificationsClôturer les demandes de modificationProfil : Niveau académique : Bac + 5 et/ou forte expérience de management technique. Débutants aussi acceptés.Expérience dans le domaine d’activité de gestion de production industrielle de 3 ans minimumExpérience dans l’industrie d’au moins 3/5 ans sur des postes de gestion de données techniques dans un ERP sont souhaitables.Des connaissances sur les composants nucléaires de la boucle primaire et des codes/normes RCCM sont un plus.SAVOIR· Connaitre l’environnement d’ingénierie industrielle et la gestion de production· Connaître les composants fabriqués sous la responsabilité de l’usine· Connaitre l’organisation et les processus de l’usine· Connaissances de base dans son domaine de compétences techniques.· Etre capable de lire des notes et de mener une discussion technique en anglaisSAVOIR-FAIRE· Une expérience et compétence dans le domaine de la gestion ERP,· Une expérience dans l'intégration de système serait un plus,· Capacité à consulter, extraire et analyser des données de différents systèmes d’information (SAP, Documentum)· Connaissance de nos produits· Orienté processus, satisfaction client, optimisation des délaisSAVOIR-ETRESensibilité à la culture sûreté et sécuritéRigueur et organisation de travailEsprit d’analyse et de synthèse, capacité à prendre des décisionsSavoir adapter son mode de management aux situations rencontrées au sein du ServiceBon relationnelCapacité rédactionnellePrise de parole en publicBon niveau d’autonomie, de flexibilité, d’écoute et de réceptivitéBon esprit d’équipe et de capacité à travailler en équipe, à fédérer, à développer des réseauForce de proposition pour la mise en œuvre de solutions innovantesType d'emploi : Temps plein, CDIStatut : CadreSalaire : à partir de 35 500,00€ par anHoraires :Travail en journéeDate de début prévue : 28/04/2022",35500.0
https://fr.indeed.com/viewjob?jk=52bf1f30d1244a90,TECHNICIEN,CDD,Framatome,71,Bourgogne-Franche-Comté,"L'usine de Saint-Marcel recrute un(e) Coordinateur Gestion des Données Techniques (F/H)  dans le cadre d'un CDD de 12 mois.Description des missions : Initialisation des données statiquesCréation et modification des articles à partir des articles de référenceCréation et modification des TDS (Technical Data Sheet) – dossiers de définition et MDS (Manufacturing Data Sheet) – dossier de fabricationCréation et modification des nomenclaturesAffectation de la nomenclature à une divisionEnrichissement des articlesEnrichissement des TDS/MDS (affectation des documents)Validation et modification des statuts des TDD (Technical Data Document) - documents de définition (plans, spécifications)Gérer dans Documentum le référentiel documentaire en excluant la gestion des documents projet (spécification d’équipement, plan d’équipement, courriers client)Etre garant des données statiques et en assurer la cohérence afin de rendre le système intègrePilotage des Demandes de ModificationsRéceptionner les demandes de modificationPiloter l’instruction des demandes de modificationPrésenter les modifications à la Commission ModificationSuivre la réalisation des plans d’actionsVérifier la mise en œuvre des modificationsClôturer les demandes de modificationProfil candidat : Niveau académique : Bac + 5 et/ou forte expérience de management techniqueExpérience dans le domaine d’activité de fabrication nucléaire de 2 ans souhaitéeConnaissance de l’environnement et des processus industrielsType d'emploi : Temps plein, CDDStatut : CadreDurée du contrat : 12 moisSalaire : 35 000,00€ à 40 000,00€ par anHoraires :Horaires aménageablesDate limite de candidature : 31/03/2022",37500.0
https://fr.indeed.com/viewjob?jk=bd736bfe37555089,DATA MANAGER,CDI,Alcyon,1,Auvergne-Rhône-Alpes,"Alcyon, société de distribution de médicaments, aliments, matériels et services vétérinaires, leader en France, recherche un(e) Assistant(e)Administration Base de Données en CDI pour rejoindre son équipe Administration des Achats.Ce poste est à pourvoir au sein de notre établissement situé à Miribel (01/Sortie directe de la Rocade Est).Vos principales missions seront les suivantes :Ø Création et mise à jour des données articles et tarifo Contrôle de l’intégrité des informations reçueso Recueil en interne ou en externe des informations manquantes par téléphone ou par mailo Saisie et mise à jour des donnéesØ Communication des informations de mise à jour et de création vers les services internesØ Participation aux tâches administratives du serviceo Rédaction et envoi des courrierso Mise à jour des tableurs et bases de donnéeso Réalisation de synthèses à partir de données statistiques ou d’autres tableursProfil souhaité :Ø Vous êtes diplômé(e) d’un Bac+2 et avez une expérience réussie dans la mise à jour de base de données ;Ø Vous avez un bon relationnel ;Ø Vous disposez d’un bon esprit d’analyse, de synthèse et faites preuve de rigueur dans votre travail ;Ø Vous êtes à l’aise avec Excel et les outils informatiques de façon générale, la connaissance de l’ERP AS400 serait un plus ;Ø Vous parlez un anglais opérationnel.Pour avoir davantage d'information concernant Alcyon, nous vous invitons à visionner notre vidéo en cliquant sur le lien, ci-après: https://www.youtube.com/watch?v=DZ8Omozvye0Type d'emploi : Temps plein, CDISalaire : 25 000,00€ par anAvantages :RTTTitre-restaurantHoraires :Repos le week-endTravail en journéeRémunération supplémentaire :Primes",25000.0
https://fr.indeed.com/viewjob?jk=1fb726c1ea6cd108,AUTRES,CDI,Randstad Search Lyon Support,1,Auvergne-Rhône-Alpes,"Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils Middle et Top Management. Le cabinet est présent dans les principales métropoles françaises.
Les consultants du Pôle Informatique & Télécommunications mettent à votre service leur expertise métier pour vous accompagner au mieux dans votre évolution professionnelle.

Nous recherchons pour le compte de notre client, un responsable DATA sur Oyonnax pour un très très beau challenge !
En effet, mon client travaille avec des grandes marques de Luxes et il crée une nouvelle usine de plus de 40 millions d'euros dont le responsable DATA sera un élément clé sur cette création.


Créer et gérer les données de bases sur SAP
Concevoir et suivre les indicateurs de traitement des demandes création/modification des

données,

Mettre en place les outils et procédures de contrôle et validation des données, afin d'en

garantir la fiabilité

Auditer périodiquement les master data pour s'assurer de la qualité, la conformité des

données,

Concevoir, optimiser et documenter les procédures de cycle de vie des master data et

sensibiliser les parties prenantes.
Au sein du groupe Aptar, notre futur responsable master data développera un réseau et
représentera le site d'Oyonnax auprès de ses homologues des autres sites européens

Vous devez être titulaire d'un Bac+5 et avoir au moins 3 années d'expérience.
Le profil recherché doit être à la fois analytique, rigoureux et avec une forte capacité d'animation
Bac +3/5 – statut cadre - salaire très intéressant ( + prime d'interessement, participation et % benefice)
Expérience gestion masterdata
Anglais courant",50000.0
https://fr.indeed.com/viewjob?jk=a58f2185cd18158b,DATA SCIENTIST,CDD,Université Gustave Eiffel,Télétravail,Auvergne-Rhône-Alpes,"Ingénieur d’études / data scientist / statisticien / épidémiologiste, H / FCDD 16 mois, début = 1er juin 2022 ; Bron (Lyon) ; salaire ≈ 2100€ brut/mois (grille fonction publique).INSTITUT ET CONTEXTE : Le CDD est à pourvoir au sein de l’Unité Mixte de Recherche Epidémiologique et de Surveillance en Transport Travail Environnement (Umrestte), au sein de l’Université Gustave Eiffel.Un des axes de l’unité de recherche est la traumatologie routière. Les accidents de la route sont à l'origine de nombreux décès (3 500/an) et blessés (env. 300 000 / an dont 20 000 graves) en France. La définition même de blessé grave a fait l'objet de développements récents en France et en Europe.Le travail porte sur l’estimation du nombre de blessés graves de la route au niveau national, et de leurs caractéristiques telles que l’âge, le sexe, le mode de transport (piétons, cyclistes, automobilistes, …), le milieu urbain ou rural... Ce travail s’appuie sur deux bases de données existantes, provenant, l’une, du domaine de la santé, et l’autre, des forces de l'ordre, et de leur chaînage. Les données de santé proviennent d’un registre, basé sur les services hospitaliers, couvrant le département du Rhône, et disposant d’une échelle médicale de gravité. Les données des forces de l’ordre couvrent toute la France mais souffrent d’un fort sous-enregistrement, avec biais de sélection, et biais de classement.Une partie de la méthodologie de correction du sous-enregistrement des données policières et de ses biais a déjà été mise au point. L’objet de ce poste est de poursuivre cette méthodologie de redressement.ACTIVITES ESSENTIELLES : § S’approprier la méthode et les programmes existants (écrits en SAS)§ Actualiser les estimations, en tenant compte de changements dans les données§ Améliorer la méthode, et les programmes SASLe travail sera en interaction avec un autre statisticien junior, et sera encadré par la chercheuse E. Amoros, en collaboration avec la directrice adjointe de l’unité B. Gadegbeku.COMPETENCES REQUISES : Formation souhaitée : master 2 en statistique et/ou épidémiologie. Le candidat devra connaître les régressions multivariée, logistique, multinomiale et savoir les mettre en œuvre avec SAS. Une connaissance de git serait un plus. Débutants acceptés.Autres compétences souhaitées : rigueur, implication, efficacité, sens de l’organisation, bonnes aptitudes de communication, capacité à travailler en équipe, curiosité.CONTACT : Merci d’envoyer CV, lettre de motivation, appréciations de stages / emplois ou coordonnées téléphoniques d’encadrant.es / référent.es, et les relevés de notes des deux dernières années.Merci de postuler au plus tôt ; entretiens en mars et décision fin marsType d'emploi : Temps plein, CDDStatut : CadreDurée du contrat : 16 moisSalaire : 2 100,00€ par moisHoraires :Périodes de travail de 8 heuresMesures COVID-19:Le nombre de jours autorisés sur site et le nombre de jours en télétravail est défini par la direction de l'université.Capacité à faire le trajet ou à déménager:69500 Bron: Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste (Optionnel)Formation:Bac +5 (Master / MBA) (Exigé)Date de début prévue : 01/06/2022",25200.0
https://fr.indeed.com/viewjob?jk=b07c10a7ff5a3460,AUTRES,CDI,WiiSmile,Télétravail,Auvergne-Rhône-Alpes,"Notre entrepriseVous êtes, vous aussi, convaincu.e qu'un salarié engagé participe à la performance de son entreprise. Et si votre quotidien consistait à contribuer au développement d'applicatifs qui permettent de donner le sourire aux salariés de PME en leur apportant des avantages inégalés à ce jour ? Imaginez une solution tout en un qui reprend le meilleur des chèques cadeaux, vacances et de tous les avantages des grands comités d'entreprise.Cette solution existe, elle s'appelle WiiSmile.Avec + de 30% de croissance et déjà 8500 PME qui nous font confiance et plus de 100 000 salariés bénéficiaires, WiiSmile recherche un.e Développeur Data (F/H) pour accompagner les nombreux projets qu'elle ambitionne.Alors ?! Envie de participer à de beaux défis de transformation en contribuant au développement d'applicatifs de qualité pour nos adhérents ?!Vous souhaitez rejoindre une entreprise dynamique et innovante, où le bien-être des salariés est au coeur des préoccupations ... Rejoignez notre folle aventure !Vos missionsPoste en CDI - Temps plein 39h/semaine - basé à Montmélian (15 minutes de Chambéry) - A pourvoir dès que possibleIntégré.e à une équipe Agile, vous participez aussi bien à des projets tournés vers nos clients (création de nouveaux services, amélioration des services existants) qu'à des évolutions de nos applicatifs internes (en particulier, dans le cadre de gros projets de refonte et modernisation de ceux-ci), qui vous donnent l'opportunité de percevoir très directement l'impact concret de votre travail.Dans ce cadre, vous assurez, dans le respect des méthodes et process WiiSmile, les développements informatiques relatifs :à la gestion des données applicatives de notre SI (typiquement via des bases de données relationnelles)aux flux d'échanges de données entre composants de notre SI (processus de type ETL)à la mise à disposition de ces données aux utilisateurs métiers via des outils de visualisation et d'analyse (BI...)Pour ce faire, vous :menez à bien l'analyse et la conception en collaboration avec le leader technique (et participez à ce titre aux choix d'architecture et de solutions techniques) et les product owners (pour la dimension métier de ces développements)réalisez les développements en collaboration avec les autres membres de l'équipe technique (autres développeurs Data, équipe API, équipe infrastructure/sécurité, testeurs)vous assurez de la qualité et de la justesse des donnéesparticipez à l'exploitation (surveillance) des processus produitsVotre profilIssu.e d'une formation en informatique (Bac+ 3 minimum), vous justifiez d'une expérience de 1 an à 3 ans sur des fonctions similaires dans un contexte agile.Vous maitrisez idéalement :un langage de programmation (Java, C#, JavaScript, PHP...)la modélisation et le requêtage des bases de données SQL (SQLServer, Oracle, PostgreSQL...) avec, à minima, un premier niveau de connaissance des bases NoSQL.Vous avez au moins un premier niveau de connaissance des approches ETL et utilisez un outil du marché dans ce domaine. Une connaissance de l'outil Stambia est un plus !Si vous avez des connaissances et/ou une première expérience sur les principes et architectures BI et Datawarehouse avec pratique d'un ou plusieurs outils du marché, cela sera très apprécié.Une expérience pratique sur l'une des principales plateformes de Cloud public (AWS, Azure, GCP) est un plus !Ce métier nécessite d'être flexible, proactif et de savoir s'adapter à un contexte évolutif. Doté.e d'une facilité à communiquer en toute transparence, vous êtes autonome tout en ayant l'esprit d'équipe et de solidarité. Orienté.e qualité, vous faites preuve de rigueur. Une bonne organisation et gestion des priorités sont des atouts majeurs pour ce poste.Package attractifRémunération brute annuelle de 36K€ à 39K selon expérienceMutuelle familiale prise en charge à 100% par l'entrepriseIntéressementTélétravail partiel possibleEt bien entendu, les avantages du service WiiSmile !Type d'emploi : CDI",37500.0
https://fr.indeed.com/viewjob?jk=9f3f0802200d805d,GESTIONNAIRE DONNEES,CDI,SLPA,69,Auvergne-Rhône-Alpes,"Société

Notre Groupe est le challenger innovant du secteur Automobile, spécialisé en pneumatiques. Nous proposons nos services à un large panel de clients professionnels pour distribuer les marques majeures du marché et nos marques sélectives.
Nos valeurs ? L’engagement dans une aventure humaine bienveillante, l’innovation de l’approche commerciale, le sens du service client et l’indépendance financière.
Notre but ? Aider nos clients à fidéliser leurs consommateurs et à en recruter de nouveaux par le pneumatique, dans un marché automobile en pleine mutation électrique.
Nous sommes aujourd'hui à la recherche de nos futurs talents pour une de nos filiales qui assure la distribution de pneumatiques auprès de tous les professionnels de l'automobile, concessionnaires, centres auto et garagistes.
En nous rejoignant, vous intégrerez un groupe riche de 1400 collaborateurs où vous pourrez vous épanouir et nous seconder dans notre développement.
Découvrez nous en image : https://youtu.be/XNeADNHaRkc

Mission

Dans le cadre de cette création de poste et sous la responsabilité du Directeur des Opérations de SLPA nous recherchons un(e) Gestionnaire de données en CDI.
Vous serez amené(e) à gérer les différentes données pour optimiser les ventes digitales et aurez également la responsabilité de suivre la performance des différents services et de nos prestataires pour nous assister dans les prises de décision.
Vous intégrez une société qui investit dans des approches digitales, fournis des outils ludiques et ergonomiques et met à disposition des environnements de détente. La flexibilité du temps de travail ainsi que le travail à distance font parties de notre culture afin que l’entreprise et les équipes puisse s’épanouir à leur rythme.
Afin de réaliser vos missions, vous bénéficierez d'un parcours d'intégration. À nos côtés, vous serez formé(e) et accompagné(e) pour élargir votre spectre de compétences en nous aidant à optimiser notre attractivité.

Profil

Vous êtes reconnu(e) pour votre rigueur et votre sens de l’analyse. La parfaite maîtrise d’Excel est indispensable.
Si vous êtes force de proposition, autonome et capable de créer du lien avec nos collaborateurs, vous êtes peut-être notre futur(e) collaborateur(rice) !
Conditions :
Poste basé à St Laurent de Mure (proche de l’aéroport St Exupéry)
CDI de 35h, effectué du Lundi au Vendredi.
Rémunération sur 13 mois et mutuelle familiale",25000.0
https://fr.indeed.com/viewjob?jk=a54cb55b097fafe6,TECHNICIEN,CDI,Proman,69,Auvergne-Rhône-Alpes,"Proman Expertise, agence spécialisée « hautes compétences » et filiale du Groupe Proman (plus de 400 agences en France, 2800 collaborateurs sur 13 pays, 75 000 intérimaires en mission chaque jour), intervient dans le domaine du recrutement CDI, CDD et intérim, sur l'ensemble des fonctions supports et métiers de l'ingénierie.
Notre agence de Lyon recrute, pour l'un de ses clients, basé à Lyon 9ème, un(e) Gestionnaire de données techniques H/F.
Il s'agit d'un poste à pourvoir rapidement pour une mission d'intérim jusqu'en fin d'année 2022.
Vos missions principales sont les suivantes :
Analyse et croisement de données Excel,
Utilisation de la base sharepoint,
Analyse cartographique,
Rédaction de modes opératoires pour la lecture de fichiers Excel,
Constitution de dossiers précisant la nature d'investigations à mener sur le terrain sur des ouvrages gaz ou précisant les éléments nécessaires à la réalisation de sondages sur des ouvrages gaz.

Temps de travail hebdomadaire : 35 H

Pour plus d'offres d'emploi, téléchargez notre application myPROMAN intérimaires sur App Store ou Google Play.
Issu d'une formation type BAC à BAC+2 type BTS ATI ou QLIO, vous justifiez d'une première expérience réussie sur un poste similaire.
Vous justifiez d'une bonne dextérité informatique.
Maitrise d'EXCEL impérative.
Vous êtes rigoureux(se), curieux(se) et méthodique.
Compétences dans le traitement et l'analyse de base de données nécessaires.
Qualités rédactionnelles, de lecture et d'analyse de cartes informatisées requises.

Salaire : 1982.85 € Brut Mensuel (13ème mois inclus) + Prime ICFS de 11.43€/ mois.
Tous nos postes sont ouverts aux personnes en situation de handicap.",23796.0
https://fr.indeed.com/viewjob?jk=39db84d6d4cfefef,GESTIONNAIRE DONNEES,CDD,tessi,69,Auvergne-Rhône-Alpes,"Tessi documents services

Leader sur le marché du traitement de documents et moyens de paiement, Tessi documents services est un acteur majeur de la dématérialisation des flux, de la gestion multi-canal des échanges et de l’archivage électronique. A travers son offre globale de prestations et de solutions, Tessi documents services optimise la gestion des flux entrants, circulants et sortants des entreprises, grâce à la convergence de ses savoir-faire: « cœur de métier » : Dématérialisation de documents, gestion des flux d’encaissements et de moyens de paiement, traitements back-office et contrôles règlementaires, gestion de centres de contacts…

Tessi documents services s’affiche comme le guichet unique des entreprises souhaitant externaliser la gestion de leurs processus documentaires et métiers : 30 sites de production en France.

Dans le cadre d'un contrat à durée déterminée, nous recherchons des opérateurs polyvalents H/F pour faire de la préparation de documents et/ou de la saisie de données (catégorisation et réindexation).

Vos principales missions seront de :

Préparer les courriers reçus en respectant les process (typologie de documents, client etc.)
Après numérisation des documents, saisie des données de catégorisation, indexation des documents etc.
Extraction de documents

La rémunération est composée d'un salaire de base brut mensuel de 1603.12€ et d'une prime de production mensuelle pouvant aller jusqu'à 150€, du remboursement de votre titre de transport (hebdomadaire ou mensuel) à hauteur de 50%, du 13ème mois à partir d'un an d'ancienneté, de la prime de participation aux bénéfices de l'entreprise et d'une mutuelle d'entreprise.
PROFIL REQUIS
Vous êtes rigoureux(se), logique et méthodique dans votre travail.

Vous êtes à l’aise avec les outils informatiques.

Vous avez une capacité à contrôler et rendre compte de votre travail.

Vous faîtes preuve d’organisation, de rigueur, de ponctualité et de réactivité.

Vous avez le sens de l'écoute et savez être polyvalent.

Vous respectez les consignes et savez vous conformer aux objectifs de la production (cadences).

Débutants acceptés.",19236.0
https://fr.indeed.com/viewjob?jk=006f974e257d4c1d,GESTIONNAIRE DONNEES,Intérim,EPITECH,69,Auvergne-Rhône-Alpes,"EPITECH, expert en recrutement, recherche pour l’un de ses clients, 1 Gestionnaire De Données H/F.En lien avec les services marketing, financier et gestion de la chaîne d'approvisionnement régionale et mondiale, le Gestionnaire de données H/F sera en charge des missions suivantes :Créer et maintenir les données de base des articles dans Microsoft au niveau mondial et les diffuser aux entités juridiques.Gérer et approuver les demandes de données de base des articlesGérer et approuver les étapes du flux de travail des demandes de données de base des matériauxParticiper aux efforts visant à trouver de nouvelles méthodes efficaces de collecte et de gestion des données matérielles.Créer des documents de formationSoutenir les activités de formationVérifier la cohérence des données de base des matériaux et apporter des correctionsSoutenir la communauté des données de base des matériauxProfil recherchéDiplômé en BAC+5 en data et/ou une formation en gestion de la chaîne d'approvisionnement, en administration des affaires, en analyse ou dans une discipline similaire.Le gestionnaire de données H/F à une première expérience en gestion des matériaux requise ainsi qu'une expérience avec Microsoft 365, Power Bi.Bénéficie d'une approche de travail structurée, capacité à traiter et à analyser des données complexes.À l'aise pour travailler dans un environnement agile et évolutif, dynamique, créatif et esprit de résolution de problèmes.Polyvalent, ponctuel et rigoureux.L'anglais est indispensable, les autres langues sont appréciées.Type d'emploi : Temps plein, IntérimDurée du contrat : 12 moisRémunération : 39 000,00€ à 45 000,00€ par anHoraires :Travail en journée",42000.0
