Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Salaire,Description,Unnamed: 0
https://fr.indeed.com/viewjob?jk=82081bd3dfb08a6d,Senior Clinical Data Manager,CDI,AL2S3 LTD,France,Saône-et-Loire,,"We are currently searching for a Senior Data Manager to join the established Biometric team of our niche, mid-sized Oncology focused CRO partner, that are in a very exciting transformational period of growth.
This position offers the opportunity to be part of a ""family orientated"" organisation, where you can accelerate your career progression and development with them as they continue to rapidly expand across Europe and the USA.

Fully remote working flexibility is offered across Europe, along with a very appealing salary package and flexible start dates.
Responsibilities:
Manage the workflow for allocated studies, adheres to agreed study timelines and flag potential problems to the department head
Prepare data management documentation
Communicates clinical data and quality issues to the Data Management Team Lead.
Manage and review the testing of the data entry screens for new databases.
Perform database lock procedures.
Act as point of contact for internal and external customers for all data management tasks

Requirements:
Life Science degree or equivalent
Strong clinical data management experience
Previous CRO experience is essential
Experience in full life-cycle data management, from set-up to database lock
Experienced being the sole author writing specifications from a protocol

Apply
AL Solutions are a niche Life Science recruitment consultancy. We place professionals across the UK/EU/USA for a variety of biotechnology, pharmaceutical and CRO companies ranging from small start-ups to large global organisations.
If you’re interested, please apply below. If this position doesn’t interest you, please visit our website for a list of more vacancies – www.alsolutions.co.uk.
Jack Kavanagh
AL Solutions",
https://fr.indeed.com/viewjob?jk=61d2f585d8d41023,Coordinateur gestion de données techniques F/H," -  Temps plein, CDI",Framatome,71380 Saint-Marcel,Saône-et-Loire,35 500 € par an,"Description de la missionInitialiser les données statiques sous SAP/PLM et être garant de la qualité et de l’exhaustivité des donnéesMissions principales : · Initialisation des données statiquesCréation et modification des articles à partir des articles de référenceCréation et modification des TDS (Technical Data Sheet) – dossiers de définition et MDS (Manufacturing Data Sheet) – dossier de fabricationCréation et modification des nomenclaturesAffectation de la nomenclature à une divisionEnrichissement des articlesEnrichissement des TDS/MDS (affectation des documents)Validation et modification des statuts des TDD (Technical Data Document) - documents de définition (plans, spécifications)Gérer dans Documentum le référentiel documentaire en excluant la gestion des documents projet (spécification d’équipement, plan d’équipement, courriers client)Etre garant des données statiques et en assurer la cohérence afin de rendre le système intègre· Pilotage des Demandes de ModificationsRéceptionner les demandes de modificationPiloter l’instruction des demandes de modificationPrésenter les modifications à la Commission ModificationSuivre la réalisation des plans d’actionsVérifier la mise en œuvre des modificationsClôturer les demandes de modificationProfil : Niveau académique : Bac + 5 et/ou forte expérience de management technique. Débutants aussi acceptés.Expérience dans le domaine d’activité de gestion de production industrielle de 3 ans minimumExpérience dans l’industrie d’au moins 3/5 ans sur des postes de gestion de données techniques dans un ERP sont souhaitables.Des connaissances sur les composants nucléaires de la boucle primaire et des codes/normes RCCM sont un plus.SAVOIR· Connaitre l’environnement d’ingénierie industrielle et la gestion de production· Connaître les composants fabriqués sous la responsabilité de l’usine· Connaitre l’organisation et les processus de l’usine· Connaissances de base dans son domaine de compétences techniques.· Etre capable de lire des notes et de mener une discussion technique en anglaisSAVOIR-FAIRE· Une expérience et compétence dans le domaine de la gestion ERP,· Une expérience dans l'intégration de système serait un plus,· Capacité à consulter, extraire et analyser des données de différents systèmes d’information (SAP, Documentum)· Connaissance de nos produits· Orienté processus, satisfaction client, optimisation des délaisSAVOIR-ETRESensibilité à la culture sûreté et sécuritéRigueur et organisation de travailEsprit d’analyse et de synthèse, capacité à prendre des décisionsSavoir adapter son mode de management aux situations rencontrées au sein du ServiceBon relationnelCapacité rédactionnellePrise de parole en publicBon niveau d’autonomie, de flexibilité, d’écoute et de réceptivitéBon esprit d’équipe et de capacité à travailler en équipe, à fédérer, à développer des réseauForce de proposition pour la mise en œuvre de solutions innovantesType d'emploi : Temps plein, CDIStatut : CadreSalaire : à partir de 35 500,00€ par anHoraires :Travail en journéeDate de début prévue : 28/04/2022",
https://fr.indeed.com/viewjob?jk=52bf1f30d1244a90,Coordinateur Gestion des Données Techniques (F/H)," -  Temps plein, CDD",Framatome,71380 Saint-Marcel,Saône-et-Loire,35 000 € - 40 000 € par an,"L'usine de Saint-Marcel recrute un(e) Coordinateur Gestion des Données Techniques (F/H)  dans le cadre d'un CDD de 12 mois.Description des missions : Initialisation des données statiquesCréation et modification des articles à partir des articles de référenceCréation et modification des TDS (Technical Data Sheet) – dossiers de définition et MDS (Manufacturing Data Sheet) – dossier de fabricationCréation et modification des nomenclaturesAffectation de la nomenclature à une divisionEnrichissement des articlesEnrichissement des TDS/MDS (affectation des documents)Validation et modification des statuts des TDD (Technical Data Document) - documents de définition (plans, spécifications)Gérer dans Documentum le référentiel documentaire en excluant la gestion des documents projet (spécification d’équipement, plan d’équipement, courriers client)Etre garant des données statiques et en assurer la cohérence afin de rendre le système intègrePilotage des Demandes de ModificationsRéceptionner les demandes de modificationPiloter l’instruction des demandes de modificationPrésenter les modifications à la Commission ModificationSuivre la réalisation des plans d’actionsVérifier la mise en œuvre des modificationsClôturer les demandes de modificationProfil candidat : Niveau académique : Bac + 5 et/ou forte expérience de management techniqueExpérience dans le domaine d’activité de fabrication nucléaire de 2 ans souhaitéeConnaissance de l’environnement et des processus industrielsType d'emploi : Temps plein, CDDStatut : CadreDurée du contrat : 12 moisSalaire : 35 000,00€ à 40 000,00€ par anHoraires :Horaires aménageablesDate limite de candidature : 31/03/2022",
https://fr.indeed.com/viewjob?jk=cb593f2b212266f3,Coordinateur gestion de données techniques F/H,CDI,Framatome,Saint-Marcel (71),Saône-et-Loire,,"Initialiser les données statiques sous SAP/PLM et être garant de la qualité et de l’exhaustivité des données
Missions principales :Initialisation des données statiques
o Création et modification des articles à partir des articles de référence
o Création et modification des TDS (Technical Data Sheet) – dossiers de définition et MDS (Manufacturing Data Sheet) – dossier de fabrication
o Création et modification des nomenclatures
o Affectation de la nomenclature à une division
o Enrichissement des articles
o Enrichissement des TDS/MDS (affectation des documents)
o Validation et modification des statuts des TDD (Technical Data Document) - documents de définition (plans, spécifications)
o Gérer dans Documentum le référentiel documentaire en excluant la gestion des documents projet (spécification d’équipement, plan d’équipement, courriers client)
o Etre garant des données statiques et en assurer la cohérence afin de rendre le système intègre
Pilotage des Demandes de Modifications
o Réceptionner les demandes de modification
o Piloter l’instruction des demandes de modification
o Présenter les modifications à la Commission Modification
o Suivre la réalisation des plans d’actions
o Vérifier la mise en œuvre des modifications
o Clôturer les demandes de modification


Profil

SAVOIR
Connaitre l’environnement d’ingénierie industrielle et la gestion de productionConnaître les composants fabriqués sous la responsabilité de l’usineConnaitre l’organisation et les processus de l’usineConnaissances de base dans son domaine de compétences techniques.Etre capable de lire des notes et de mener une discussion technique en anglais

 SAVOIR-FAIRE
Une expérience et compétence dans le domaine de la gestion ERP,Une expérience dans l'intégration de système serait un plus,Capacité à consulter, extraire et analyser des données de différents systèmes d’information (SAP, Documentum)Connaissance de nos produitsOrienté processus, satisfaction client, optimisation des délais
 SAVOIR-ETRE
Sensibilité à la culture sûreté et sécurité
Rigueur et organisation de travail
Esprit d’analyse et de synthèse, capacité à prendre des décisions

Savoir adapter son mode de management aux situations rencontrées au sein du Service
Bon relationnel
Capacité rédactionnelle
Prise de parole en public
Bon niveau d’autonomie, de flexibilité, d’écoute et de réceptivité
Bon esprit d’équipe et de capacité à travailler en équipe, à fédérer, à développer des réseau
Force de proposition pour la mise en œuvre de solutions innovantes
Niveau académique : Bac + 5 et/ou forte expérience de management technique
Expérience dans le domaine d’activité de gestion de production industrielle de 3 ans minimum
Expérience dans l’industrie d’au moins 3/5 ans sur des postes de gestion de données techniques dans un ERP sont souhaitables.
Des connaissances sur les composants nucléaires de la boucle primaire et des codes/normes RCCM sont un plus.

Localisation du poste
Localisation du poste

France, Bourgogne-Franche-Comté, Saône et loire (71)
Site

Saint Marcel
Déplacements

Occasionnels
Critères candidat
Niveau d'études min. requis

Bac+5
Niveau d'expérience min. requis

Expérimenté (5 ans et plus)
Niveau d'emploi

Ingénieur & Cadre
Langues

Anglais (Intermédiaire)
Ce poste est-il ouvert aux candidats en situation de handicap ?

Conformément aux engagements pris par Framatome en faveur de l'accueil et de l'intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l'accord de la médecine du travail
Informations additionnelles
Poste soumis à enquête administrative

Oui
Poste autorisant le dépistage des stupéfiants dans le cadre de la prévention des addictions

Oui
Poste soumis à autorisation au titre du contrôle des exportations

Non",
https://fr.indeed.com/viewjob?jk=dbf4e2b8c6ab788e,Coordinateur gestion des données techniques F/H,CDD,Framatome,Saint-Marcel (71),Saône-et-Loire,,"L'usine de Saint-Marcel recrute un(e) Coordinateur Gestion des Données Techniques (F/H) dans le cadre d'un CDD de 12 mois.
Initialisation des données statiques
Création et modification des articles à partir des articles de référence
Création et modification des TDS (Technical Data Sheet) – dossiers de définition et MDS (Manufacturing Data Sheet) – dossier de fabrication
Création et modification des nomenclatures
Affectation de la nomenclature à une division
Enrichissement des articles
Enrichissement des TDS/MDS (affectation des documents)
Validation et modification des statuts des TDD (Technical Data Document) - documents de définition (plans, spécifications)
Gérer dans Documentum le référentiel documentaire en excluant la gestion des documents projet (spécification d’équipement, plan d’équipement, courriers client)
Etre garant des données statiques et en assurer la cohérence afin de rendre le système intègre
Pilotage des Demandes de Modifications
Réceptionner les demandes de modification
Piloter l’instruction des demandes de modification
Présenter les modifications à la Commission Modification
Suivre la réalisation des plans d’actions
Vérifier la mise en œuvre des modifications
Clôturer les demandes de modification

Profil

Niveau académique : Bac + 5 et/ou forte expérience de management technique
Expérience dans le domaine d’activité de fabrication nucléaire de 2 ans souhaitée
Connaissance de l’environnement et des processus industriels

Localisation du poste
Localisation du poste

France, Bourgogne-Franche-Comté, Saône et loire (71)
Site

Saint Marcel
Déplacements

Non
Durée du contrat en mois

12
Critères candidat
Niveau d'études min. requis

Bac+5
Niveau d'expérience min. requis

1ère expérience (1 à 5 ans)
Niveau d'emploi

Ingénieur & Cadre
Ce poste est-il ouvert aux candidats en situation de handicap ?

Conformément aux engagements pris par Framatome en faveur de l'accueil et de l'intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l'accord de la médecine du travail
Informations additionnelles
Poste soumis à enquête administrative

Oui
Poste autorisant le dépistage des stupéfiants dans le cadre de la prévention des addictions

Oui
Poste soumis à autorisation au titre du contrôle des exportations

Non",
https://fr.indeed.com/viewjob?jk=421dcb07f775c202,ASSISTANT(E) GESTIONNAIRE DE BASES DE DONNEES,CDI,COMPTOIR DES FERS,71100 Chalon-sur-Saône,Saône-et-Loire,,"Votre Mission
Participer à la récolte et à l’organisation de la donnée produit pour la restituer sur les différents supports web et print
LINKEDIN #LI-DNI
Votre Profil
Très bonne maitrise de l'outil informatique en généralBac scientifique + 2 minimumMaitrise de l’anglais nécessaire pour échanger au sein d’un groupe européenQualités relationnellesRigueur et sens de l’organisation

AVANTAGES LIES AU POSTE :

Rattachement au Responsable du Service MarketingTravail en équipeEvolution possible35h du lundi au vendredi

AVANTAGES ENTREPRISE :

Prime de participationPrime intéressementComité Social et EconomiqueMutuelle d'entreprise avec choix d'options possibles1% logement: Action LogementFormation au poste assurée
Comment Postuler
Ce poste vous intéresse ?
Merci de nous faire parvenir votre candidature (CV + lettre de motivation)",
https://fr.indeed.com/viewjob?jk=6c3bbb02912cecef,"Data Manager, Digital Manufacturing Leader H/F",,Alstom,71200 Le Creusot,Saône-et-Loire,,"Nous créons des innovations intelligentes pour relever les défis de la mobilité d’aujourd'hui et de demain. Nous concevons et fabriquons une gamme complète de systèmes de transport, des trains à grande vitesse aux bus électriques et trains sans conducteur, en passant par les solutions d'infrastructure, de signalisation et de mobilité digitale. Nous rejoindre, c’est intégrer une communauté internationale de plus 75000 personnes qui se consacrent à la résolution de problèmes de mobilité concrets et à la réalisation de projets internationaux ayant un impact local durable.

Notre site de Bourgogne (730 salariés), Alstom Le Creusot, situé à 1h20 de Paris et 40 min de Lyon en TGV, est Centre d'excellence en matière de conception et de fabrication de bogies (châssis, roues, essieux, freins) pour les TGV, trams, trains, métros en France et dans le monde.

Dans le cadre d'un remplacement, nous recherchons un(e) Responsable Cellule Data Management et Process H/F

Objectifs du poste :
Assurer la coordination, le support des utilisateurs et la bonne utilisation des outils informatiques en lien avec les processus industriels, participer activement à l’amélioration continue des méthodes de travail pour l’ensemble des équipes de la Supply Chain, Sourcing, Manufacturing, Industralisation et Réparations.

Le responsable de la cellule IPDM (Industrial Process Data Management) propose des solutions pour la suppression des taches à non-valeur ajoutée dans les systèmes d’informations. Il participe également activement à la digitalisation des tâches manuelles et répétables.

Responsabilités spécifiques :
Manager et coordonner l’ensemble des KU SAP et AOS (management direct de 5 collaborateurs)

Assurer la pérénnité de l'utilisation des outils SAP et AOS au sein de l'organisation

Proposer et organiser des formations SAP et AOS

Développer et documenter des méthodes des travail SAP et AOS pour supprimer les tâches à non-valeur ajouté

Gérer les droits d’accès et autorisations des utilisateurs sur SAP et AOS

Coordonner l’amélioration des process

Assurer l’intégrité et la qualité des données gérées sur les applications et celles transmises par les interfaces communiquant avec SAP

Avoir un rôle de conseil auprès des utilisateurs et/ou Responsable de Département sur les outils

Possibilités des applications à sa charge ainsi que les outils informatiques SAP orientés aux méthodes de travail

Piloter les demandes d’évolution des applications et assurer le suivi des demandes jusqu’à la mise en production

Organiser la démarche d’amélioration continue sur les outils informatiques

Piloter les changements d’outils et les tests de validations

Piloter et animer la roadmap d’amélioration Supply Chain

Votre profil :
De formation Bac+5 Ingénieur en génie industriel, supply chain ou généraliste ;

Vous bénéficiez de 5 années minimum d'expérience dans le milieu industriel ou logistique

Vous avez une expérience conséquente en pilotage d'ERP (idéalement SAP)

Vous maitrisez les flux industriels et vous avez une solide connaissance des principes et outil de l'amélioration continue ;

Vous avez de bonnes connaissances des outils de gestion de projet IT ;

Vous avez une très bonne maitrise de l'outil informatique (SAP, Excel) ;

Vous êtes une bonne maîtrise de l'Anglais ;

Vous êtes acteur/actrice du changement, à l'écoute des besoins utilisateurs, doté d'un bon relationnel et de capacité de communication #LI-MD2

Les engagements de notre entreprise se fondent sur une culture agile, inclusive et responsable qui offre à des personnes de tout horizon l'opportunité de se développer, d'apprendre et de progresser tout au long de leur carrière.

Nous encourageons nos salariés à réaliser pleinement leur potentiel, tout en leur accordant l'estime et le respect dus à chaque individu",
https://fr.indeed.com/viewjob?jk=dba7173ba643eefe,"Data Manager, Digital Manufacturing Leader H/F",,ALSTOM,71200 Le Creusot,Saône-et-Loire,,"Nous créons des innovations intelligentes pour relever les défis de la mobilité d’aujourd'hui et de demain. Nous concevons et fabriquons une gamme complète de systèmes de transport, des trains à grande vitesse aux bus électriques et trains sans conducteur, en passant par les solutions d'infrastructure, de signalisation et de mobilité digitale. Nous rejoindre, c’est intégrer une communauté internationale de plus 75000 personnes qui se consacrent à la résolution de problèmes de mobilité concrets et à la réalisation de projets internationaux ayant un impact local durable.

Notre site de Bourgogne (730 salariés), Alstom Le Creusot, situé à 1h20 de Paris et 40 min de Lyon en TGV, est Centre d'excellence en matière de conception et de fabrication de bogies (châssis, roues, essieux, freins) pour les TGV, trams, trains, métros en France et dans le monde.

Dans le cadre d'un remplacement, nous recherchons un(e) Data Manager, Digital Manufacturing Leader H/F

Objectifs du poste :

Assurer la coordination, le support des utilisateurs et la bonne utilisation des outils informatiques en lien avec les processus industriels, participer activement à l’amélioration continue des méthodes de travail pour l’ensemble des équipes de la Supply Chain, Sourcing, Manufacturing, Industralisation et Réparations.
Le responsable de la cellule IPDM (Industrial Process Data Management) propose des solutions pour la suppression des taches à non-valeur ajoutée dans les systèmes d’informations. Il participe également activement à la digitalisation des tâches manuelles et répétables.
Responsabilités spécifiques :
Manager et coordonner l’ensemble des KU SAP et AOS (management direct de 5 collaborateurs)
Assurer la pérénnité de l'utilisation des outils SAP et AOS au sein de l'organisation
Proposer et organiser des formations SAP et AOS
Développer et documenter des méthodes des travail SAP et AOS pour supprimer les tâches à non-valeur ajouté
Gérer les droits d’accès et autorisations des utilisateurs sur SAP et AOS
Coordonner l’amélioration des process
Assurer l’intégrité et la qualité des données gérées sur les applications et celles transmises par les interfaces communiquant avec SAP
Avoir un rôle de conseil auprès des utilisateurs et/ou Responsable de Département sur les outils
Possibilités des applications à sa charge ainsi que les outils informatiques SAP orientés aux méthodes de travail
Piloter les demandes d’évolution des applications et assurer le suivi des demandes jusqu’à la mise en production
Organiser la démarche d’amélioration continue sur les outils informatiques
Piloter les changements d’outils et les tests de validations
Piloter et animer la roadmap d’amélioration Supply Chain

Votre profil :

De formation Bac+5 Ingénieur en génie industriel, supply chain ou généraliste ;
Vous bénéficiez de 5 années minimum d'expérience dans le milieu industriel ou logistique
Vous avez une expérience conséquente en pilotage d'ERP (idéalement SAP)
Vous maitrisez les flux industriels et vous avez une solide connaissance des principes et outil de l'amélioration continue ;
Vous avez de bonnes connaissances des outils de gestion de projet IT ;
Vous avez une très bonne maitrise de l'outil informatique (SAP, Excel) ;
Vous êtes une bonne maîtrise de l'Anglais ;
Vous êtes acteur/actrice du changement, à l'écoute des besoins utilisateurs, doté d'un bon relationnel et de capacité de communication #LI-MD2

Les engagements de notre entreprise se fondent sur une culture agile, inclusive et responsable qui offre à des personnes de tout horizon l'opportunité de se développer, d'apprendre et de progresser tout au long de leur carrière.
Nous encourageons nos salariés à réaliser pleinement leur potentiel, tout en leur accordant l'estime et le respect dus à chaque individu",
https://fr.indeed.com/viewjob?jk=5c36088eff86b6a1,Assistant gestion base de données H/F,Temps plein,Proman,01000 Bourg-en-Bresse,Ain,,"L'agence PROMAN de Bourg en Bresse recherche un assistant produits et ou gestion de base de données H/F.

Diverses taches :
Préparation marketing/enrichissement éditoriaux des produits/participation aux projets internes

Renseigner des caractéristiques techniques/ajouter des images promotionnelles/ajouter des documents techniques

Publier les produits sur les sites e-commerce

Mission intérim longue durée démarrage au plus tot pouvant etre prolongée

Pour plus d'offres d'emploi, téléchargez notre application myPROMAN intérimaires sur App Store ou Google Play.

Expérience 2 ans assistant référentiel produits, gestion de base de données, assisant(e) chef de produit...

bac + 2 souhaité

Une connaissance des outils photoshop, InDesign, Acrobat serait un plus

Maitrise de l'outil informatique pack Office et Exel obligatoires

Autonome, responsable, rigoureux, travail en équipe.

Le poste est à pourvoir au plus vite, sur un temps plein 38 h du lundi au vendredi avec RTT.

Tous nos postes sont ouverts aux personnes en situation de handicap.",
https://fr.indeed.com/viewjob?jk=485ec93543270256,Principal Clinical Data Manager - Late Phase,Temps plein,Labcorp,France,Ain,,"Job Overview:
Principal Clinical Data Manager – Late Phase
Home-Based
Are you an experienced Clinical Data Manager who is now looking to take on more responsibilities, in a Principal Clinical Data Manager opportunity? This is a great opportunity for someone who wants to advance their Data Management exposure, working alongside the leadership team, in a technical and non-managerial, Data Manager role.
Description
You will be permanently employed by Labcorp Drug Development working in our Clinical Development Services (CDS) division working across multiple Sponsors and multiple therapeutic areas in Phases IIb to IV.
Office based or home based anywhere in Europe or South Africa.
You must have previous experience of working in a lead clinical data management role within clinical research.
Candidates must be fluent in English language (both verbal and written).
Join our growing team and discover your extraordinary potential by working as a Principal Clinical Data Manager within our Global Clinical Development department. You will act as the SME for DM activities in relationship meetings with Sponsors, working directly with them and lead the implementation of their requirements.
As Principal Clinical Data Manager, you will work alongside the leadership team to provide guidance, mentoring and training to the DM team. You will lead multiple studies and take responsibility for the development of project documentation, system set up, data entry & validation.
You will be a key member of the DM team, joining bid defenses, capabilities presentations and other client engagements regarding budget, scope or DM processes.
Other duties will include:
Lead a variety of complexed studies, including healthy volunteer and patient populations, multi-site, involving complex protocol design.
Be accountable for all DM deliverables, as assigned per timeline, providing instruction to their DM study team and reviewing completed work.
Ensure all projects are completed according to relevant protocols, SOPs and GCP standards.
Work with Project Managers to build timelines to meet contracted milestones via communication with other Data Managers and during study initiation meetings.
DM project leadership and accountability, lead DM internal meetings, meet frequently with study leads of EDC Design, SAS Programming, Stats & PK to ensure all deliverables are planned and coordinated.
Identify risks/mitigations, effectively communicates to ensure database lock dates are achieved.
Develop and maintain client relationships, drive process improvements and team training.
Support Managers with regards to performance evaluation of other team members, aid their career development.
Support budget development process for DM opportunities.
Education/Qualifications:
University/college degree (life science, pharmacy or related subject preferred), or certification in a related allied health profession from an appropriately accredited institution (e.g., nursing certification, medical or laboratory technology).
Additional relevant work experience will be considered in lieu of formal qualifications.
Experience:
Extensive work experience in data management, including direct sponsor management and technical mentoring experience.
Proven ability to lead by example on project strategies and achievement of department goals, objectives and initiatives to encourage team members to seek solutions.
Demonstrated skill for technical management of staff.
Financial management of gross revenues in excess of $250K per year.
In depth knowledge of clinical trial process and data management, clinical operations, biometrics, quality management, and systems applications to support operations.
Experience representing DM in bid defense meetings, providing innovative solutions.
Working knowledge of the relationship and regulatory obligation of the CRO industry with pharmaceutical / biotechnological companies.
Ability to lead by example teams on project strategies and achievement of department goals, objectives, and initiatives and to encourage team members to seek solutions.
Demonstrated managerial and interpersonal skills.
MORE INFORMATION AVAILABLE ON REQUEST
For a confidential discussion about this opportunity, please phone Antony McAteer on +44 (0) 7800 913 717. To apply, please click on the APPLY button.
Keywords:
Labcorp Drug Development, Covance by Labcorp, Covance, Chiltern, Phases IIb-IV, CRO, Contract Research Organisation, Contract Research Organization, pharma, pharmaceutical, clinical data manager, clinical data management, Clinical Data Management, Principal Data Manager, Manager CDM, Manage Clinical Data Manager, Late Phase, Clinical Data Management, home based, pharma, home-based, flexible working, flexible location, field based, home based EU Anywhere, anywhere in Europe, field-based, United Kingdom, UK, Great Britain, England, Maidenhead, Reading, Berkshire, Birmingham, Cambridge, Sheffield, Manchester, Alderley Edge, Scotland, Edinburgh, Wales, Swansea, Northern Ireland, Austria, Belgium, Bulgaria, Czech Republic, France, Paris, Germany, Greece, Hungary, Ireland, Italy, Lithuania, Netherlands, Leiden, Poland, Portugal, Romania, Russia, Slovakia, Bloemfontein, Centurion, South Africa, Madrid, Barcelona, Spain, Ukraine, #LI-Remote, Remote, EMEA",
