,Lien,Poste,Typedecontrat,Entreprise,Departement,Region,Description,Salaire
0,https://fr.indeed.com/viewjob?jk=b0e04a4b0a77f534,DATA MANAGER,CDI,SCRUFF,31,Occitanie,"Description de l'entreprise
La mission de CS GROUP : être à la pointe des technologies pour garantir la sécurité de tous dans un monde en pleine mutation. L'expertise reconnue du groupe lui permet d'intervenir là où les enjeux de sécurité sont les plus sensibles : aéronautique, défense, énergie, spatial… Et, aussi, là où les réponses sont à inventer ou à réinventer : lutte anti-drones, cybersécurité, traitement de données satellitaires…
Description du poste
Nous recrutons un/une Directeur de Projets Data Intelligence pour rejoindre notre Business Unit INDUSTRIE au sein de la Business Line Data & Process Intelligence. Notre département accompagne nos clients dans leurs problématiques associées à la transformation digitale. Nos offres se déclinent autour de la data intelligence & de la maintenance prédictive, de la digitalisation des processus industriels et du SI Métiers.
Votre mission :
Vous prendrez en charge le pilotage des projets Data Intelligence (50 personnes) comprenant 3 axes :
Delivery : la coordination des projets du pôle en lien avec les directeurs de projet, la gestion financière (coûts/délais/qualité/risques), la relation et la satisfaction client ;Ressources : la gestion des ressources du pôle (conseiller et assister les directeurs de projets), les recrutements de l’équipe (évaluation et formation des collaborateurs), l’animation de la communication auprès des équipes et des différentes instances ;Business Development : le développement de l'offre de services Data Intelligence, la participation à l’action commerciale (appel d'offres, présentation client, activités marketing, CIR...).
L’environnement technique :
Intelligence Artificielle, Data Gouvernance et Data Science
Machine Learning, Deep Learning et solutions Cloud-based
Qualifications
Qui êtes-vous ?
De formation Bac+5, vous avez une expérience dans le domaine de la Data dont minimum 3 ans sur des activités de direction de projet et de management d’équipe. La maîtrise des domaines de l’IA, de la Data et de la gestion (budget, plannings, sous-traitance) est indispensable à l’exercice de votre fonction. Un niveau d’anglais technique est requis.
Vous êtes organisé et vous savez faire preuve d’écoute ? Vous êtes doté d’un bon leadership et avez le sens de la relation client ? Alors vous êtes la pépite que nous recherchons !
A compétences égales, ce poste est ouvert aux personnes en situation de handicap.
Informations complémentaires
Qui sommes-nous ?
La Business Unit INDUSTRIE contribue aux développements de programmes dans les domaines de la simulation, la transformation digitale et le développement de systèmes critiques. Elle est un acteur référent sur l’Intelligence de la donnée (Data Engineering & Data Science), la digitalisation des processus (PLM), la simulation numérique, le développement de logiciels embarqués & certifiés ainsi que la sécurisation des systèmes (cybersécurité).
Pourquoi choisir CS GROUP ?
Pour notre filière Expert qui valorise vos compétences techniques, notre engagement dans l’innovation avec un budget R&D de 30 millions d’euros/an, nos engagements sociétaux et environnementaux : index d’égalité professionnelle à 86/100, partenaire de l’association Elles bougent, membre de la planète Tech Care etc.
Et bien sûr : la possibilité de télétravailler, un programme de cooptation, la complémentaire santé, les RTT, le CE.
N’attendez plus, partagez votre CV et additionnons nos talents !
La suite des événements :
Si votre profil est un match, vous aurez un entretien technique avec un de nos Responsables opérationnels. Puis, vous rencontrerez Amandine lors d’un entretien RH.
#CSGROUP #hiring #Projet #Data",
1,https://fr.indeed.com/viewjob?jk=0f4d1d5d286167af,DATA MANAGER,CDI,Capgemini,34,Occitanie,"CAP SUR LA MÉDITÉRANNÉE
Située à une trentaine de kilomètres d’Avignon, Bagnols-sur-Cèze incarne l'art de vivre et la culture de la Provence occitane. Elle est dotée de nombreux monuments historiques tels que le musée Albert-André, la tour de l'horloge, l'abbaye des Bernardines de Valsauve ou encore le théâtre en plein air « le Mont Cotton ». De quoi faire pour en apprendre plus sur l’Histoire du Gard !
Par ici pour un peu d'Histoire
VOTRE ROLE, VOTRE AVENIR
Capgemini accompagne les entreprises pour faire de leurs infrastructures un accélérateur de transformation digitale. Du conseil à la conception, de la réalisation à la production, nous offrons à nos clients une gamme complète de services combinant sécurité, évolutivité, optimisation et innovation.
Votre rôle :
Garantir une relation et prestation de qualité
Assurer la mise à jour régulière des outils de ticketing en respectant le formalisme du service
Administrer les bases de données de Production
Assurer le support de niveau 2 et 3
Résoudre ou escalader les incidents et réaliser les demandes travaux dans le respect des engagements de service
Evaluer et optimiser les performances des bases de données et proposer des axes d'industrialisation et automatisation
S'engager dans l'évolution et/ou la mise en place de la supervision système
Votre environnement techniques : #SqlServer #Oracle #MySql #PostGreSql
CE DONT VOUS AVEZ BESOIN
Vous disposez d’au moins 3 années d’expérience sur des postes d’administrateur réseaux et sécurité ou équivalent. Vous avez des bases en construction d'architectures, en gestion de projets et/ou d'équipe. Pour finir, nous recherchons des collaborateurs autonomes, impliqué(e)s et avec un bon esprit d’équipe.
Disposer de certifications et de notions de performance soumises au KPI et/ou SLA sont des +
ET POURQUOI NOUS ?
En plus d'un processus de recrutement simple, court et fluide, nous vous proposons :
Une ambiance de travail dynamique et conviviale
Un CSE offrant de nombreux avantages (vacances, chèques cadeaux, titres restaurant…)
Une plateforme de formations en e-learning complète et diversifiée
Un Career manager qui vous accompagne tout au long de votre carrière d'évolution
Et pour votre intégration, nous laissons nos collaborateurs vous en parler
Offre à pourvoir sur Aix/Marseille, Nice, Montpellier et Bagnols-sur-Cèze.
Au plaisir .de vous rencontrer, d'ici là stay in touch : https://www.capgemini.com/fr-fr/insights-and-news/ !
Capgemini, entreprise handi accueillante, conformément à la norme AFNOR NF X50-783, est également signataire de la charte de la diversité en entreprise",
2,https://fr.indeed.com/viewjob?jk=7c54ee9f605d8951,0,CDI,Group onePoint,31,Occitanie,"#versionnous
Dans le sud-ouest, onepoint est implanté à Bordeaux et Toulouse avec 350 collaborateurs dont :
une championne de France de tir au pistolet (attention)
un vegan utopiste (mais il mange quand même avec les omnivores)
un archi qui n'aime pas le mot ""digital"" (entre autres)
quelques papas et mamans
pas mal d’amateurs.trices de bière (et quelques uns de smoothies et boisson au cola)
Bordeaux c'est :
deux antennes : une à Pessac, une à la Cité numérique (Bordeaux-Bègles)
un campus à 100M d'euros / 30 000 m² à inauguration d'ici deux ans
Toulouse c'est :
un lieu d'échanges et de co-création pour nos collaborateurs en plein cœur du centre-ville en face du métro capitole (Toulouse)
un Livepoint pour accueillir l'écosystème local : partenaires, clients, sponsors, etc...
Description du poste
Un data engineer est en charge de concevoir et de construire des pipelines de traitement de données. Curieux, il est à l’aise avec du batch et du temps réel, de l’on premise et du cloud, des datalakes ou des data warehouses modernes. Ses traitements sont robustes, sécurisés, et performants, et il n’hésite pas à les factoriser et les automatiser.
Vos missions seront les suivantes :
étudier les systèmes sources ;
choisir et implémenter les solutions de stockage et les modèles de données adéquats ;
extraire et charger les données des systèmes sources ;
uniformiser, structurer et transformer les données ;
exposer ces données (API, Web services …) ;
planifier et orchestrer ces traitements ;
industrialiser selon les pratiques CI/CD ;
mettre en place des solutions de monitoring ;
documenter le code ;
expérimenter, évaluer, faire de la veille technologique.
Qualifications
Ce qu'il faut absolument pour postuler :
Vous avez minimum 3 ans d'expérience dans le domaine de la Data.
Vous maitrisez une ou plusieurs des solutions suivantes :
L’écosystème Hadoop : Spark, HDFS, Hive, HBase, … /Les distributions Cloudera (Hortonworks), MapR /SQL, Scala, Java, Python, … /Les services Data des principaux fournisseurs Cloud (AWS, Azure, GCP, …) /Airflow, Luigi, … /Kafka, RabbitMQ, … /ElasticSearch (et la Suite ELK), Cassandra, MongoDB, Neo4J, … /Docker, Kubernetes …
Ce qu'il est (très) vivement conseillé d'avoir pour postuler :
une grande soif d'apprendre et envie de partager ses connaissances que ce soit avec son équipes ou ses pairs au sein de onepoint
le goût du travail bien fait et le sens du relationnel client
la bonne maîtrise du verrouillage de poste de travail pour éviter de payer les chocos tous les matins
être prêt à croiser votre Partner aux entraînements de capoeira ou aux ateliers terrariums (oui, il participe à tout ça comme chacun d'entre nous)
se projeter dans une organisation innovante avec peu de hiérarchie
#tech&sécurité
Informations supplémentaires
Bien sûr, tout cela reste un descriptif classique pour un rôle d’ingénieur Data.
Cependant c'est parce que nous recherchons davantage une personnalité qu'une vulgaire liste de compétences et nous ne voudrions pas devenir trop ennuyeux avec les détails.
Voici notre proposition : si nous recevons votre CV et qu'il respecte les critères de base de cette annonce nous vous contactons en un temps record pour parler de votre profil et de de tout ce qui se passe chez nous (oui, il se passe beaucoup de choses).
Nous allions oublier, vous voulez sûrement savoir si nous avons un bon salaire, des RTT, des primes de cooptation, une politique de formation dynamique et des possibilités de mobilité géographique et du télétravail ? Nous avons tout cela et suffisamment d’activités internes pour occuper les team-spirit addicts.
Pour le reste, nous pourrons en parler au téléphone.
Onepoint, grâce à sa politique de diversité assumée, s'engage pour l'égalité des chances.",
3,https://fr.indeed.com/viewjob?jk=6280be08567cf25b,DATA MANAGER,CDI,VISEO,0,Occitanie,"Vous avez de l’expérience dans la mise en place des outils de DATA Intégration ?
 Vous étiez à l’initiative ou contributeur de projet de mise en place de l’outil TALEND ?
 Vous êtes familiarisé avec les technologies ETL et Cloud Intégration ?

Vous avez participé à l’élaboration de la documentation relative aux architectures techniques ou des plateformes Data chez vos clients ?
Au sein de VISEO Data Management, nous recherchons un Ingénieur Data Management F/H pour intervenir sur nos projets et contribuer au développement de notre activité au sein de notre centre d'excellence de Toulouse.
Nous sommes des Positive Digital Makers : VISEO a bâti un partenariat fort et stratégique avec TALEND depuis près de 8 ans.

Nous avons développé un haut niveau d’expertise et de certification sur les différentes solutions Talend ETL – ESB- CLOUD – Big DATA.
Vos missions :

Dans le cadre de développements de projets en Data Management, vous accompagnerez notre client autour de la mise en place de la solution Talend dans des contextes principalement « Cloud ».
Vous serez notamment amenés à :
Rédiger les spécifications fonctionnelles et techniques (du général au détaillé),
Participer à la phase de préparation aux développements (installation/ configuration, environnement, modélisation, paramétrage, connexion…),
Mettre en œuvre les développements autour de solution d’échanges et d’intégration dans des contextes SAP (échanges BAPI, IDOC, construction d’API, de webservices, contrôle, nettoyage, transformation, mise en qualité des données, gestion des référentiels, des transcodifications…, des logs, des rejets, du monitoring de flux...),
Bâtir ou contribuer à la stratégie des tests et de la recette utilisateurs autour des processus d’intégration,
Assister à la constitution des jeux de tests,
Mener les tests techniques et les tests d'intégration et vérifier la cohérence fonctionnelle des données en collaboration avec les référents métiers,
Assister à la recette utilisateurs et, éventuellement, à la mise en production et au premier cycle de production
Ces activités pourront être menées dans des modes de collaboration différents (forfait, régie, mode Agile, méthodologie spécifique…).

Votre profil :

Vous possédez une expérience significative (3 ans minimum pour un profil confirmé et 5 à 6 ans minimum pour un profil sénior) sur tout ou partie des activités décrites précédemment, en particulier sur les phases de conception et de développement de projets en Data Management en adhérence (ou en réponse) avec les initiatives Big Data et/ou Data Gouvernance.
Une expérience acquise autour d’actions concrètes d’optimisation (technique ou fonctionnelle) serait un plus.

Vous maîtrisez tout ou partie d’une ou plusieurs des solutions iPaaS / Data Management :
Vous maitrisez les ESB / EAI et/ou les solutions d’API Management telles que IBM Integration Bus, Webmethods, Axway, Oracle Service Bus, Tibco BW, WSO2, Red Hat Fuse, Informatica Cloud…
Vous êtes un concepteur / développeur de webservices, d’API… dans des contextes d’interfaces et d’échanges inter-applicatifs ou d’alimentation de systèmes décisionnels « nouvelle génération »…
L’utilisation d’outils de reporting / data visualisation (Power BI, Qliksence, Tableau...) est également appréciable.
Vous appréciez la relation client (interlocuteur technique, contact utilisateur…) et possédez un véritable sens du service avec cette double compétence technico-fonctionnelle.
Vous êtes rigoureux, dynamique et doté d’une curiosité, d’une agilité et d’un esprit d’équipe vous permettant de vous adapter à différents contextes.

Intégrer nos équipes DATA Management au quotidien, ça veut dire quoi ?
Vous ferez partie de la communauté Data Management : la proximité et la taille humaine de notre organisation vous permettront de rendre visible vos initiatives et d’évoquer facilement vos projets. En parallèle, le dynamisme de l’entreprise et sa croissance perpétuelle multiplieront vos opportunités d’évolution.
Vous bénéficierez d’un management de proximité par votre mentor tout au long de votre parcours chez VISEO : Votre mentor, consultant expérimenté de votre practice, viendra régulièrement échanger avec vous sur les challenges de votre mission, faire chaque semestre le bilan de vos réalisations et évoquer vos ambitions futures et les moyens de les réaliser.
Vous disposerez de multiples moyens pour monter en compétences et découvrir de nouveaux domaines : formations, certifications, Brown Bag Lunchs, ateliers, meet-ups, rencontre d’experts, séminaires techniques…
#VISEO SPIRIT :
Un management flat qui encourage la communication et la prise d'initiative
Des centres d’excellence en IoT / Cloud / Smart Factory
Des missions d’audit, d’expertise technique et des POCs
Un programme d’apprentissage en e-learning : accès digital academy et 7-speaking
Deux jours de télétravail par semaine
N’attendez plus, rejoignez VISEO. Devenez un #PositiveDigitalMaker !

Bfk5n2LtNX",
4,https://fr.indeed.com/viewjob?jk=f0cdbbc63808e55d,CONSULTANT,CDI,Metsys,31,Occitanie,"Créé sur des valeurs d’intégrité, de partage et de proximité ; les collaborateurs Metsys se retrouvent autour d’une culture d’entreprise centrée sur l’humain.

Fort de plus de 350 collaborateurs implantés sur l’ensemble du territoire national (Paris, Rennes, Nantes, Tours, Lille, Lyon, Toulouse, Bordeaux, Aix et Strasbourg), nous avons réalisé en 2021 un chiffre d’affaires de plus de 53 M€.


Devenir Metsysienne ou Metsysien, c’est…
Intégrer une équipe METSYS et une entreprise en pleine croissance.
Rencontrer, partager ton expérience auprès des experts passionnés (MVP, Regional Directors, Speakers) et évoluer à leurs côtés.
Relever défis innovants dans la bonne humeur et la convivialité.
Bénéficier d’un accompagnement personnalisé et te former au quotidien.


Dans le cadre de notre développement sur le Sud-Ouest (notamment sur #Toulouse), nous recherchons un(e) Consultant(e) sénior Data (H/F) sur les technologies Microsoft. et si c’était vous ?


Intégré au pôle Data de l’agence Sud-Ouest, vous interviendrez sur des missions variées et notamment :

La réponse technique à des appels d’offres
L’analyse des besoins clients et la conception d’architectures décisionnelles modernes
La mise en œuvre de solutions décisionnelles (alimentation, modélisation, restitution)
La mise en œuvre de formations sur les outils Microsoft BI
La veille technologique


Tes atouts :

De formation supérieure en informatique, vous avez une expérience significative d’au moins 10 ans dans la conception et le développement de solutions décisionnelles. Des compétences minimales sur SQL Server (SSIS/SSAS/SSRS), Power BI et Azure Synapse Analytics sont indispensables pour mener à bien vos missions.

Ayant le sens du service, curieux(se), tu sais faire preuve d’une forte capacité d’adaptation et de flexibilité grâce à tes qualités humaines d’écoute et de coopération. Vous souhaitez contribuer activement au développement de notre structure en intervenant sur des missions à forte valeur ajoutée.

De plus en tant que Gold Partner Microsoft, nous encourageons nos collaborateurs au passage de certifications reconnues auprès de nos clients et la définition d’un plan de carrière vous permettra une évolution significative au sein de notre société.


Les petits + METSYS :


L’opportunité de rejoindre une entreprise en pleine croissance : construisons l’avenir ensemble !
Un environnement de travail agréable : des bureaux neufs et des équipements ergonomiques.
Une équipe conviviale et chaleureuse, des afterworks fun et un séminaire surprise dans l’année.
Le passage de certifications Microsoft financées à 100% par METSYS (+ une petite prime de réussite si tu obtiens ta certif   )
Une rémunération négociable selon ton expérience, avec primes et intéressement.
Télétravail possible, selon les attentes de ton client.
Une mutuelle prise en charge à 100%
Un abonnement aux transports en commun pris en charge à 100%
Une carte Ticket Restaurant Edenred


Alors, prêt à rejoindre l’aventure ? N’attends plus !

Si ton profil correspond à nos besoins, tu seras recontacté(e) par Lucie, dans le cadre d’un échange RH. Puis, si nous avons réciproquement envie d’avancer ensemble, nous te proposerons un entretien de validation technique au sein de notre agence (dans le respect des gestes barrière bien sûr !) ou par visio avec l’un de nos experts.

Doté d’un recrutement dynamique, nous sommes réactifs et le processus de décision sera rapide en fonction des opportunités chez nos clients Grands comptes.",
5,https://fr.indeed.com/viewjob?jk=c5c3122866ad27c2,DATA ANALYSTE,CDI,My Soft Agency,31,Occitanie,"Data Analyst Senior, d’accord, mais dans quelle structure ?J’ai une opportunité au sein d’une entreprise familiale et dynamique spécialisée dans l’Informatique et le Digital au service de différents projets.Les Missions en tant que Data Analyst Senior !Je recherche un(e) Data Analyst Senior H/F en CDI à Toulouse afin de piloter la cellule BI.A ce titre, vous encadrerez une équipe de 3 collaborateurs et assurerez l’interface avec les clients.Vous serez amené à animer et participer à des projets de datavisualisation sur Qlik Sense et Power BI (au minimum) et vous aurez pour mission principales :Assurer le choix d’outils BI en fonction des besoins et avec différentes analyses (SWOT),Analyser les besoins et proposer une architecture technique adaptée,Administrer les différents outils,Accompagner l’équipe dans sa montée en compétence et animer des ateliers,Participer aux appels d'offres et accompagner les équipes commerciales.Le Profil recherché pour ce poste de Data Analyst Senior ?De formation supérieure (Bac +5), École d’Ingénieur ou Université, spécialisée dans l’informatique sur un cursus Big Data ou DataViz, vous avez minimum 5 ans d’expérience sur de l’administration de solutions BI et la valorisation de données complexes (ETL).Stack technique : Power BI, Qlik Sense, Dataiku, langage de programmation type Python.En plus des compétences techniques, le poste demande de l’autonomie, de la proactivité ainsi qu’un très bon relationnel !Cherry On The Cake : de nombreuses activités d’équipes sont proposées tous les mois Contactez-moi !Si vous avez envie de relever un nouveau défi au sein d’une équipe soudée et bienveillante, dotée d’un état d’esprit agile, n’hésitez pas à postuler !J’ai hâte de pouvoir échanger avec vous !JoannaType d'emploi : Temps plein, CDIStatut : CadreSalaire : 40 000,00€ à 50 000,00€ par anHoraires :Travail en journée",45000.0
6,https://fr.indeed.com/viewjob?jk=62a0e336c34bc6e3,TECHNICIEN,CDI,Capgemini,31,Occitanie,"CAPGEMINI
Leader de la convergence des mondes physique et virtuel, nous agissons en partenaire de nos clients industriels pour concevoir, mettre en œuvre, sécuriser et démanteler des produits et infrastructures complexes.
Nous participons à la transformation et à l’optimisation des entreprises de demain.
LE PROJET
Nous recherchons un(e) responsable technique afin d’assister un de nos chef de projet R&I dans le domaine de l’intelligence artificielle.
Le projet visé consiste à de développer de nouvelles méthodologies centrées sur la donnée plutôt que sur l’algorithme.
Cette thématique de recherche s’inscrit pleinement dans la nouvelle approche Data-Centric AI qui est en train de révolutionner l’approche classique de l’intelligence artificielle en plaçant la donnée au cœur de la problématique.
Les thématiques sous-jacentes à ce sujet sont larges : de la collecte/génération de données à leur gouvernance en passant par l’annotation, le prétraitement et l’augmentation des données ainsi que l’évaluation de leur qualité.
Bien que la création de jeux de données ait été essentielle aux succès de l’intelligence artificielle, l'effort est souvent laborieux et coûteux et la méthodologie empirique et non systématique.
Ce sujet représente donc un réel enjeu pour le passage à l’échelle et l’adoption de l’intelligence artificielle. C’est donc dans un contexte dynamique et en plein développement que vous nous rejoindrez pour nous aider à construire l’intelligence artificielle de demain.
VOTRE MISSION
Votre mission consistera à développer de nouvelles méthodologies et outils facilitant la construction, la maintenance et l’évaluation de jeux de données.
Mission :
Définir avec le chef de projet actuel et le responsable du programme les orientations scientifiques du projet en accord avec la stratégie du groupe
Assurer la veille scientifique et technologique du projet afin d’être force de proposition sur de nouveaux cas d’applications
Définir l’organisation des travaux, assurer le suivi technique et encadrer des collaborateurs
Contribuer techniquement au développement des travaux de recherche
Valoriser les résultats du projet au travers notamment de communications, d’articles scientifiques et de congrès
CE QUE NOUS RECHERCHONS
Vous êtes titulaire d'un doctorat ou allez prochainement soutenir votre thèse, et vous vous êtes spécialisé(e) dans le domaine de l’intelligence artificielle.
Vous faites preuve de prises d'initiatives, d'autonomie, d’un esprit critique et d'aptitude à apprendre et à synthétiser les résultats de vos travaux.
Enfin, vous savez travailler en équipe et avez d'excellentes qualités relationnelles.
Lieu : Paris ou Toulouse
CAPGEMINI, entreprise handi accueillante, conformément à la norme AFNOR NF X50-783, est également signataire de la charte de la diversité en entreprise",
7,https://fr.indeed.com/viewjob?jk=9abbfeb02591fc38,0,CDI,Groupe IDEA,30,Occitanie,"Référent applicatif data F/H
Ref. Apec : 167809090W / Ref. Société : 2653050
Groupe IDEA
1
CDI
Saint-Nazaire - 30
Publiée le 08/03/2022
Actualisée le 08/03/2022
 SUR LE SITE DE L'ENTREPRISE
Salaire
A partir de 20 k€ brut annuel
Prise de poste
Dès que possible
Expérience
Minimum 6 ans
Métier
Formateur
Statut du poste
Cadre du secteur privé
Zone de déplacement
Régionale
Secteur d’activité du poste
TRANSPORTS ROUTIERS DE FRET INTERURBAINS
Télétravail
Total possible

Descriptif du poste
Le Référent applicatif data H/F participe à la mise en place et au suivi des solutions informatiques nécessaires à la performance des activités de la business unit. Rattaché(e) au Responsable industrialisation, vos missions sont les suivantes : * Identifier et hiérarchiser les besoins de digitalisation sur les différents sites de la BU, * Prendre en charge et/ou participer aux projets de digitalisation, * Garantir une gestion performante de la data à travers l’utilisation des outils métier et/ou digitalisation existante ou en déploiement, * Assurer la formation permanente des utilisateurs concernant la prise en main et l’évolution des fonctionnalités des applicatifs digitalisation et data, * Participer à la mise en place des rapports BI dans le cadre de nouveaux projets, * Assurer la diffusion et la bonne utilisation des rapports BI standards groupe, * S’assurer de la cohérence des données avec les sites et de leur facilité d’utilisation, * Assurer l’interface avec le support SI groupe pour la mise en place, la fréquence et la cohérence des actions menées, * Collaborer aux projets data / innovation du groupe et de la BU, * Contribuer activement à l’efficience de la donnée sur les différents périmètres de la BU : qualité des données, et temps d’obtention de celles-ci (doubles saisies…), * Journaliser et maintenir un tableau de bord des actions réalisées, * Proposer et déployer des solutions d’amélioration. *
Profil recherché
Diplômé(e) d'une formation de niveau Bac+5 (école d'ingénieur/formation universitaire), vous justifiez d'une expérience d'au moins 5 ans en pilotage de projets data et/ou digitalisation. Doté(e) d'un bon relationnel et d'une grande rigueur, vous savez être force de proposition. Vos qualités d'analyse, de synthèse ainsi que votre capacité à agir sur la résolution de problèmes sont vos atouts pour prendre en main ce poste. Vous êtes capable d’implanter et de faire évoluer un SI, pouvant être associé à son domaine d’expertise. Vous savez gérer les priorités, prendre des initiatives, et vous adapter à différents acteurs. Vos compétences techniques sont confirmées et vous êtes ouvert à des problématiques touchant par exemple à la data.

Entreprise
Prestataire en logistique industrielle, IDEA pilote la conception et opère des supply-chains pour les produits exceptionnels, spécifiques et sensibles. Depuis près de 100 ans, le groupe met à disposition son expertise en ingénierie de projet, pilotage des flux, protection des biens et transport ...",
8,https://fr.indeed.com/viewjob?jk=a78e5f3f211fa234,DATA MANAGER,CDI,NonStop Consulting,31,Occitanie,"Vous êtes ingénieur dans le domaine des sciences et informatique ? Vous souhaitez intégrer une société de renom ? Alors cette offre est faite pour vous !
Notre client, acteur des biotechnologies est à la recherche d'un Ingénieur en données scientifiques. Plus clairement, d'un profil capable de gérer et trouver des solutions sur de nouveaux logiciels de données informatiques scientifiques.
Particularité de cette offre, le poste peut être basé dans plusieurs villes et pays : mais attention pas de possibilité en télétravail à 100% : en FRANCE (Toulouse), au Royaume-Uni (Abingdon) ou en ITALIE (Vérone).
En tant qu'Ingénieur de données sicentifique vous travaillerez sur différents projets ou les parties prenantes seront parfois des entreprises internationales . Pour cela des compétences en anglais sont donc necessaire ce qui vous permettrra de faire grandir votre réseau et votre expertise à l'international

Vos responsabilités ?
Vous contribuerez à la conception, à la mise en œuvre et au déploiement de la solution ONE pour l'accès aux données scientifiques, et permettre une meilleure intégration des données et soutenir les besoins actuels et futurs en matière d'analyse, d'extraction et de consommation des données pour les scientifiques et leurs partenaires de recherche.
Vos tâches ?
Contribuer à l'architecture des données pour l'intégration des données inter-domaines ;
Améliorer la modélisation, l'harmonisation, la standardisation, la contextualisation et les annotations des données dans le contexte de la solution mise en œuvre ;
Contribuer aux normes de données, aux métadonnées et aux ontologies dans les domaines de la découverte et du développement de médicaments (chimie, biologie, DMPK, omique, données précliniques et cliniques) ;
Mettre en œuvre des processus de conservation, de nettoyage et de contrôle de la qualité des données dans le cadre de la solution ;
Contribuer à l'établissement d'un nouveau modèle de gouvernance et de soutien des données pour la nouvelle plate-forme mise en œuvre par le projet, afin de garantir une attention constante à la qualité des données, à la traçabilité et à l'évolution de la plate-forme elle-même ;

Capacités :
L'application de bonnes pratiques de gestion des données, d'intégration des données et de gouvernance des données ;
Utilisation directe de bases de données relationnelles et non relationnelles ;
Définition et mise en place de la gestion des données de référence, des normes de données / sémantiques, des ontologies. Application des principes de données FAIR ;

Votre profil ?
Titulaire d'un PhD, Master, ingénieur, en chimie, biologie, informatique ou ingénierie ;
Expérience dans le domaine des sciences de la vie et dans différents domaines de la gestion des données : ELN, bases de données, flux de données ;
Connaissances en statistiques et en analyse de données ;
Expérience des langages de développement et de script ;
Expérience avec les outils de visualisation de données ;
Une expérience avec les technologies de streaming de big data serait un plus ;
Codage dans des langages de script (python, R, perl ...).
Si vous êtes intéressé par ce poste , veuillez m'envoyer votre CV à l'adresse e-mail suivante : [email protected] où appelez-moi directement au +33188405710 extension : 3629. Vous pouvez également me contacter via mon LinkedIn : Dylan THOMAS . Si vous n'êtes malheureusement pas intéressé, mais que vous connaissez des personnes qui pourraient l'être, n'hésitez pas à leur partager cette offre",
9,https://fr.indeed.com/viewjob?jk=4d7a50c3de6d0592,DATA ANALYSTE,CDI,Safti siège,31,Occitanie,"« SAFTI, ça le fait ! », vous avez probablement entendu ça quelque part…
Depuis 2015 SAFTI mène de puissantes campagnes télévisées sur les plus grandes chaînes : TF1, M6, BFM TV, etc.
Créé en 2010, autour d’un concept novateur, SAFTI a réinventé le domaine de l’immobilier en ayant fait le pari de l’absence d’agence physique à la faveur d’un maillage du territoire par des conseillers en immobilier, exerçant depuis leur domicile grâce aux nouvelles technologies.
SAFTI est ainsi devenu en moins de 10 ans l’un des acteurs majeurs du marché de l’immobilier en France :

5500 conseillers immobiliers formés et accompagnés en continu par des équipes expertes au siège
+ de 200 professionnels experts au siège
Le réseau n°1 en notoriété, avec plus de 20 000 spots TV diffusés
Une croissance de près de 40% du chiffre d’affaires en 2021

Et SAFTI part à la conquête de l’Europe : déjà présent en Espagne et Portugal, SAFTI s’implante prochainement en Allemagne et en Italie.
SAFTI c’est donc une croissance exponentielle depuis son lancement, mais également une entreprise labellisée Happy at Work où il fait bon travailler, ayant su garder son esprit familial et bienveillant qui fait la différence.
Vous avez envie de prendre part à l’aventure et construire avec nous le plus beau des réseaux ?
Nous recherchons un Data Analyst H/F pour intégrer nos équipes du siège à Toulouse. Vous intégrerez un service IT composé de + de 50 personnes.
Vos principales missions :

Construire des analyses de données en lien avec les features team et le business
Être force de proposition sur l’analyse de données pour dégager des segments, tendances, …
Mettre en place des tableaux de bord
Participer à la conception d’architectures Data (Base de données, Data Warehouse, Data Lake, …)
Participer à l’amélioration continue des modèles de données
Assurer une veille régulière, être force de proposition
Profil :

Vous possédez un bac +5 scientifique avec une expérience significative d’au moins 3 ans en Data AnalyseVous avez une excellente compréhension business et webmarketing
Vous maitrisez la manipulation de données et les calculs statistiques
Vous maitrisez SQL et Python
Vous possédez une forte expérience en dataviz (Tableau, Dundas, Sisense, …)
Vous aimez travailler en Agilité et vous avez un fort esprit d’équipe
Vous aimez les challenges parce que chez SAFTI on a de grandes ambitions !
L’anglais est maitrisé, car on se développe à l’international
Rémunération :

Salaire selon profil
Tickets restaurant + Mutuelle d’entreprise + prise en charge des transports en commun (50%)
CDI temps plein

Les petits plus SAFTI qui font la différence :

Une entreprise solide à l’ambiance conviviale (After-work, Soirées à thème, tournois sportifs…)
Un fourmillement d’idées et de projets
Des possibilités d’évolution professionnelle
Des locaux spacieux et modernes",
